,point_cloud,EC
141,Q1IKB4.txt,4.2.1.19
142,Q5SK89.txt,2.3.1.31
143,A1JJE2.txt,3.4.23.36
144,P0DF71.txt,2.1.2.1
145,A6Q9I6.txt,2.5.1.7
146,O07883.txt,3.4.19.3
147,Q8NR60.txt,4.1.99.22
148,P9WLH5.txt,3.1.3.73
149,A4VI15.txt,2.1.1.35
150,D4AY02.txt,5.2.1.8
151,P59066.txt,3.1.1.4
152,Q9T351.txt,1.10.3.9
153,A7FZA9.txt,2.7.1.33
154,P08037.txt,2.4.1.22
155,A4JGE3.txt,1.1.1.86
156,Q96555.txt,4.1.1.50
157,Q19427.txt,3.6.1.22
158,B5YA73.txt,3.5.4.9
159,P27774.txt,2.7.1.19
160,Q9STK6.txt,2.7.11.1
161,Q9L0L0.txt,2.7.7.6
162,Q2G7J5.txt,6.5.1.2
163,B2I4P8.txt,1.8.4.11
164,P99096.txt,5.4.3.8
165,P65448.txt,1.8.4.12
166,Q6G6V5.txt,1.1.5.4
167,B6I5L8.txt,2.1.2.3
168,B3WF19.txt,6.1.1.20
169,Q4HZB8.txt,5.2.1.8
170,A9IS38.txt,5.3.1.1
171,B7MSV9.txt,5.6.1.7
172,B2A3X9.txt,2.5.1.75
173,Q10Y41.txt,3.1.2.6
174,Q8R2Y0.txt,3.1.1.23
175,P54760.txt,2.7.10.1
176,Q0ADN4.txt,6.1.1.3
177,G1DGI7.txt,3.1.7.10
178,Q0VN36.txt,2.8.1.8
179,P0AAV5.txt,3.5.2.9
180,O48901.txt,2.7.7.7
181,Q04H32.txt,2.1.3.2
182,Q9JZ77.txt,4.1.99.12
183,C1B2V4.txt,1.17.7.3
184,B0BQQ2.txt,2.1.3.3
185,Q8KF02.txt,5.6.1.7
186,A5CEL3.txt,2.3.1.181
187,A8GDR5.txt,2.6.1.87
188,C1CR91.txt,3.1.11.6
189,B7GGD9.txt,2.1.1.228
190,Q1CU16.txt,3.4.25.2
191,B5Z6Z7.txt,1.17.7.3
192,Q0HT42.txt,1.7.1.13
193,P85281.txt,2.7.4.6
194,A6T8R9.txt,2.7.7.66
195,B1L7W6.txt,6.1.1.3
196,B1MC66.txt,2.5.1.141
197,Q7VGR5.txt,6.3.4.19
198,Q21U92.txt,5.3.1.16
199,Q3SMQ9.txt,2.3.1.1
200,Q8ZQN4.txt,2.1.1.181
201,Q3A526.txt,2.7.1.167
202,Q99VW1.txt,2.7.13.3
203,A4W7T6.txt,6.3.2.2
204,A8YV39.txt,2.7.7.72
205,A4JC82.txt,2.5.1.78
206,A3NCL6.txt,3.5.1.5
207,Q5PDG4.txt,4.2.1.33
208,Q2L258.txt,5.2.1.8
209,B5F8K0.txt,4.2.3.4
210,O80433.txt,2.3.3.16
211,A8FGK6.txt,6.2.1.26
212,Q65GG2.txt,2.7.7.56
213,Q64L89.txt,2.5.1.18
214,Q9ZN53.txt,4.1.1.23
215,B9MFX7.txt,6.1.1.21
216,Q75D19.txt,2.3.1.225
217,P82600.txt,1.11.1.7
218,A2SM29.txt,2.7.1.30
219,Q2P4B7.txt,2.3.1.129
220,Q9HTV3.txt,4.1.1.98
221,Q47JK6.txt,4.2.3.4
222,Q01V13.txt,2.7.1.30
223,B8HSJ5.txt,7.4.2.8
224,Q47D24.txt,3.1.3.5
225,Q9JZR6.txt,3.4.11.5
226,A5UCB8.txt,2.5.1.78
227,Q39C36.txt,3.5.2.9
228,A1S3A0.txt,1.7.2.2
229,Q7XIW5.txt,2.7.11.1
230,Q1IHV6.txt,3.6.4.12
231,C4ZRQ3.txt,3.1.5.1
232,P42348.txt,2.7.1.137
233,A8GP91.txt,3.1.26.5
234,A6VND5.txt,1.2.1.70
235,Q3Z8B3.txt,6.3.2.1
236,Q9Z7Q3.txt,4.2.1.59
237,Q74I49.txt,6.5.1.2
238,B8GXC4.txt,2.2.1.7
239,C6DYE1.txt,3.1.1.96
240,Q949Y3.txt,3.1.3.2
241,Q2RM49.txt,6.1.1.6
242,Q7V8F6.txt,3.1.3.71
243,Q2SRE7.txt,1.5.1.5
244,B7KR78.txt,3.6.5.n1
245,A4IHU7.txt,3.1.3.16
246,B0TYI2.txt,2.5.1.145
247,P42422.txt,2.7.13.3
248,P24171.txt,3.4.15.5
249,P59576.txt,6.3.5.5
250,A9W737.txt,2.1.3.2
251,Q99487.txt,3.1.1.47
252,B8FHX0.txt,7.4.2.8
253,Q818E4.txt,3.6.5.n1
254,O65896.txt,3.5.4.5
255,C4XT96.txt,3.6.1.27
256,P47924.txt,3.5.4.25
257,Q63FC2.txt,7.4.2.8
258,P72263.txt,6.3.1.19
259,Q68BJ6.txt,5.4.2.2
260,A8NU13.txt,4.2.3.91
261,Q2JCE9.txt,2.7.7.27
262,P64189.txt,1.1.1.94
263,A6VSP9.txt,2.1.3.2
264,Q47266.txt,1.14.12.17
265,Q3BSP7.txt,6.3.5.2
266,P0A9N4.txt,1.97.1.4
267,Q9UQW6.txt,2.3.1.9
268,Q92I02.txt,1.8.1.9
269,Q9UXG7.txt,2.7.4.9
270,A4FBE6.txt,4.2.3.5
271,Q8NVA9.txt,2.3.2.16
272,B4TBG4.txt,2.6.1.87
273,A1U339.txt,2.7.7.7
274,B7V208.txt,2.5.1.75
275,Q2JJ09.txt,7.4.2.8
276,Q4KJK2.txt,3.4.25.2
277,Q62EZ1.txt,2.5.1.6
278,A5FNY7.txt,2.1.3.15
279,Q5QUE0.txt,2.1.1.61
280,Q0BHJ2.txt,5.4.3.8
281,A8Z0Q8.txt,2.4.2.22
282,B3EH35.txt,3.1.26.4
283,Q1CTM7.txt,6.1.1.17
284,A8SEB2.txt,2.1.3.15
285,P66037.txt,2.5.1.78
286,B1XAZ3.txt,2.7.4.6
287,Q4ZN73.txt,1.2.1.41
288,Q6AN65.txt,6.3.4.4
289,Q76IC6.txt,2.3.1.225
290,Q11174.txt,3.2.1.14
291,Q00G37.txt,4.2.3.28
292,B3PXD7.txt,2.7.7.8
293,Q9KKP2.txt,4.1.99.12
294,Q3LFT9.txt,4.2.1.152
295,Q138Z2.txt,2.3.3.13
296,Q2RV57.txt,2.1.1.228
297,Q8ET26.txt,2.3.1.31
298,B2JNZ4.txt,2.1.1.14
299,Q4J8P9.txt,6.1.1.20
300,Q3AC64.txt,3.5.4.28
301,B1HRT5.txt,6.3.3.3
302,Q8FPZ0.txt,6.3.5.7
303,B0TWU1.txt,5.4.2.10
304,B1L8R5.txt,6.3.4.19
305,Q9ZR27.txt,2.4.1.298
306,B1XTK5.txt,2.3.1.274
307,Q637M1.txt,2.3.1.275
308,B7IUJ6.txt,3.1.26.4
309,Q7UKZ8.txt,2.3.1.101
310,Q3JUG5.txt,3.6.1.9
311,P31687.txt,6.2.1.12
312,O42764.txt,1.13.11.27
313,P45851.txt,1.2.3.4
314,Q5QTZ3.txt,3.5.1.18
315,B9IRU7.txt,2.4.2.9
316,A5CX15.txt,4.1.99.17
317,A4XXN9.txt,2.1.1.242
318,B6I2F9.txt,2.1.3.2
319,Q28516.txt,2.7.10.1
320,Q9X0C4.txt,5.1.3.14
321,Q62413.txt,2.7.10.1
322,A0LE33.txt,4.3.2.1
323,P0DD68.txt,2.4.2.10
324,B1HNU2.txt,1.1.5.4
325,B4RPG0.txt,3.6.4.12
326,B3R4L6.txt,1.5.1.5
327,B9E6K7.txt,4.2.3.4
328,Q3MBM3.txt,2.5.1.72
329,P15550.txt,7.1.1.2
330,B9J2G5.txt,2.4.1.21
331,C1AUN7.txt,3.6.5.n1
332,Q1R5T1.txt,1.6.5.2
333,B7IHT2.txt,2.7.4.9
334,Q9HUC8.txt,6.1.1.19
335,A8MJT0.txt,2.5.1.6
336,Q5RCU3.txt,3.1.4.54
337,B9K6R4.txt,1.4.4.2
338,Q9XT90.txt,3.4.24.80
339,Q6AF97.txt,4.2.3.5
340,A8GD17.txt,2.3.1.180
341,P26004.txt,5.6.1.7
342,Q5NMD4.txt,4.3.2.10
343,C7BGY4.txt,2.3.1.193
344,A7NB34.txt,6.5.1.2
345,A9F596.txt,2.1.3.15
346,Q4FFP4.txt,1.10.3.9
347,P24983.txt,7.1.1.9
348,P67257.txt,2.4.2.1
349,C4ZZ18.txt,2.1.1.170
350,Q7ZTW4.txt,2.7.11.1
351,O67618.txt,3.6.5.n1
352,A2RHW2.txt,3.2.2.27
353,O62327.txt,1.11.1.9
354,Q82W17.txt,5.2.1.8
355,Q5RC02.txt,6.1.1.7
356,A8AY23.txt,3.5.4.19
357,Q3B6P1.txt,6.3.4.2
358,Q47W60.txt,2.1.2.11
359,B9K8N7.txt,2.4.2.29
360,P82998.txt,2.5.1.18
361,Q5RDY1.txt,4.1.3.3
362,Q13838.txt,3.6.4.13
363,B7N583.txt,2.3.1.109
364,A5CXT4.txt,2.7.4.3
365,Q6MAQ1.txt,1.3.1.98
366,P0C1Y0.txt,3.2.1.23
367,Q20YL8.txt,3.1.1.61
368,Q0BI00.txt,2.7.1.25
369,O48962.txt,5.3.3.5
370,Q03MK9.txt,6.1.1.15
371,Q04FL3.txt,2.5.1.6
372,P0AF95.txt,3.5.99.10
373,Q6BXC7.txt,3.1.3.77
374,Q31MH4.txt,2.4.2.9
375,P56946.txt,3.4.15.6
376,Q0VR89.txt,2.1.1.14
377,Q65TC6.txt,2.3.1.117
378,Q31DX5.txt,2.7.4.3
379,A8B000.txt,6.3.4.19
380,Q9ZGF0.txt,1.3.7.7
381,Q1J592.txt,2.1.3.15
382,B5FG69.txt,1.5.1.5
383,Q9BZP6.txt,3.2.1.14
384,A0KNQ8.txt,1.2.1.41
385,Q6G6P6.txt,2.8.1.6
386,P0A6M4.txt,3.1.1.96
387,B3Q0A1.txt,3.5.2.3
388,A3NBS5.txt,2.7.8.7
389,A3PK37.txt,5.1.1.3
390,P05038.txt,7.1.2.2
391,O29021.txt,2.8.4.5
392,P0CS66.txt,2.3.1.225
393,B9DYD0.txt,2.7.4.3
394,Q3AC07.txt,2.4.2.10
395,A6Q2R6.txt,2.5.1.19
396,Q9L7L9.txt,3.1.26.5
397,Q6C9P3.txt,3.6.4.13
398,A1R019.txt,6.1.1.10
399,B1JUF2.txt,2.7.7.59
400,O81191.txt,4.2.3.108
401,B8GVY4.txt,3.2.2.23
402,P49717.txt,3.6.4.12
403,A5DAH9.txt,2.7.1.26
404,A4W827.txt,6.1.1.4
405,A6U3D8.txt,4.2.1.9
406,A4SR47.txt,6.3.2.6
407,Q4ZN10.txt,3.5.1.5
408,B1LFY5.txt,3.6.1.41
409,Q1QS60.txt,2.7.7.8
410,B0JV09.txt,3.1.26.4
411,Q0AKM4.txt,1.11.1.28
412,Q9TUD4.txt,2.4.1.69
413,A5UE48.txt,1.1.5.3
414,O02734.txt,2.3.3.10
415,P0C7L2.txt,2.3.1.223
416,P14091.txt,3.4.23.34
417,C5CFQ6.txt,2.1.1.177
418,Q5E0F9.txt,1.1.1.103
419,B2A5K8.txt,2.4.2.29
420,Q20X09.txt,3.6.4.12
421,Q579E7.txt,3.5.2.7
422,Q934G0.txt,1.17.2.2
423,P62002.txt,5.3.1.1
424,Q0VSD8.txt,1.17.7.4
425,B9DMJ5.txt,1.1.1.86
426,Q8FMB7.txt,2.7.2.1
427,B4RV73.txt,6.1.1.15
428,Q0TAM1.txt,2.1.1.163
429,Q2JXB4.txt,3.6.1.9
430,Q0B880.txt,1.7.99.1
431,Q46Z98.txt,2.1.1.166
432,B0C915.txt,6.3.2.9
433,A2C4V3.txt,1.97.1.12
434,Q87R80.txt,3.4.21.92
435,B7JYN0.txt,5.4.2.10
436,P45702.txt,3.2.1.37
437,Q9T9X8.txt,7.1.1.2
438,Q1JMD2.txt,3.4.23.36
439,Q0HFL7.txt,1.8.1.2
440,C1CIQ5.txt,3.1.26.4
441,Q256F9.txt,6.1.1.3
442,Q6D4H3.txt,6.1.1.20
443,Q5WZ49.txt,4.3.2.1
444,C0QQW6.txt,3.1.1.29
445,Q6G904.txt,2.7.7.101
446,A9M6S9.txt,2.1.1.192
447,A4QAK7.txt,4.6.1.17
448,B1ZAD6.txt,4.3.2.10
449,Q02000.txt,2.4.2.18
450,A6T748.txt,4.2.1.59
451,Q8FP92.txt,2.7.7.n1
452,Q95333.txt,3.4.11.9
453,A6WV52.txt,6.3.4.21
454,A2RG70.txt,2.7.4.9
455,A4XVX2.txt,6.1.1.17
456,Q1GI57.txt,2.7.7.n1
457,Q10WA8.txt,1.17.7.4
458,P84723.txt,3.4.21.92
459,A4W8W6.txt,5.3.3.14
460,B9KRG9.txt,3.4.25.2
461,Q99YT1.txt,1.8.4.12
462,P52181.txt,2.3.2.13
463,Q6MTF4.txt,3.4.21.53
464,B8AL33.txt,2.3.1.35
465,A1U2C3.txt,6.1.1.3
466,Q9R008.txt,2.7.1.36
467,Q8MM62.txt,3.1.4.35
468,B8HXQ5.txt,2.7.2.3
469,B6INF8.txt,3.5.4.13
470,Q0I8L5.txt,2.7.4.22
471,A1TXM4.txt,2.1.1.166
472,A8AFD4.txt,2.4.1.15
473,P0AC85.txt,3.1.2.6
474,B0UML5.txt,2.1.2.1
475,Q8X7B6.txt,4.2.1.20
476,Q68FT5.txt,2.1.1.10
477,P57106.txt,1.1.1.37
478,Q3YRX9.txt,4.2.1.11
479,C6E3M5.txt,2.5.1.78
480,Q8Z0V2.txt,2.1.1.172
481,A6TBK1.txt,3.5.4.2
482,Q8EDG1.txt,3.5.4.5
483,O51363.txt,6.1.1.15
484,B0U3A6.txt,3.1.3.77
485,Q8P9Z6.txt,6.3.4.2
486,B1XD29.txt,3.2.2.9
487,C3MI14.txt,6.3.4.4
488,Q2G2M6.txt,6.1.1.16
489,A4JA33.txt,7.1.2.2
490,A8GZ19.txt,2.7.2.8
491,Q5X105.txt,6.1.1.10
492,Q8XTQ1.txt,2.1.2.1
493,Q38X32.txt,6.3.4.3
494,Q8ZFX8.txt,3.5.1.2
495,C4LDE6.txt,3.5.4.16
496,Q126M3.txt,5.4.99.12
497,Q88UE1.txt,3.5.1.2
498,Q9ZJD9.txt,6.1.1.11
499,P43490.txt,2.4.2.12
500,Q67KH6.txt,1.1.1.23
501,D5BW25.txt,2.4.1.129
502,Q1LNM0.txt,7.6.2.14
503,Q8KC71.txt,2.1.3.15
504,Q8PZI1.txt,4.6.1.16
505,A4SVI6.txt,2.1.2.1
506,Q2J1U0.txt,7.3.2.5
507,B7UMX6.txt,2.3.2.6
508,Q7T291.txt,3.6.1.13
509,Q03GE2.txt,6.1.1.19
510,P50587.txt,2.4.2.10
511,Q6CJU1.txt,3.6.4.13
512,B5R404.txt,3.2.1.28
513,Q6ZH29.txt,2.6.1.96
514,Q9C821.txt,2.7.11.1
515,Q7VLI5.txt,2.7.2.1
516,Q9LXD7.txt,2.3.1.48
517,B5FJQ1.txt,1.3.1.76
518,Q39US3.txt,3.5.2.3
519,Q8NSL2.txt,4.1.3.30
520,Q87BK4.txt,1.5.1.5
521,Q8PTU2.txt,3.1.26.5
522,B0RUI8.txt,2.5.1.145
523,P26514.txt,3.2.1.8
524,P44828.txt,3.6.1.11
525,Q970Z6.txt,6.1.1.4
526,B9JG24.txt,1.1.1.25
527,Q9QUL3.txt,3.1.1.4
528,Q5YY98.txt,2.7.1.23
529,O08371.txt,6.2.1.5
530,Q0VL87.txt,2.7.2.3
531,B5EZ72.txt,2.8.1.8
532,A6T532.txt,2.4.2.22
533,Q21CY7.txt,7.1.2.2
534,Q5M3V8.txt,5.4.2.10
535,B0U4M4.txt,3.5.1.88
536,B7UPF2.txt,4.1.1.37
537,P0DA78.txt,2.7.7.7
538,Q8XGS6.txt,3.5.2.5
539,A9VIP7.txt,3.6.4.12
540,Q2JUJ5.txt,2.7.7.6
541,J7LP58.txt,4.2.3.133
542,B3EWI9.txt,1.4.3.2
543,Q9PLG6.txt,2.7.8.13
544,A0RIR1.txt,1.17.7.4
545,A7MKS3.txt,6.1.1.14
546,Q0T5N9.txt,2.8.1.13
547,A5VKR5.txt,3.1.11.6
548,B7MQ21.txt,3.1.2.6
549,Q5X994.txt,2.1.1.177
550,Q62FB8.txt,2.7.7.3
551,A0K5W3.txt,2.7.8.7
552,B5EFU7.txt,6.3.3.1
553,B7H8H3.txt,3.4.19.3
554,Q8ZU56.txt,6.1.1.10
555,Q5M391.txt,3.5.4.16
556,B0VRJ4.txt,2.1.1.172
557,Q5FNT5.txt,2.8.1.10
558,Q93009.txt,3.4.19.12
559,B1ITJ5.txt,4.2.1.20
560,Q8GVD0.txt,3.2.1.206
561,Q114U6.txt,4.1.1.37
562,Q9RYH5.txt,3.7.1.3
563,Q52811.txt,4.4.1.13
564,B8J364.txt,4.1.1.111
565,Q8ZFR0.txt,3.4.11.4
566,Q8MKF1.txt,3.6.1.28
567,Q5A446.txt,1.16.1.9
568,Q5LZF5.txt,4.2.1.33
569,P46107.txt,3.4.19.3
570,Q5LSV4.txt,2.7.4.22
571,Q92560.txt,3.4.19.12
572,P0C5A0.txt,3.1.3.16
573,P14243.txt,2.1.1.113
574,A6VDF5.txt,4.1.1.37
575,Q0BCQ2.txt,3.4.11.1
576,P38615.txt,2.7.11.1
577,P9WQP2.txt,2.3.1.20
578,A9ILI4.txt,2.7.2.8
579,Q9M9W3.txt,3.1.3.16
580,A6W7N6.txt,1.1.1.86
581,P98024.txt,7.1.1.9
582,A6VMV4.txt,2.1.1.172
583,P79384.txt,6.4.1.3
584,Q52028.txt,1.14.12.18
585,Q3BXK7.txt,1.2.1.8
586,Q2RGY0.txt,6.5.1.2
587,B4TN57.txt,3.6.1.54
588,Q7MIU0.txt,2.1.3.15
589,A9KL43.txt,4.1.1.48
590,B1MZ61.txt,6.1.1.14
591,A3MWQ7.txt,6.2.1.5
592,A9MQR6.txt,2.1.1.33
593,B6EIA7.txt,2.2.1.7
594,P14581.txt,1.14.14.80
595,Q9D4V0.txt,2.7.1.82
596,Q5JGE1.txt,2.5.1.89
597,P63842.txt,2.4.2.21
598,Q5WJM5.txt,4.6.1.17
599,P32813.txt,2.1.1.207
600,Q9TYU5.txt,2.3.1.48
601,Q21KP6.txt,2.1.1.61
602,Q6GBY6.txt,3.1.1.29
603,P0ABD4.txt,1.16.3.1
604,C3N5A3.txt,2.3.3.14
605,A6LPX4.txt,4.2.1.33
606,B8I1A8.txt,2.7.7.56
607,Q9CHL8.txt,7.6.2.2
608,B2TV30.txt,1.9.6.1
609,A4J6A8.txt,2.7.2.1
610,Q3AUV1.txt,2.7.4.25
611,Q5HG86.txt,1.11.1.6
612,Q8PS69.txt,1.7.99.1
613,Q7M8W8.txt,2.4.2.7
614,A0QVT0.txt,2.1.1.148
615,Q98Q50.txt,4.2.1.11
616,Q9HMV4.txt,3.5.4.10
617,Q8A5J7.txt,2.7.4.22
618,A8Z4E3.txt,3.5.2.9
619,Q7W7H7.txt,2.1.3.3
620,Q5ZIU3.txt,2.7.12.1
621,Q9KGG0.txt,2.7.7.85
622,A5W6F5.txt,1.6.1.1
623,P42693.txt,5.2.1.8
624,Q5SD11.txt,1.97.1.12
625,Q2GY21.txt,3.3.2.10
626,Q8LG58.txt,2.4.1.207
627,O62964.txt,4.1.1.39
628,P65651.txt,2.5.1.74
629,Q031A0.txt,2.4.2.7
630,Q336V9.txt,2.7.11.1
631,P37515.txt,2.3.1.79
632,B0R6P7.txt,2.7.7.68
633,Q978S7.txt,3.2.1.28
634,P97324.txt,1.1.1.49
635,Q50382.txt,5.6.1.7
636,Q7W5I3.txt,2.3.1.274
637,Q9ZU40.txt,1.8.3.2
638,Q486U0.txt,6.1.1.5
639,Q16DR9.txt,1.3.7.7
640,Q9SXP2.txt,1.17.1.9
641,Q19192.txt,2.7.11.1
642,B5F7D6.txt,1.1.1.282
643,C3K3P0.txt,4.2.1.9
644,P66750.txt,3.6.4.12
645,Q13AQ6.txt,2.5.1.6
646,Q8FL88.txt,2.7.1.16
647,P58883.txt,4.1.1.23
648,P07979.txt,3.2.1.73
649,A6V7E9.txt,2.9.1.3
650,Q87AS0.txt,1.1.5.4
651,Q4L9T4.txt,4.1.3.3
652,P52147.txt,1.20.4.1
653,Q5V2T3.txt,2.1.3.2
654,A5EM76.txt,5.6.1.7
655,Q4UJT5.txt,6.1.1.7
656,Q0AB42.txt,1.5.1.5
657,Q88B61.txt,4.2.1.20
658,Q381M1.txt,2.7.7.52
659,A3LX02.txt,3.6.4.13
660,Q54VT8.txt,2.7.1.30
661,P28603.txt,2.7.7.4
662,B7L4P2.txt,4.99.1.4
663,Q9V098.txt,1.15.1.2
664,P55204.txt,4.6.1.2
665,A7ZWD1.txt,2.1.3.15
666,F4HTQ1.txt,3.4.24.15
667,P86199.txt,1.1.1.31
668,Q9LT69.txt,1.1.1.95
669,A8A5M0.txt,3.1.1.85
670,Q8EIC6.txt,3.6.1.73
671,P47981.txt,2.7.7.1
672,P56111.txt,4.2.1.12
673,Q22347.txt,1.3.8.7
674,Q2JVR1.txt,4.3.2.10
675,Q2RYU8.txt,2.7.1.24
676,Q0C516.txt,1.1.1.86
677,B2GDX6.txt,2.7.7.6
678,Q2KUK2.txt,6.3.2.1
679,P46313.txt,1.14.19.22
680,A0L4R4.txt,6.1.1.4
681,B4EN29.txt,2.2.1.7
682,Q5V212.txt,5.3.1.24
683,B9JYQ5.txt,2.7.1.2
684,A1ADH8.txt,4.2.3.5
685,Q7Z8M6.txt,4.2.1.66
686,O25730.txt,3.1.1.31
687,P22805.txt,2.6.1.62
688,B9DMF3.txt,2.1.2.1
689,P39951.txt,2.7.11.23
690,B5YPW2.txt,2.7.7.61
691,B1J100.txt,2.7.7.7
692,P0A0T0.txt,5.3.1.9
693,Q6G9Y3.txt,2.3.1.39
694,C1CFR8.txt,2.7.8.7
695,Q9ABV3.txt,5.4.2.10
696,Q8XY07.txt,5.1.1.3
697,B2HUI9.txt,2.7.1.33
698,A3Q6N0.txt,1.2.1.10
699,B0S912.txt,5.6.2.2
700,Q01411.txt,5.4.2.8
701,O84468.txt,2.7.7.60
702,A1KLW4.txt,6.1.1.3
703,B1YW19.txt,1.2.1.71
704,Q9A5K1.txt,2.3.1.275
705,A1UWC8.txt,1.2.1.70
706,B4SAI2.txt,6.3.2.4
707,Q6MSF0.txt,5.4.2.12
708,A6H098.txt,1.4.3.5
