protein,EC,point_cloud
Q9UUN9,1.1.1.2,Q9UUN9.txt
Q46856,1.1.1.2,Q46856.txt
P00561,1.1.1.3,P00561.txt
Q9SA18,1.1.1.3,Q9SA18.txt
P49080,1.1.1.3,P49080.txt
Q89AR4,1.1.1.3,Q89AR4.txt
P19582,1.1.1.3,P19582.txt
Q9ZL20,1.1.1.3,Q9ZL20.txt
P52985,1.1.1.3,P52985.txt
P63630,1.1.1.3,P63630.txt
P9WPX1,1.1.1.3,P9WPX1.txt
P52986,1.1.1.3,P52986.txt
Q5XIZ6,1.1.1.8,Q5XIZ6.txt
Q5R5V3,1.1.1.8,Q5R5V3.txt
Q6FN96,1.1.1.8,Q6FN96.txt
P21696,1.1.1.8,P21696.txt
Q9HGY2,1.1.1.8,Q9HGY2.txt
Q09845,1.1.1.8,Q09845.txt
Q9SCX9,1.1.1.8,Q9SCX9.txt
P52425,1.1.1.8,P52425.txt
O97463,1.1.1.8,O97463.txt
P21695,1.1.1.8,P21695.txt
P13707,1.1.1.8,P13707.txt
P08507,1.1.1.8,P08507.txt
P90593,1.1.1.8,P90593.txt
Q9S785,1.1.1.8,Q9S785.txt
Q65X70,1.1.1.8,Q65X70.txt
Q4PNS1,1.1.1.8,Q4PNS1.txt
Q7ZA45,1.1.1.8,Q7ZA45.txt
Q7ZA43,1.1.1.8,Q7ZA43.txt
P35497,1.1.1.9,P35497.txt
Q9FJ95,1.1.1.9,Q9FJ95.txt
Q58D31,1.1.1.9,Q58D31.txt
Q64442,1.1.1.9,Q64442.txt
P27867,1.1.1.9,P27867.txt
A1CFY8,1.1.1.9,A1CFY8.txt
A2QY54,1.1.1.9,A2QY54.txt
Q0CWQ2,1.1.1.9,Q0CWQ2.txt
P22144,1.1.1.9,P22144.txt
Q8U7Y1,1.1.1.9,Q8U7Y1.txt
Q92MT4,1.1.1.9,Q92MT4.txt
Q5E1G4,1.1.1.17,Q5E1G4.txt
B0BRV5,1.1.1.17,B0BRV5.txt
B6EN80,1.1.1.17,B6EN80.txt
Q6UQ76,1.1.1.17,Q6UQ76.txt
A1C6B4,1.1.1.17,A1C6B4.txt
A2QD49,1.1.1.17,A2QD49.txt
Q0CXS6,1.1.1.17,Q0CXS6.txt
P42957,1.1.1.17,P42957.txt
B8D8D5,1.1.1.17,B8D8D5.txt
B8D892,1.1.1.17,B8D892.txt
Q2H2D7,1.1.1.17,Q2H2D7.txt
A7MNE5,1.1.1.17,A7MNE5.txt
B7MFG0,1.1.1.17,B7MFG0.txt
B5YW99,1.1.1.17,B5YW99.txt
B7M3M7,1.1.1.17,B7M3M7.txt
A8A660,1.1.1.17,A8A660.txt
P09424,1.1.1.17,P09424.txt
B1LK35,1.1.1.17,B1LK35.txt
B2VCH7,1.1.1.17,B2VCH7.txt
Q5KYK6,1.1.1.17,Q5KYK6.txt
B5XMV6,1.1.1.17,B5XMV6.txt
B3WBT3,1.1.1.17,B3WBT3.txt
Q033G3,1.1.1.17,Q033G3.txt
Q6AHH7,1.1.1.17,Q6AHH7.txt
L7IBL2,1.1.1.17,L7IBL2.txt
P78008,1.1.1.17,P78008.txt
Q7SA44,1.1.1.17,Q7SA44.txt
Q874B3,1.1.1.17,Q874B3.txt
C6DII4,1.1.1.17,C6DII4.txt
Q6LKE5,1.1.1.17,Q6LKE5.txt
A1SR48,1.1.1.17,A1SR48.txt
B5FLG3,1.1.1.17,B5FLG3.txt
B4T977,1.1.1.17,B4T977.txt
A9MVI4,1.1.1.17,A9MVI4.txt
Q8Z2E0,1.1.1.17,Q8Z2E0.txt
A8G7U3,1.1.1.17,A8G7U3.txt
Q83PQ0,1.1.1.17,Q83PQ0.txt
A7X522,1.1.1.17,A7X522.txt
Q2FW96,1.1.1.17,Q2FW96.txt
Q9RL68,1.1.1.17,Q9RL68.txt
P99140,1.1.1.17,P99140.txt
A8YYC5,1.1.1.17,A8YYC5.txt
Q4L9Y4,1.1.1.17,Q4L9Y4.txt
Q04M75,1.1.1.17,Q04M75.txt
B1I9J3,1.1.1.17,B1I9J3.txt
B2ILU3,1.1.1.17,B2ILU3.txt
B6QP49,1.1.1.17,B6QP49.txt
C4L8P4,1.1.1.17,C4L8P4.txt
Q9KKQ6,1.1.1.17,Q9KKQ6.txt
Q8DEF5,1.1.1.17,Q8DEF5.txt
A7FP92,1.1.1.17,A7FP92.txt
Q8Z9X0,1.1.1.17,Q8Z9X0.txt
A4TGP0,1.1.1.17,A4TGP0.txt
A1T235,1.1.1.18,A1T235.txt
A1TC97,1.1.1.18,A1TC97.txt
A4FIQ1,1.1.1.18,A4FIQ1.txt
A5G0Y2,1.1.1.18,A5G0Y2.txt
Q9KAH1,1.1.1.18,Q9KAH1.txt
Q65D06,1.1.1.18,Q65D06.txt
C5BYN4,1.1.1.18,C5BYN4.txt
B1K045,1.1.1.18,B1K045.txt
Q39H98,1.1.1.18,Q39H98.txt
A3PRX7,1.1.1.18,A3PRX7.txt
A4QAF9,1.1.1.18,A4QAF9.txt
B2VJP4,1.1.1.18,B2VJP4.txt
B5Y2S5,1.1.1.18,B5Y2S5.txt
Q88S38,1.1.1.18,Q88S38.txt
A0R191,1.1.1.18,A0R191.txt
B8HDD2,1.1.1.18,B8HDD2.txt
Q87ZD5,1.1.1.18,Q87ZD5.txt
A9WKW2,1.1.1.18,A9WKW2.txt
Q1AV95,1.1.1.18,Q1AV95.txt
Q8ZK57,1.1.1.18,Q8ZK57.txt
Q82NQ8,1.1.1.18,Q82NQ8.txt
A1JSK7,1.1.1.18,A1JSK7.txt
D4GYH5,1.1.1.22,D4GYH5.txt
O33952,1.1.1.22,O33952.txt
Q7DBF9,1.1.1.22,Q7DBF9.txt
O86422,1.1.1.22,O86422.txt
Q92GB1,1.1.1.22,Q92GB1.txt
Q68VX0,1.1.1.22,Q68VX0.txt
Q57346,1.1.1.22,Q57346.txt
Q5X9A8,1.1.1.22,Q5X9A8.txt
P0C0F4,1.1.1.22,P0C0F4.txt
Q96558,1.1.1.22,Q96558.txt
Q9LF33,1.1.1.22,Q9LF33.txt
Q2QS14,1.1.1.22,Q2QS14.txt
Q19905,1.1.1.22,Q19905.txt
O60701,1.1.1.22,O60701.txt
O70199,1.1.1.22,O70199.txt
O74712,1.1.1.23,O74712.txt
P45353,1.1.1.23,P45353.txt
Q9C5U8,1.1.1.23,Q9C5U8.txt
Q3MEV7,1.1.1.23,Q3MEV7.txt
Q6FEC8,1.1.1.23,Q6FEC8.txt
Q5WDH8,1.1.1.23,Q5WDH8.txt
O30027,1.1.1.23,O30027.txt
Q81T62,1.1.1.23,Q81T62.txt
Q63DX2,1.1.1.23,Q63DX2.txt
Q6HLE7,1.1.1.23,Q6HLE7.txt
Q8ABA9,1.1.1.23,Q8ABA9.txt
Q492K3,1.1.1.23,Q492K3.txt
Q7VSZ1,1.1.1.23,Q7VSZ1.txt
Q2YPB8,1.1.1.23,Q2YPB8.txt
Q8G2R2,1.1.1.23,Q8G2R2.txt
P59398,1.1.1.23,P59398.txt
Q9RQ85,1.1.1.23,Q9RQ85.txt
Q62GD9,1.1.1.23,Q62GD9.txt
Q8R882,1.1.1.23,Q8R882.txt
Q3AD53,1.1.1.23,Q3AD53.txt
Q3AR25,1.1.1.23,Q3AR25.txt
Q7P0F6,1.1.1.23,Q7P0F6.txt
P60858,1.1.1.23,P60858.txt
Q4JW59,1.1.1.23,Q4JW59.txt
Q47AL5,1.1.1.23,Q47AL5.txt
Q9RSI4,1.1.1.23,Q9RSI4.txt
Q8X8T3,1.1.1.23,Q8X8T3.txt
Q5KVC6,1.1.1.23,Q5KVC6.txt
Q7NL02,1.1.1.23,Q7NL02.txt
P44001,1.1.1.23,P44001.txt
Q7VFF5,1.1.1.23,Q7VFF5.txt
Q5QWP8,1.1.1.23,Q5QWP8.txt
Q5X5W9,1.1.1.23,Q5X5W9.txt
Q6AE76,1.1.1.23,Q6AE76.txt
P62458,1.1.1.23,P62458.txt
Q722Y3,1.1.1.23,Q722Y3.txt
Q8TL41,1.1.1.23,Q8TL41.txt
Q58851,1.1.1.23,Q58851.txt
P60862,1.1.1.23,P60862.txt
P63951,1.1.1.23,P63951.txt
P28736,1.1.1.23,P28736.txt
Q3IQR5,1.1.1.23,Q3IQR5.txt
Q9JYH8,1.1.1.23,Q9JYH8.txt
Q3J7H1,1.1.1.23,Q3J7H1.txt
Q8ESR8,1.1.1.23,Q8ESR8.txt
Q7U8K7,1.1.1.23,Q7U8K7.txt
Q4FNE2,1.1.1.23,Q4FNE2.txt
Q318Q4,1.1.1.23,Q318Q4.txt
Q7V004,1.1.1.23,Q7V004.txt
Q9HVW9,1.1.1.23,Q9HVW9.txt
P59400,1.1.1.23,P59400.txt
Q4ZNV9,1.1.1.23,Q4ZNV9.txt
O59626,1.1.1.23,O59626.txt
Q92S26,1.1.1.23,Q92S26.txt
Q2RQM7,1.1.1.23,Q2RQM7.txt
Q57MS3,1.1.1.23,Q57MS3.txt
Q8Z5K0,1.1.1.23,Q8Z5K0.txt
Q8EFB1,1.1.1.23,Q8EFB1.txt
P59401,1.1.1.23,P59401.txt
Q5HCL9,1.1.1.23,Q5HCL9.txt
Q6GDC6,1.1.1.23,Q6GDC6.txt
Q5HKN8,1.1.1.23,Q5HKN8.txt
Q82AA6,1.1.1.23,Q82AA6.txt
Q4J8I8,1.1.1.23,Q4J8I8.txt
Q67KH6,1.1.1.23,Q67KH6.txt
P73058,1.1.1.23,P73058.txt
Q9X0D1,1.1.1.23,Q9X0D1.txt
Q8DGR2,1.1.1.23,Q8DGR2.txt
Q9F854,1.1.1.23,Q9F854.txt
Q7MLS6,1.1.1.23,Q7MLS6.txt
Q3BUF7,1.1.1.23,Q3BUF7.txt
Q2P3K3,1.1.1.23,Q2P3K3.txt
Q87C29,1.1.1.23,Q87C29.txt
Q9RH05,1.1.1.23,Q9RH05.txt
A5H2Q8,1.1.1.25,A5H2Q8.txt
B6QCA7,1.1.1.25,B6QCA7.txt
A6R8Q8,1.1.1.25,A6R8Q8.txt
Q74ZZ1,1.1.1.25,Q74ZZ1.txt
B8N4Q9,1.1.1.25,B8N4Q9.txt
Q0D0F3,1.1.1.25,Q0D0F3.txt
B9WFG1,1.1.1.25,B9WFG1.txt
C4Y9D5,1.1.1.25,C4Y9D5.txt
P0CM23,1.1.1.25,P0CM23.txt
C7YZ74,1.1.1.25,C7YZ74.txt
B0D6H2,1.1.1.25,B0D6H2.txt
A8QCB2,1.1.1.25,A8QCB2.txt
C1H8L1,1.1.1.25,C1H8L1.txt
B6HAA7,1.1.1.25,B6HAA7.txt
Q12659,1.1.1.25,Q12659.txt
Q9P7R0,1.1.1.25,Q9P7R0.txt
D1ZA70,1.1.1.25,D1ZA70.txt
C4JYG6,1.1.1.25,C4JYG6.txt
Q6C1X5,1.1.1.25,Q6C1X5.txt
A6ZY89,1.1.1.25,A6ZY89.txt
C5DVG6,1.1.1.25,C5DVG6.txt
O84375,1.1.1.25,O84375.txt
B7GVX2,1.1.1.25,B7GVX2.txt
B0VQB5,1.1.1.25,B0VQB5.txt
A5G270,1.1.1.25,A5G270.txt
A3N1E3,1.1.1.25,A3N1E3.txt
A6VL68,1.1.1.25,A6VL68.txt
A4ST49,1.1.1.25,A4ST49.txt
B9JG24,1.1.1.25,B9JG24.txt
B5FCV8,1.1.1.25,B5FCV8.txt
Q0A4S2,1.1.1.25,Q0A4S2.txt
A8MEE1,1.1.1.25,A8MEE1.txt
Q2IMC7,1.1.1.25,Q2IMC7.txt
O67049,1.1.1.25,O67049.txt
A0K2D5,1.1.1.25,A0K2D5.txt
C3L5T8,1.1.1.25,C3L5T8.txt
Q730K1,1.1.1.25,Q730K1.txt
B7HCW1,1.1.1.25,B7HCW1.txt
B9IYA1,1.1.1.25,B9IYA1.txt
Q6HDI8,1.1.1.25,Q6HDI8.txt
P54374,1.1.1.25,P54374.txt
Q6G1B5,1.1.1.25,Q6G1B5.txt
Q493H9,1.1.1.25,Q493H9.txt
Q7W3V3,1.1.1.25,Q7W3V3.txt
C0ZB07,1.1.1.25,C0ZB07.txt
Q57AI9,1.1.1.25,Q57AI9.txt
Q8YE20,1.1.1.25,Q8YE20.txt
Q8FY21,1.1.1.25,Q8FY21.txt
P46240,1.1.1.25,P46240.txt
Q057D3,1.1.1.25,Q057D3.txt
Q8RAG2,1.1.1.25,Q8RAG2.txt
Q9AC57,1.1.1.25,Q9AC57.txt
A3PNT1,1.1.1.25,A3PNT1.txt
B9KPV7,1.1.1.25,B9KPV7.txt
B3EEM6,1.1.1.25,B3EEM6.txt
A4SDK2,1.1.1.25,A4SDK2.txt
Q7NS40,1.1.1.25,Q7NS40.txt
A7FWA9,1.1.1.25,A7FWA9.txt
A5I4X1,1.1.1.25,A5I4X1.txt
B1KX91,1.1.1.25,B1KX91.txt
Q0SV31,1.1.1.25,Q0SV31.txt
B6J3J2,1.1.1.25,B6J3J2.txt
Q83FD0,1.1.1.25,Q83FD0.txt
Q0K6Y5,1.1.1.25,Q0K6Y5.txt
Q478U6,1.1.1.25,Q478U6.txt
Q3ZZN3,1.1.1.25,Q3ZZN3.txt
B5YE16,1.1.1.25,B5YE16.txt
A7ZSH0,1.1.1.25,A7ZSH0.txt
B7LHX9,1.1.1.25,B7LHX9.txt
B7NLK0,1.1.1.25,B7NLK0.txt
C4ZUD6,1.1.1.25,C4ZUD6.txt
A1AGH3,1.1.1.25,A1AGH3.txt
B1IQ18,1.1.1.25,B1IQ18.txt
B6I1Z5,1.1.1.25,B6I1Z5.txt
C5BF12,1.1.1.25,C5BF12.txt
B1YKR3,1.1.1.25,B1YKR3.txt
Q39VU8,1.1.1.25,Q39VU8.txt
C5D4W2,1.1.1.25,C5D4W2.txt
Q5FPK1,1.1.1.25,Q5FPK1.txt
A5UE78,1.1.1.25,A5UE78.txt
Q0I1B7,1.1.1.25,Q0I1B7.txt
B9LSZ3,1.1.1.25,B9LSZ3.txt
B0R386,1.1.1.25,B0R386.txt
Q17Z34,1.1.1.25,Q17Z34.txt
B5Z8P5,1.1.1.25,B5Z8P5.txt
Q56S04,1.1.1.25,Q56S04.txt
B0UWV8,1.1.1.25,B0UWV8.txt
Q5QXJ3,1.1.1.25,Q5QXJ3.txt
Q28VZ9,1.1.1.25,Q28VZ9.txt
Q02XB7,1.1.1.25,Q02XB7.txt
Q5X189,1.1.1.25,Q5X189.txt
Q5WT02,1.1.1.25,Q5WT02.txt
B1Y4W6,1.1.1.25,B1Y4W6.txt
Q92EG7,1.1.1.25,Q92EG7.txt
B1HUI4,1.1.1.25,B1HUI4.txt
Q2VYH4,1.1.1.25,Q2VYH4.txt
C6BUS3,1.1.1.25,C6BUS3.txt
Q0W4U3,1.1.1.25,Q0W4U3.txt
Q603L1,1.1.1.25,Q603L1.txt
Q8TZ24,1.1.1.25,Q8TZ24.txt
Q8PXE6,1.1.1.25,Q8PXE6.txt
B1M3B2,1.1.1.25,B1M3B2.txt
Q2NGK8,1.1.1.25,Q2NGK8.txt
A6UNU0,1.1.1.25,A6UNU0.txt
Q3ITN9,1.1.1.25,Q3ITN9.txt
Q5F6F7,1.1.1.25,Q5F6F7.txt
A9M2N2,1.1.1.25,A9M2N2.txt
A1KVS6,1.1.1.25,A1KVS6.txt
P95399,1.1.1.25,P95399.txt
Q1QP91,1.1.1.25,Q1QP91.txt
Q3J818,1.1.1.25,Q3J818.txt
Q8EPU9,1.1.1.25,Q8EPU9.txt
A7HSJ1,1.1.1.25,A7HSJ1.txt
C6DFR0,1.1.1.25,C6DFR0.txt
Q4FNS5,1.1.1.25,Q4FNS5.txt
Q6LLK1,1.1.1.25,Q6LLK1.txt
A8G7L0,1.1.1.25,A8G7L0.txt
B4F1M1,1.1.1.25,B4F1M1.txt
Q15ZX4,1.1.1.25,Q15ZX4.txt
B8H806,1.1.1.25,B8H806.txt
A4VFI4,1.1.1.25,A4VFI4.txt
A1SR30,1.1.1.25,A1SR30.txt
Q8U0A6,1.1.1.25,Q8U0A6.txt
B3PVT4,1.1.1.25,B3PVT4.txt
Q92TF0,1.1.1.25,Q92TF0.txt
Q20YZ3,1.1.1.25,Q20YZ3.txt
Q2RN88,1.1.1.25,Q2RN88.txt
Q1GCM4,1.1.1.25,Q1GCM4.txt
Q980I8,1.1.1.25,Q980I8.txt
B5R1D8,1.1.1.25,B5R1D8.txt
Q5PIS9,1.1.1.25,Q5PIS9.txt
B4TXA5,1.1.1.25,B4TXA5.txt
A8GKG0,1.1.1.25,A8GKG0.txt
A3CYL3,1.1.1.25,A3CYL3.txt
Q12T95,1.1.1.25,Q12T95.txt
Q8EKQ0,1.1.1.25,Q8EKQ0.txt
A0KR69,1.1.1.25,A0KR69.txt
A1RDZ0,1.1.1.25,A1RDZ0.txt
Q31VZ5,1.1.1.25,Q31VZ5.txt
Q83PZ3,1.1.1.25,Q83PZ3.txt
A6UEF5,1.1.1.25,A6UEF5.txt
A7X302,1.1.1.25,A7X302.txt
Q2FXY1,1.1.1.25,Q2FXY1.txt
Q5HFG5,1.1.1.25,Q5HFG5.txt
P63594,1.1.1.25,P63594.txt
A8Z4D5,1.1.1.25,A8Z4D5.txt
Q5HNV1,1.1.1.25,Q5HNV1.txt
Q49Y37,1.1.1.25,Q49Y37.txt
A8AXZ5,1.1.1.25,A8AXZ5.txt
Q8DUW3,1.1.1.25,Q8DUW3.txt
P0CZ76,1.1.1.25,P0CZ76.txt
C1C7X7,1.1.1.25,C1C7X7.txt
Q1JKT5,1.1.1.25,Q1JKT5.txt
B1ICH7,1.1.1.25,B1ICH7.txt
P63595,1.1.1.25,P63595.txt
B5XMF0,1.1.1.25,B5XMF0.txt
C0MHD5,1.1.1.25,C0MHD5.txt
Q03LH5,1.1.1.25,Q03LH5.txt
C1CL85,1.1.1.25,C1CL85.txt
C3MZF3,1.1.1.25,C3MZF3.txt
C3MXK7,1.1.1.25,C3MXK7.txt
Q96Y95,1.1.1.25,Q96Y95.txt
Q2JRC6,1.1.1.25,Q2JRC6.txt
P74591,1.1.1.25,P74591.txt
Q9WYI1,1.1.1.25,Q9WYI1.txt
B1L9E4,1.1.1.25,B1L9E4.txt
Q8DLA6,1.1.1.25,Q8DLA6.txt
Q3SFZ9,1.1.1.25,Q3SFZ9.txt
Q3M8H2,1.1.1.25,Q3M8H2.txt
B7VMW2,1.1.1.25,B7VMW2.txt
Q9KVT3,1.1.1.25,Q9KVT3.txt
Q8DDD4,1.1.1.25,Q8DDD4.txt
Q3BN06,1.1.1.25,Q3BN06.txt
Q8P3W6,1.1.1.25,Q8P3W6.txt
Q9PFN3,1.1.1.25,Q9PFN3.txt
A1JRY4,1.1.1.25,A1JRY4.txt
B2K4Z9,1.1.1.25,B2K4Z9.txt
Q1CCY1,1.1.1.25,Q1CCY1.txt
B1JJI3,1.1.1.25,B1JJI3.txt
Q81RW4,1.1.1.27,Q81RW4.txt
Q63CN1,1.1.1.27,Q63CN1.txt
P59050,1.1.1.27,P59050.txt
Q5FMB0,1.1.1.27,Q5FMB0.txt
P04034,1.1.1.27,P04034.txt
Q724K3,1.1.1.27,Q724K3.txt
A7WXP7,1.1.1.27,A7WXP7.txt
Q2G218,1.1.1.27,Q2G218.txt
Q5HJD7,1.1.1.27,Q5HJD7.txt
P65256,1.1.1.27,P65256.txt
A8Z0K3,1.1.1.27,A8Z0K3.txt
P62048,1.1.1.27,P62048.txt
Q6HC14,1.1.1.27,Q6HC14.txt
Q97DC6,1.1.1.27,Q97DC6.txt
P62053,1.1.1.27,P62053.txt
P59390,1.1.1.27,P59390.txt
Q8Y6Z6,1.1.1.27,Q8Y6Z6.txt
A6U4Y2,1.1.1.27,A6U4Y2.txt
A5IW27,1.1.1.27,A5IW27.txt
A6QK89,1.1.1.27,A6QK89.txt
Q6GDK1,1.1.1.27,Q6GDK1.txt
Q8NUM9,1.1.1.27,Q8NUM9.txt
Q815X8,1.1.1.27,Q815X8.txt
Q9CGG8,1.1.1.27,Q9CGG8.txt
Q9BYZ2,1.1.1.27,Q9BYZ2.txt
Q9W7M6,1.1.1.27,Q9W7M6.txt
Q98SL2,1.1.1.27,Q98SL2.txt
P00340,1.1.1.27,P00340.txt
Q9W7K5,1.1.1.27,Q9W7K5.txt
O93544,1.1.1.27,O93544.txt
P69083,1.1.1.27,P69083.txt
O93537,1.1.1.27,O93537.txt
O93545,1.1.1.27,O93545.txt
Q9XT87,1.1.1.27,Q9XT87.txt
O93539,1.1.1.27,O93539.txt
O93538,1.1.1.27,O93538.txt
Q98SL0,1.1.1.27,Q98SL0.txt
Q9W7L3,1.1.1.27,Q9W7L3.txt
O93401,1.1.1.27,O93401.txt
P79912,1.1.1.27,P79912.txt
O13278,1.1.1.27,O13278.txt
P69082,1.1.1.27,P69082.txt
Q6DGK2,1.1.1.27,Q6DGK2.txt
Q9YGL2,1.1.1.27,Q9YGL2.txt
P00337,1.1.1.27,P00337.txt
P42122,1.1.1.27,P42122.txt
Q4R5B6,1.1.1.27,Q4R5B6.txt
A5A6N7,1.1.1.27,A5A6N7.txt
Q1EG91,1.1.1.27,Q1EG91.txt
Q9P4B5,1.1.1.27,Q9P4B5.txt
Q9YI05,1.1.1.27,Q9YI05.txt
Q06176,1.1.1.27,Q06176.txt
Q9TSX5,1.1.1.27,Q9TSX5.txt
P42121,1.1.1.27,P42121.txt
Q5WE04,1.1.1.27,Q5WE04.txt
Q59244,1.1.1.27,Q59244.txt
P13714,1.1.1.27,P13714.txt
Q0SP77,1.1.1.27,Q0SP77.txt
Q662S5,1.1.1.27,Q662S5.txt
P93052,1.1.1.27,P93052.txt
A7FU32,1.1.1.27,A7FU32.txt
C1FMZ1,1.1.1.27,C1FMZ1.txt
B1L1N3,1.1.1.27,B1L1N3.txt
Q0SWR1,1.1.1.27,Q0SWR1.txt
Q8FLV6,1.1.1.27,Q8FLV6.txt
Q4JY42,1.1.1.27,Q4JY42.txt
P50933,1.1.1.27,P50933.txt
A1VG02,1.1.1.27,A1VG02.txt
Q8RED8,1.1.1.27,Q8RED8.txt
P00344,1.1.1.27,P00344.txt
Q7NG49,1.1.1.27,Q7NG49.txt
Q04CN9,1.1.1.27,Q04CN9.txt
D8KFT1,1.1.1.27,D8KFT1.txt
Q38V71,1.1.1.27,Q38V71.txt
Q8GMJ0,1.1.1.27,Q8GMJ0.txt
Q6F0L9,1.1.1.27,Q6F0L9.txt
O52354,1.1.1.27,O52354.txt
Q4A8M8,1.1.1.27,Q4A8M8.txt
Q6KIP9,1.1.1.27,Q6KIP9.txt
P78007,1.1.1.27,P78007.txt
Q59645,1.1.1.27,Q59645.txt
A9BGZ9,1.1.1.27,A9BGZ9.txt
P13774,1.1.1.27,P13774.txt
A8F6M1,1.1.1.27,A8F6M1.txt
Q9EVR0,1.1.1.27,Q9EVR0.txt
Q8CMZ0,1.1.1.27,Q8CMZ0.txt
Q3K1C8,1.1.1.27,Q3K1C8.txt
C0M7H8,1.1.1.27,C0M7H8.txt
A8AXK9,1.1.1.27,A8AXK9.txt
Q04K99,1.1.1.27,Q04K99.txt
Q5XC59,1.1.1.27,Q5XC59.txt
Q1JBQ9,1.1.1.27,Q1JBQ9.txt
Q1J6L1,1.1.1.27,Q1J6L1.txt
B8ZQ84,1.1.1.27,B8ZQ84.txt
P0DC19,1.1.1.27,P0DC19.txt
A4W1K6,1.1.1.27,A4W1K6.txt
A4VVA3,1.1.1.27,A4VVA3.txt
Q03K30,1.1.1.27,Q03K30.txt
C1CEH8,1.1.1.27,C1CEH8.txt
Q2JRH2,1.1.1.27,Q2JRH2.txt
P06150,1.1.1.27,P06150.txt
B0KDA4,1.1.1.27,B0KDA4.txt
Q7X5C9,1.1.1.27,Q7X5C9.txt
Q27797,1.1.1.27,Q27797.txt
P14891,1.1.1.34,P14891.txt
A2X8W3,1.1.1.34,A2X8W3.txt
P12683,1.1.1.34,P12683.txt
Q9XEL8,1.1.1.34,Q9XEL8.txt
P29058,1.1.1.34,P29058.txt
P12684,1.1.1.34,P12684.txt
Q41438,1.1.1.34,Q41438.txt
