name,smile
pyridoxal,CC1=NC=C(C(=C1O)C=O)CO
4-pyridoxolactone,CC1=NC=C2COC(=O)C2=C1O
carnitine,C[N+](C)(C)CC(CC(=O)[O-])O
3-dehydrocarnitine,C[N+](C)(C)CC(=O)CC(=O)[O-]
D-arabinitol,C([C@H](C([C@@H](CO)O)O)O)O
D-xylulose,C([C@H]([C@@H](C(=O)CO)O)O)O
(R)-(indol-3-yl)lactate,C1=CC=C2C(=C1)C(=CN2)C[C@H](C(=O)O)O
(indol-3-yl)pyruvate,C1=CC=C2C(=C1)C(=CN2)CC(=O)C(=O)O
(R)-3-(4-hydroxyphenyl)lactate,C1=CC(=CC=C1C[C@H](C(=O)[O-])O)O
3-(4-hydroxyphenyl)pyruvate,C1=CC(=CC=C1CC(=O)C(=O)[O-])O
 NADH,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O
(S)-3-(imidazol-5-yl)lactate,C1=C(NC=N1)C[C@@H](C(=O)[O-])O
NADP(+),C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)([O-])[O-])O)O)O)C(=O)N
3-(imidazol-5-yl)pyruvate,C1=C(NC=N1)CC(=O)C(=O)[O-]
indan-1-ol,C1CC2=CC=CC=C2C1O
indanone,C1CC(=O)C2=CC=CC=C21
L-xylose,C([C@@H]([C@H]([C@@H](C=O)O)O)O)O
"L-xylono-1,4-lactone",C([C@H]1[C@H]([C@@H](C(=O)O1)O)O)O
D-apiitol,C([C@@H](C(CO)(CO)O)O)O
D-apiose,C(C(CO)([C@H](C=O)O)O)O
D-ribose,C1[C@H]([C@H]([C@H](C(O1)O)O)O)O
H2O,O
D-ribonate,C([C@H]([C@H]([C@H](C(=O)[O-])O)O)O)O
"D-arabinono-1,4-lactone",C([C@@H]1[C@H]([C@@H](C(=O)O1)O)O)O
D-glucose,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O
"D-glucono-1,5-lactone",C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O
L-arabinitol,C([C@@H](C([C@H](CO)O)O)O)O
D-galactose,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O
"D-galactono-1,5-lactone",C([C@@H]1[C@@H]([C@@H]([C@H](C(=O)O1)O)O)O)O
D-aldose,C([C@@H]1C(C(C(C(O1)O)O)O)O)O
D-aldonolactone,C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O
L-sorbose,C1[C@@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O
5-dehydro-D-fructose,C(C(=O)[C@H]([C@@H](C(=O)CO)O)O)O
D-fructose,C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O
2-deoxy-D-gluconate,C([C@H]([C@@H]([C@@H](CO)O)O)O)C(=O)O
3-dehydro-2-deoxy-D-gluconate,C([C@H]([C@H](C(=O)CC(=O)[O-])O)O)O
2-dehydro-3-deoxy-D-gluconate,C([C@@H]([C@@H](CO)O)O)C(=O)C(=O)[O-]
" (4S,5S)-4,5-dihydroxy-2,6-dioxohexanoate",C([C@@H]([C@@H](C=O)O)O)C(=O)C(=O)[O-]
" (4S)-4,6-dihydroxy-2,5-dioxohexanoate",C([C@@H](C(=O)CO)O)C(=O)C(=O)[O-]
L-threonate,C([C@@H]([C@H](C(=O)O)O)O)O
3-dehydro-L-erythronate,C(C(=O)[C@@H](C(=O)[O-])O)O
L-ribulose,C([C@@H]([C@@H](C(=O)CO)O)O)O
3-dehydro-L-gulonate,C([C@@H]([C@H](C(=O)[C@@H](C(=O)O)O)O)O)O
" (4R,5S)-4,5,6-trihydroxy-2,3-dioxohexanoate",C([C@@H]([C@H](C(=O)C(=O)C(=O)[O-])O)O)O
D-mannonate,C([C@H]([C@H]([C@@H]([C@@H](C(=O)O)O)O)O)O)O
D-mannuronate,[C@@H]1([C@@H]([C@H](OC([C@H]1O)O)C(=O)O)O)O
GDP-D-mannose,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)N=C(NC2=O)N
GDP-D-mannuronate,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O)N=C(NC2=O)N
dTDP-beta-L-rhamnose,C[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)O)O)O
dTDP-4-dehydro-beta-L-rhamnose,C[C@H]1C(=O)[C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)O)O
 H+ ,[H+]
dTDP-6-deoxy-beta-L-talose,C[C@H]1[C@H]([C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)O)O)O
 NADPH,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O
GDP-6-deoxy-alpha-D-talose,C[C@@H]1[C@@H]([C@@H]([C@@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O)O
GDP-4-dehydro-alpha-D-rhamnose,C[C@@H]1C(=O)[C@@H]([C@@H]([C@H](O1)OP(=O)([O-])OP(=O)([O-])OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O
UDP-N-acetyl-alpha-D-glucosamine,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)CO)O)O
D-ribitol 5-phosphate,C([C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)O
D-ribulose 5-phosphate,C([C@H]([C@H](C(=O)CO)O)O)OP(=O)(O)O
D-mannitol,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O
L-iditol,C([C@@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O
D-sorbitol 6-phosphate,C([C@@H]([C@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)O)O
D-fructose 6-phosphate,C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)OP(=O)(O)O
1D-3-O-methyl-chiro-inositol,COC1[C@@H]([C@H](C([C@@H]([C@@H]1O)O)O)O)O
" 2D-5-O-methyl-2,3,5/4,6-pentahydroxycyclohexanone",CO[C@H]1[C@@H]([C@H]([C@H](C(=O)[C@@H]1O)O)O)O
5-O-methyl-myo-inositol,COC1[C@@H]([C@H](C([C@H]([C@@H]1O)O)O)O)O
perillyl alcohol,CC(=C)C1CCC(=CC1)CO
perillyl aldehyde,CC(=C)C1CCC(=CC1)C=O
 H+,[H+]
estradiol-17alpha,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@H]2O)CCC4=C3C=CC(=C4)O
estrone,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O
"17alpha,20alpha-dihydroxypregn-4-en-3-one",C[C@@H]([C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O)O
 17alpha-hydroxyprogesterone,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O
D-iditol,C([C@H]([C@@H]([C@H]([C@@H](CO)O)O)O)O)O
D-sorbose,C([C@H]([C@@H]([C@H](C(=O)CO)O)O)O)O
pregnan-21-ol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2CCO)CCC4[C@@]3(CCCC4)C
pregnan-21-al,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2CC=O)CCC4[C@@]3(CCCC4)C
3alpha-hydroxy-5beta-androstane-17-one,C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O
" 5beta-androstane-3,17-dione",C[C@]12CCC(=O)C[C@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C
"L-erythro-7,8-dihydrobiopterin",C[C@@H]([C@@H](C1=NC2=C(NC1)N=C(NC2=O)N)O)O
sepiapterin,C[C@@H](C(=O)C1=NC2=C(NC1)N=C(NC2=O)N)O
L-erythro-tetrahydrobiopterin,C[C@@H]([C@@H]([C@H]1CNC2=C(N1)C(=O)NC(=N2)N)O)O
" 6-pyruvoyl-5,6,7,8-tetrahydropterin",CC(=O)C(=O)C1CNC2=C(N1)C(=O)NC(=N2)N
(S)-ureidoglycolate,[C@H](C(=O)O)(NC(=O)N)O
oxalureate,C(=O)(C(=O)O)NC(=O)N
glycerol,C(C(CO)O)O
glycerone,C(C(=O)CO)O
(S)-3-hydroxybutanoyl-CoA,C[C@@H](CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-acetoacetyl-CoA,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
cholate,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C
"3alpha,12alpha-dihydroxy-7-oxo-5beta-cholan-24-oate",C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2C(=O)C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
galactitol,C([C@H]([C@@H]([C@@H]([C@H](CO)O)O)O)O)O
D-tagatose,C1[C@H]([C@@H]([C@@H](C(O1)(CO)O)O)O)O
D-threitol,C([C@H]([C@@H](CO)O)O)O
D-erythrulose,C([C@H](C(=O)CO)O)O
cyclopentanol,C1CCC(C1)O
cyclopentanone,C1CCC(=O)C1
hexadecanol,CCCCCCCCCCCCCCCCO
hexadecanal,CCCCCCCCCCCCCCCC=O
"2-butyne-1,4-diol",C(C#CCO)O
4-hydroxy-2-butynal,C(C#CC=O)O
"(1S,3R,4S)-3,4-dihydroxycyclohexane-1-carboxylate",C1C[C@@H]([C@@H](C[C@H]1C(=O)[O-])O)O
" (1S,4S)-4-hydroxy-3-oxocyclohexane-1-carboxylate",C1C[C@@H](C(=O)C[C@H]1C(=O)[O-])O
hydroxymalonate,C(C(=O)[O-])(C(=O)[O-])O
oxomalonate,C(=O)(C(=O)[O-])C(=O)[O-]
(R)-pantolactone,CC1(COC(=O)[C@@H]1O)C
2-dehydropantolactone,CC1(COC(=O)C1=O)C
2-dehydropantoate,CC(C)(CO)C(=O)C(=O)O
D-mannitol 1-phosphate,C([C@H]([C@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)O)O
 CO2,C(=O)=O
2-hydroxyadipate,C(CC(C(=O)O)O)CC(=O)O
2-oxoadipate,C(CC(=O)C(=O)O)CC(=O)O
L-rhamnofuranose,C[C@@H]([C@H]1[C@H]([C@H](C(O1)O)O)O)O
"L-rhamno-1,4-lactone",C[C@@H]([C@H]1[C@H]([C@H](C(=O)O1)O)O)O
"trans-cyclohexane-1,2-diol",C1CC[C@H]([C@@H](C1)O)O
2-hydroxycyclohexan-1-one,C1CCC(=O)C(C1)O
D-xylose,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O
D-xylonolactone,C1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O
"3alpha,7alpha-dihydroxy-12-oxo-5beta-cholan-24-oate",C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1(C(=O)C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
sn-glycerol 3-phosphate,C([C@H](COP(=O)(O)O)O)O
D-glyceraldehyde 3-phosphate,C([C@H](C=O)O)OP(=O)(O)O
NADPH ,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O
"(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA",C[C@@H]([C@H](C)O)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
2-methylacetoacetyl-CoA ,CC(C(=O)C)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
"D-xylono-1,5-lactone",C1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O
myo-inositol,C1(C(C(C(C(C1O)O)O)O)O)O
"2,4,6/3,5-pentahydroxycyclohexanone",[C@H]1([C@H](C(=O)[C@H]([C@@H](C1O)O)O)O)O
"cholest-5-ene-3beta,7alpha-diol",C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C=C4[C@@]3(CC[C@@H](C4)O)C)O)C
 7alpha-hydroxycholest-4-en-3-one,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](CC4=CC(=O)CC[C@]34C)O)C
geraniol,CC(=CCC/C(=C/CO)/C)C
geranial,CC(=CCC/C(=C/C=O)/C)C
dTDP-D-galactose,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O
dTDP-D-galacturonate,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)C(=O)O)O)O)O)O
GDP-alpha-D-rhamnose,C[C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OP(=O)([O-])OP(=O)([O-])OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O)O
"(5Z,13E)-(15S)-9alpha,11alpha,15-trihydroxyprosta-5,13-dienoate",CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)O)O)O
NADP+ ,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N
"(5Z,13E)-(15S)-9alpha,15-dihydroxy-11-oxoprosta-5,13-dienoate",CCCCC[C@@H](/C=C/[C@@H]1[C@H]([C@H](CC1=O)O)C/C=C\CCCC(=O)O)O
"(5Z,13E)-(15S)-11alpha,15-dihydroxy-9-oxoprosta-5,13-dienoate",CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O)O
L-gulonate,C([C@@H]([C@H]([C@@H]([C@@H](C(=O)[O-])O)O)O)O)O
D-glucuronate,[C@@H]1([C@@H]([C@H](OC([C@@H]1O)O)C(=O)O)O)O
(indol-3-yl)ethanol,C1=CC=C2C(=C1)C(=CN2)CCO
(indol-3-yl)acetaldehyde,C1=CC=C2C(=C1)C(=CN2)CC=O
NADH ,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O
5-amino-6-(5-phospho-D-ribitylamino)uracil,C([C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)NC1=C(C(=O)NC(=O)N1)N
 5-amino-6-(5-phospho-D-ribosylamino)uracil,C([C@@H]1[C@H]([C@H]([C@@H](O1)NC2=C(C(=O)NC(=O)N2)N)O)O)OP(=O)([O-])[O-]
coniferyl alcohol,COC1=C(C=CC(=C1)/C=C/CO)O
coniferyl aldehyde,COC1=C(C=CC(=C1)/C=C/C=O)O
cinnamyl alcohol,C1=CC=C(C=C1)/C=C/CO
cinnamaldehyde,C1=CC=C(C=C1)/C=C/C=O
" (5Z,13E)-9alpha-hydroxy-11,15-dioxoprosta-5,13-dienoate",CCCCCC(=O)/C=C/[C@@H]1[C@H]([C@H](CC1=O)O)C/C=C\CCCC(=O)O
"(13E)-(15S)-11alpha,15-dihydroxy-9-oxoprost-13-enoate",CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O
" (13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate",CCCCCC(=O)/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O
(+)-borneol,C[C@@]12CC[C@@H](C1(C)C)C[C@@H]2O
(+)-camphor,C[C@@]12CC[C@@H](C1(C)C)CC2=O
(S)-usnate,CC1=C(C(=C2C(=C1[O-])[C@]3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)C)[O-]
"L-gulono-1,4-lactone",C([C@@H]([C@@H]1[C@@H]([C@@H](C(=O)O1)O)O)O)O
"D-glucurono-3,6-lactone",C(=O)[C@@H]([C@@H]1[C@@H]([C@@H](C(=O)O1)O)O)O
D-glucose 6-phosphate,C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)OP(=O)(O)O
"propane-1,3-diol",C(CO)CO
3-hydroxypropanal,C(CO)C=O
beta-D-galacturonate,[C@@H]1([C@H]([C@H](O[C@H]([C@@H]1O)O)C(=O)[O-])O)O
"D-galactaro-1,5-lactone",[C@@H]1([C@H]([C@H](OC(=O)[C@@H]1O)C(=O)O)O)O
beta-D-glucuronate,[C@@H]1([C@@H]([C@H](O[C@H]([C@@H]1O)O)C(=O)[O-])O)O
"D-glucaro-1,5-lactone",[C@@H]1([C@@H]([C@H](OC(=O)[C@@H]1O)C(=O)O)O)O
IMP,C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O
XMP,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(=O)NC2=O
tropine,CN1C2CCC1CC(C2)O
tropinone,CN1C2CCC1CC(=O)C2
(-)-menthol,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C
(-)-menthone,C[C@@H]1CC[C@H](C(=O)C1)C(C)C
(+)-neomenthol,C[C@@H]1CC[C@H]([C@H](C1)O)C(C)C
androsterone,C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O
"5alpha-androstane-3,17-dione",C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C
alditol,C(C(CO)O)O
aldose,C(C(C=O)O)O
"5alpha-androstan-3beta,17beta-diol",C[C@]12CC[C@@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C)O
 17beta-hydroxy-5alpha-androstan-3-one,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C
D-gluconate,C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O
2-dehydro-D-gluconate,C([C@H]([C@H]([C@@H](C(=O)C(=O)[O-])O)O)O)O
"(2E,6E)-farnesol",CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C
"(2E,6E)-farnesal",CC(=CCC/C(=C/CC/C(=C/C=O)/C)/C)C
"benzyl (2R,3S)-2-methyl-3-hydroxybutanoate",C[C@H]([C@H](C)O)C(=O)OCC1=CC=CC=C1
morphine,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O
morphinone,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3C(=O)C=C4
UDP-alpha-D-glucose,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O
UDP-alpha-D-glucuronate,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)O)O
"6-lactoyl-5,6,7,8-tetrahydropterin",CC(C(=O)C1CNC2=C(N1)C(=O)NC(=N2)N)O
6-pyruvoyltetrahydropterin ,CC(=O)C(=O)C1CNC2=C(N1)C(=O)NC(=N2)N
"(6S,9R)-6-hydroxy-3-oxo-alpha-ionol",CC1=CC(=O)CC([C@]1(/C=C/[C@@H](C)O)O)(C)C
 (6S)-6-hydroxy-3-oxo-alpha-ionone,CC1=CC(=O)CC([C@]1(/C=C/C(=O)C)O)(C)C
(-)-trans-isopiperitenol,CC1=C[C@@H]([C@H](CC1)C(=C)C)O
(-)-isopiperitenone,CC1=CC(=O)[C@H](CC1)C(=C)C
D-mannose 6-phosphate,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)OP(=O)(O)O
chlordecone alcohol,C1(C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)O
chlordecone,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl
trans-4-hydroxycyclohexanecarboxylate,C1CC(CCC1C(=O)[O-])O
 4-oxocyclohexanecarboxylate,C1CC(=O)CCC1C(=O)[O-]
(-)-borneol,C[C@]12CC[C@H](C1(C)C)C[C@H]2O
(-)-camphor,C[C@]12CC[C@H](C1(C)C)CC2=O
(+)-cis-sabinol,CC(C)[C@@]12C[C@@H]1C(=C)[C@@H](C2)O
(+)-sabinone,CC(C)[C@@]12C[C@@H]1C(=C)C(=O)C2
"diethyl (2R,3R)-2-methyl-3-hydroxysuccinate",CCOC(=O)[C@H](C)[C@H](C(=O)OCC)O
L-histidinol,C1=C(NC=N1)C[C@@H](CO)N
L-histidine,C1=C(NC=N1)C[C@@H](C(=O)O)N
3alpha-hydroxyglycyrrhetinate,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)(C)C(=O)O
3-oxoglycyrrhetinate,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)C)(C)C(=O)O
"(5Z,13E)-(15S)-6,9alpha-epoxy-11alpha,15-dihydroxyprosta-5,13-dienoate ",CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@H]2[C@@H]1CC(=CCCCC(=O)O)O2)O)O
" (5Z,13E)-6,9alpha-epoxy-11alpha-hydroxy-15-oxoprosta-5,13-dienoate",CCCCCC(=O)/C=C/[C@H]1[C@@H](C[C@H]2[C@@H]1C/C(=C/CCCC(=O)O)/O2)O
"(15S)-15-hydroxy-5,8,11-cis-13-trans-icosatetraenoate",CCCCC[C@@H](/C=C/C=C\C/C=C\C/C=C\CCCC(=O)O)O
" 15-oxo-5,8,11-cis-13-trans-icosatetraenoate",CCCCCC(=O)/C=C/C=C\C/C=C\C/C=C\CCCC(=O)O
(2S)-flavan-4-ol,C1[C@H](OC2=CC=CC=C2C1O)C3=CC=CC=C3
(2S)-flavanone,C1[C@H](OC2=CC=CC=C2C1=O)C3=CC=CC=C3
coformycin,C1[C@H](C2=C(NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)O
8-oxocoformycin,C1C(=O)C2=C(NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O
pseudotropine,CN1[C@@H]2CC[C@H]1CC(C2)O
3-(4-hydroxyphenyl)pyruvate ,C1=CC(=CC=C1CC(=O)C(=O)[O-])O
"(R)-3-(3,4-dihydroxyphenyl)lactate",C1=CC(=C(C=C1C[C@H](C(=O)O)O)O)O
" 3-(3,4-dihydroxyphenyl)pyruvate",C1=CC(=C(C=C1CC(=O)C(=O)[O-])O)O
