name,smile
NADP(+),C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)([O-])[O-])O)O)O)C(=O)N
"D-arabinono-1,4-lactone",C([C@@H]1[C@H]([C@@H](C(=O)O1)O)O)O
D-glucose,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O
"D-glucono-1,5-lactone",C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O
L-arabinitol,C([C@@H](C([C@H](CO)O)O)O)O
D-aldose,C([C@@H]1C(C(C(C(O1)O)O)O)O)O
D-aldonolactone,C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O
GDP-D-mannose,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)N=C(NC2=O)N
H2O,O
GDP-D-mannuronate,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O)N=C(NC2=O)N
dTDP-beta-L-rhamnose,C[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)O)O)O
dTDP-4-dehydro-beta-L-rhamnose,C[C@H]1C(=O)[C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)O)O
 H+ ,[H+]
UDP-N-acetyl-alpha-D-glucosamine,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)CO)O)O
D-mannitol,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O
D-fructose,C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O
L-iditol,C([C@@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O
L-sorbose,C1[C@@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O
D-sorbitol 6-phosphate,C([C@@H]([C@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)O)O
D-fructose 6-phosphate,C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)OP(=O)(O)O
perillyl alcohol,CC(=C)C1CCC(=CC1)CO
perillyl aldehyde,CC(=C)C1CCC(=CC1)C=O
 H+,[H+]
"17alpha,20alpha-dihydroxypregn-4-en-3-one",C[C@@H]([C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O)O
 17alpha-hydroxyprogesterone,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O
D-iditol,C([C@H]([C@@H]([C@H]([C@@H](CO)O)O)O)O)O
D-sorbose,C([C@H]([C@@H]([C@H](C(=O)CO)O)O)O)O
L-erythro-tetrahydrobiopterin,C[C@@H]([C@@H]([C@H]1CNC2=C(N1)C(=O)NC(=N2)N)O)O
" 6-pyruvoyl-5,6,7,8-tetrahydropterin",CC(=O)C(=O)C1CNC2=C(N1)C(=O)NC(=N2)N
(S)-3-hydroxybutanoyl-CoA,C[C@@H](CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-acetoacetyl-CoA,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
cholate,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C
"3alpha,12alpha-dihydroxy-7-oxo-5beta-cholan-24-oate",C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2C(=O)C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
 NADH,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O
galactitol,C([C@H]([C@@H]([C@@H]([C@H](CO)O)O)O)O)O
D-tagatose,C1[C@H]([C@@H]([C@@H](C(O1)(CO)O)O)O)O
(R)-pantoate,CC(C)(CO)[C@H](C(=O)[O-])O
2-dehydropantoate,CC(C)(CO)C(=O)C(=O)O
D-mannitol 1-phosphate,C([C@H]([C@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)O)O
 CO2,C(=O)=O
D-xylose,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O
D-xylonolactone,C1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O
"3alpha,7alpha-dihydroxy-12-oxo-5beta-cholan-24-oate",C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1(C(=O)C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
 NADPH,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O
"D-xylono-1,5-lactone",C1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O
myo-inositol,C1(C(C(C(C(C1O)O)O)O)O)O
"2,4,6/3,5-pentahydroxycyclohexanone",[C@H]1([C@H](C(=O)[C@H]([C@@H](C1O)O)O)O)O
geraniol,CC(=CCC/C(=C/CO)/C)C
geranial,CC(=CCC/C(=C/C=O)/C)C
"(5Z,13E)-(15S)-9alpha,11alpha,15-trihydroxyprosta-5,13-dienoate",CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)O)O)O
NADP+ ,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N
"(5Z,13E)-(15S)-9alpha,15-dihydroxy-11-oxoprosta-5,13-dienoate",CCCCC[C@@H](/C=C/[C@@H]1[C@H]([C@H](CC1=O)O)C/C=C\CCCC(=O)O)O
NADPH ,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O
"(5Z,13E)-(15S)-11alpha,15-dihydroxy-9-oxoprosta-5,13-dienoate",CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O)O
L-gulonate,C([C@@H]([C@H]([C@@H]([C@@H](C(=O)[O-])O)O)O)O)O
D-glucuronate,[C@@H]1([C@@H]([C@H](OC([C@@H]1O)O)C(=O)O)O)O
NADH ,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O
5-amino-6-(5-phospho-D-ribitylamino)uracil,C([C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)NC1=C(C(=O)NC(=O)N1)N
 5-amino-6-(5-phospho-D-ribosylamino)uracil,C([C@@H]1[C@H]([C@H]([C@@H](O1)NC2=C(C(=O)NC(=O)N2)N)O)O)OP(=O)([O-])[O-]
cinnamyl alcohol,C1=CC=C(C=C1)/C=C/CO
cinnamaldehyde,C1=CC=C(C=C1)/C=C/C=O
(+)-borneol,C[C@@]12CC[C@@H](C1(C)C)C[C@@H]2O
(+)-camphor,C[C@@]12CC[C@@H](C1(C)C)CC2=O
D-glucose 6-phosphate,C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)OP(=O)(O)O
"propane-1,3-diol",C(CO)CO
3-hydroxypropanal,C(CO)C=O
beta-D-glucuronate,[C@@H]1([C@@H]([C@H](O[C@H]([C@@H]1O)O)C(=O)[O-])O)O
"D-glucaro-1,5-lactone",[C@@H]1([C@@H]([C@H](OC(=O)[C@@H]1O)C(=O)O)O)O
IMP,C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O
XMP,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(=O)NC2=O
tropine,CN1C2CCC1CC(C2)O
tropinone,CN1C2CCC1CC(=O)C2
(-)-menthol,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C
(-)-menthone,C[C@@H]1CC[C@H](C(=O)C1)C(C)C
(+)-neomenthol,C[C@@H]1CC[C@H]([C@H](C1)O)C(C)C
alditol,C(C(CO)O)O
aldose,C(C(C=O)O)O
(R)-pantolactone,CC1(COC(=O)[C@@H]1O)C
2-dehydropantolactone,CC1(COC(=O)C1=O)C
D-gluconate,C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O
2-dehydro-D-gluconate,C([C@H]([C@H]([C@@H](C(=O)C(=O)[O-])O)O)O)O
"(2E,6E)-farnesol",CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C
"(2E,6E)-farnesal",CC(=CCC/C(=C/CC/C(=C/C=O)/C)/C)C
UDP-alpha-D-glucose,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O
UDP-alpha-D-glucuronate,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)O)O
(-)-trans-isopiperitenol,CC1=C[C@@H]([C@H](CC1)C(=C)C)O
(-)-isopiperitenone,CC1=CC(=O)[C@H](CC1)C(=C)C
D-mannose 6-phosphate,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)OP(=O)(O)O
(-)-borneol,C[C@]12CC[C@H](C1(C)C)C[C@H]2O
(-)-camphor,C[C@]12CC[C@H](C1(C)C)CC2=O
L-histidinol,C1=C(NC=N1)C[C@@H](CO)N
L-histidine,C1=C(NC=N1)C[C@@H](C(=O)O)N
(2S)-flavan-4-ol,C1[C@H](OC2=CC=CC=C2C1O)C3=CC=CC=C3
(2S)-flavanone,C1[C@H](OC2=CC=CC=C2C1=O)C3=CC=CC=C3
pseudotropine,CN1[C@@H]2CC[C@H]1CC(C2)O
"(R)-3-(3,4-dihydroxyphenyl)lactate",C1=CC(=C(C=C1C[C@H](C(=O)O)O)O)O
" 3-(3,4-dihydroxyphenyl)pyruvate",C1=CC(=C(C=C1CC(=O)C(=O)[O-])O)O
testosterone,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C
androstenedione,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C
L-quinate,C1[C@H](C([C@@H](CC1(C(=O)O)O)O)O)O
3-dehydroquinate,C1[C@H]([C@@H](C(=O)C[C@]1(C(=O)[O-])O)O)O
(-)-trans-carveol,CC1=CC[C@H](C[C@@H]1O)C(=C)C
(-)-carvone,CC1=CC[C@H](CC1=O)C(=C)C
methanol,CO
formaldehyde,C=O
cyclohexanol,C1CCC(CC1)O
cyclohexanone,C1CCC(=O)CC1
codeine,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O
codeinone,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3C(=O)C=C4
salutaridinol,CN1CC[C@]23C=C([C@H](C=C2[C@H]1CC4=C3C(=C(C=C4)OC)O)O)OC
salutaridine,CN1CC[C@]23C=C(C(=O)C=C2[C@H]1CC4=C3C(=C(C=C4)OC)O)OC
shikimate,C1[C@H]([C@@H]([C@@H](C=C1C(=O)O)O)O)O
3-dehydroshikimate,C1[C@H]([C@@H](C(=O)C=C1C(=O)O)O)O
D-ribulose,C([C@H]([C@H](C(=O)CO)O)O)O
galactitol 1-phosphate,C([C@H]([C@@H]([C@@H]([C@H](COP(=O)(O)O)O)O)O)O)O
D-tagatose 6-phosphate,C([C@@H]1[C@@H]([C@@H](C(O1)(CO)O)O)O)OP(=O)(O)O
scytalone,C1C(CC(=O)C2=C1C=C(C=C2O)O)O
"1,3,6,8-tetrahydroxynaphthalene",C1=C2C=C(C=C(C2=C(C=C1O)O)O)O
D-mannose,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O
glycolate,C(C(=O)O)O
glyoxylate,C(=O)C(=O)[O-]
sn-glycerol 1-phosphate,C([C@@H](COP(=O)(O)O)O)O
glycerone phosphate,C(C(=O)COP(=O)(O)O)O
4-phosphooxy-L-threonine,C([C@H]([C@@H](C(=O)O)N)O)OP(=O)(O)O
3-amino-2-oxopropyl phosphate,C(C(=O)COP(=O)(O)O)N
CO2,C(=O)=O
L-idonate,C([C@@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O
5-dehydro-D-gluconate,C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O
3-methylbutanol,CC(C)CCO
3-methylbutanal,CC(C)CC=O
2-C-methyl-D-erythritol 4-phosphate,C[C@](CO)([C@@H](COP(=O)(O)O)O)O
2-(R)-hydroxypropyl-CoM,C[C@H](CSCCS(=O)(=O)O)O
2-oxopropyl-CoM,CC(=O)CSCCS(=O)(=O)O
(2S)-2-hydroxypropyl-CoM,C[C@@H](CSCCS(=O)(=O)O)O
(S)-lactate,C[C@@H](C(=O)O)O
pyruvate,CC(=O)C(=O)[O-]
GDP-beta-L-fucose,C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O)O
GDP-4-dehydro-alpha-D-rhamnose,C[C@@H]1C(=O)[C@@H]([C@@H]([C@H](O1)OP(=O)([O-])OP(=O)([O-])OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O
"2,5-didehydro-D-gluconate",C(C(=O)[C@H]([C@@H](C(=O)C(=O)[O-])O)O)O
(+)-trans-carveol,CC1=CC[C@@H](C[C@H]1O)C(=C)C
(+)-(S)-carvone,CC1=CC[C@@H](CC1=O)C(=C)C
(R)-lactate,C[C@H](C(=O)O)O
GDP-alpha-D-rhamnose,C[C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OP(=O)([O-])OP(=O)([O-])OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O)O
(S)-lactaldehyde,C[C@@H](C=O)O
2-oxopropanal,CC(=O)C=O
S-(hydroxymethyl)glutathione,C(CC(=O)N[C@@H](CSCO)C(=O)NCC(=O)O)[C@@H](C(=O)O)N
S-formylglutathione,C(CC(=O)N[C@@H](CSC=O)C(=O)NCC(=O)O)[C@@H](C(=O)O)N
"(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate",C(CC(=O)[O-])[C@@H]([C@H](C(=O)[O-])O)C(=O)[O-]
2-oxoadipate,C(CC(=O)C(=O)O)CC(=O)O
xanthoxin,C/C(=C/C=O)/C=C/[C@]12[C@](O1)(C[C@H](CC2(C)C)O)C
abscisic aldehyde,CC1=CC(=O)CC([C@]1(/C=C/C(=C\C=O)/C)O)(C)C
D-glucitol,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O
4-phospho-D-erythronate,C([C@H]([C@H](C(=O)O)O)O)OP(=O)(O)O
 (3R)-3-hydroxy-2-oxo-4-phosphooxybutanoate,C([C@H](C(=O)C(=O)O)O)OP(=O)(O)O
"1,5-anhydro-D-mannitol",C1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O
"1,5-anhydro-D-fructose",C1C(=O)[C@H]([C@@H]([C@H](O1)CO)O)O
71-hydroxychlorophyllide a,CCC1=C(C2=CC3=C(C(=C([N-]3)C=C4[C@H]([C@@H](C(=N4)C5=C6C(=C(C(=CC1=N2)[N-]6)C)C(=C5C(=O)OC)[O-])CCC(=O)[O-])C)C)C=C)CO.[Mg+2]
chlorophyllide b,CCC1=C(C2=NC1=CC3=C(C4=C([N-]3)C(=C5[C@H]([C@@H](C(=N5)C=C6C(=C(C(=C2)[N-]6)C=C)C)C)CCC(=O)O)[C@H](C4=O)C(=O)OC)C)C=O.[Mg+2]
"3beta-hydroxy-9beta-pimara-7,15-diene-19,6beta-olide",C[C@]1(CC[C@@H]2C(=C[C@@H]3[C@@H]4[C@@]2(CC[C@@H]([C@@]4(C(=O)O3)C)O)C)C1)C=C
 momilactone A,C[C@]1(CC[C@@H]2C(=C[C@@H]3[C@@H]4[C@@]2(CCC(=O)[C@@]4(C(=O)O3)C)C)C1)C=C
3-hydroxypropanoate,C(CO)C(=O)[O-]
malonate semialdehyde,C(C=O)C(=O)O
L-homoserine,C(CO)[C@@H](C(=O)O)N
L-aspartate 4-semialdehyde,C(C=O)[C@@H](C(=O)[O-])[NH3+]
(R)-3-hydroxybutanoate,C[C@H](CC(=O)O)O
acetoacetate,CC(=O)CC(=O)[O-]
retinol,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C
retinal,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=O)/C)/C
(R)-acetoin,C[C@H](C(=O)C)O
diacetyl,CC(=O)C(=O)C
(S)-acetoin,C[C@@H](C(=O)C)O
"(R)-2,3-dihydroxypropane-1-sulfonate",C([C@H](CS(=O)(=O)O)O)O
 (R)-3-sulfolactate,C([C@@H](C(=O)[O-])O)S(=O)(=O)[O-]
3-hydroxy-2-methylpropanoate,CC(CO)C(=O)[O-]
2-methyl-3-oxopropanoate,CC(C=O)C(=O)[O-]
(S)-1-phenylethanol,C[C@@H](C1=CC=CC=C1)O
acetophenone,CC(=O)C1=CC=CC=C1
4-carboxy-2-hydroxymuconate semialdehyde hemiacetal,C1=C(C=C(OC1O)C(=O)O)C(=O)O
" 2-oxo-2H-pyran-4,6-dicarboxylate",C1=C(C=C(OC1=O)C(=O)[O-])C(=O)[O-]
isethionate,C(CS(=O)(=O)O)O
2-sulfoacetaldehyde,C(C=O)S(=O)(=O)O
L-galactose,C([C@@H]([C@H]([C@H]([C@@H](C=O)O)O)O)O)O
"L-galactono-1,4-lactone",C([C@@H]([C@@H]1[C@H]([C@@H](C(=O)O1)O)O)O)O
raucaffrinoline,C[C@H]1[C@@H]([C@@H]2C[C@@H]3N1[C@@H]4[C@H]2[C@H]([C@@]5(C4)C3=NC6=CC=CC=C56)OC(=O)C)CO
perakine,C[C@H]1[C@@H](C2C[C@@H]3N1[C@@H]4C2[C@H]([C@@]5(C4)C3=NC6=CC=CC=C56)OC(=O)C)C=O
eugenol,COC1=C(C=CC(=C1)CC=C)O
isoeugenol,C/C=C/C1=CC(=C(C=C1)O)OC
acetate,CC(=O)[O-]
coniferyl acetate,CC(=O)OC/C=C/C1=CC(=C(C=C1)O)OC
(S)-benzoin,C1=CC=C(C=C1)[C@@H](C(=O)C2=CC=CC=C2)O
benzil,C1=CC=C(C=C1)C(=O)C(=O)C2=CC=CC=C2
(6E)-8-oxogeraniol,C/C(=C\CO)/CC/C=C(\C)/C=O
(6E)-8-oxogeranial,C/C(=C\C=O)/CC/C=C(\C)/C=O
L-threo-tetrahydrobiopterin,C[C@@H]([C@H]([C@H]1CNC2=C(N1)C(=O)NC(=N2)N)O)O
10-hydroxy-alpha-humulene,C/C/1=C\CC(/C=C/C(/C(=C/CC1)/C)O)(C)C
zerumbone,C/C/1=C\CC(/C=C/C(=O)/C(=C/CC1)/C)(C)C
5-exo-hydroxycamphor,C[C@@]12C[C@H]([C@@H](C1(C)C)CC2=O)O
"bornane-2,5-dione",CC1(C2CC(=O)C1(CC2=O)C)C
2-deoxy-scyllo-inosamine,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1O)O)O)O)N
"3-amino-2,3-dideoxy-scyllo-inosose ",C1[C@@H]([C@H]([C@@H]([C@H](C1=O)O)O)O)N
(-)-secoisolariciresinol,COC1=C(C=CC(=C1)C[C@@H](CO)[C@@H](CC2=CC(=C(C=C2)O)OC)CO)O
(-)-matairesinol,COC1=C(C=CC(=C1)C[C@H]2COC(=O)[C@@H]2CC3=CC(=C(C=C3)O)OC)O
chanoclavine-I,C/C(=C\[C@H]1[C@@H](CC2=CNC3=CC=CC1=C23)NC)/CO
chanoclavine-I aldehyde,C/C(=C\[C@H]1[C@@H](CC2=CNC3=CC=CC1=C23)NC)/C=O
"trans,octacis-decaprenylphospho-beta-D-arabinofuranose",CC(=CCC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)O[C@H]1[C@H]([C@@H]([C@H](O1)CO)O)O)/C)/C)/C)/C)/C)/C)/C)/C)/C)C
" trans,octacis-decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose",CC(=CCC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)O[C@H]1C(=O)[C@@H]([C@H](O1)CO)O)/C)/C)/C)/C)/C)/C)/C)/C)/C)C
ecgonine methyl ester,CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)O)C(=O)OC
ecgonone methyl ester,CN1[C@H]2CC[C@@H]1[C@H](C(=O)C2)C(=O)OC
UDP-N-acetyl-2-amino-2-deoxy-alpha-D-glucuronate,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)C(=O)O)O)O
 UDP-2-acetamido-2-deoxy-alpha-D-ribo-hex-3-uluronate,CC(=O)N[C@H]1[C@H](O[C@@H]([C@H](C1=O)O)C(=O)[O-])OP(=O)([O-])OP(=O)([O-])OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O
UDP-N-acetyl-alpha-D-mannosamine,CC(=O)N[C@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)CO)O)O
 UDP-N-acetyl-alpha-D-mannosaminuronate,CC(=O)N[C@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)C(=O)O)O)O
(2R)-3-sulfolactate,C([C@@H](C(=O)O)O)S(=O)(=O)O
3-sulfopyruvate,C(C(=O)C(=O)O)S(=O)(=O)O
(R)-mevalonate,C[C@@](CCO)(CC(=O)[O-])O
CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O
(S)-3-hydroxy-3-methylglutaryl-CoA,C[C@](CC(=O)O)(CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
1-deoxy-11beta-hydroxypentalenate,C[C@@H]1[C@@H](C[C@@H]2[C@]13CC(C[C@H]3C=C2C(=O)[O-])(C)C)O
1-deoxy-11-oxopentalenate,C[C@@H]1C(=O)C[C@@H]2[C@]13CC(C[C@H]3C=C2C(=O)[O-])(C)C
CDP-alpha-D-abequose,C[C@@H]1[C@@H](C[C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=NC3=O)N)O)O)O)O
" CDP-4-dehydro-3,6-dideoxy-alpha-D-glucose",C[C@@H]1C(=O)C[C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=NC3=O)N)O)O)O
CDP-alpha-D-paratose,C[C@@H]1[C@H](C[C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=NC3=O)N)O)O)O)O
6-phospho-D-gluconate,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)O
D-ribulose 5-phosphate,C([C@H]([C@H](C(=O)CO)O)O)OP(=O)(O)O
