protein,EC
P28475,1.1.1.200
A5JUQ9,1.1.1.200
A4ECA9,1.1.1.201
A7B4V1,1.1.1.201
A3RL85,1.1.1.202
Q59477,1.1.1.202
A0NIJ1,1.1.1.202
P45513,1.1.1.202
A0A0C1Q6R1,1.1.1.202
A7LGK0,1.1.1.202
Q888H1,1.1.1.203
Q7CRQ0,1.1.1.203
Q88NN6,1.1.1.203
Q1QUN7,1.1.1.203
D6Y7Y8,1.1.1.203
Q6P9U9,1.1.1.205
P20839,1.1.1.205
P12268,1.1.1.205
P50097,1.1.1.205
Q8T6T2,1.1.1.205
P21620,1.1.1.205
P50098,1.1.1.205
P0C0H6,1.1.1.205
Q12658,1.1.1.205
P49058,1.1.1.205
P24547,1.1.1.205
E3P6S3,1.1.1.205
Q59Q46,1.1.1.205
Q387Q3,1.1.1.205
Q9HXM5,1.1.1.205
Q81W29,1.1.1.205
F1DBB2,1.1.1.205
I3WTS0,1.1.1.205
Q5ZUR9,1.1.1.205
A1KU15,1.1.1.205
P99106,1.1.1.205
P9WKI7,1.1.1.205
A0A0S3MSA1,1.1.1.205
Q756Z6,1.1.1.205
D1MF29,1.1.1.205
A0A0K2E8F8,1.1.1.205
Q2TUW2,1.1.1.205
F1SML7,1.1.1.205
Q2SWW9,1.1.1.205
A0A6L8P2U9,1.1.1.205
A0A2R4D3F6,1.1.1.205
G7CNL4,1.1.1.205
A0A127ELD1,1.1.1.205
Q9KTW3,1.1.1.205
Q926Y9,1.1.1.205
P50096,1.1.1.205
A7DY56,1.1.1.206
B2L2W8,1.1.1.206
L7QI79,1.1.1.206
U5PUZ1,1.1.1.206
Q9AR59,1.1.1.206
A0A088MI02,1.1.1.206
H9BQR7,1.1.1.206
R4QQK2,1.1.1.206
A0A6B7HCZ2,1.1.1.206
A0A482P6A8,1.1.1.206
Q5CAF4,1.1.1.207
A0A1S5R263,1.1.1.207
A0A1S5R238,1.1.1.207
A0A1S5R244,1.1.1.207
A0A1S5R243,1.1.1.207
A0A1S5R240,1.1.1.207
B2X050,1.1.1.208
Q9M2E2,1.1.1.208
D1MI43,1.1.1.208
Q06ZW2,1.1.1.208
A0A1S5R263,1.1.1.208
A0A1S5R238,1.1.1.208
A0A1S5R244,1.1.1.208
A0A1S5R240,1.1.1.208
O60218,1.1.1.21
P42330,1.1.1.21
P07943,1.1.1.21
Q5DD64,1.1.1.21
Q9XF81,1.1.1.21
P16116,1.1.1.21
A0A0M4HL56,1.1.1.21
Q88L88,1.1.1.211
P40939,1.1.1.211
P23457,1.1.1.213
P42330,1.1.1.213
R7AM69,1.1.1.213
R7B6R4,1.1.1.213
B9WJQ5,1.1.1.214
H8XA83,1.1.1.214
A4PIB0,1.1.1.215
Q5FTU6,1.1.1.215
C0LE03,1.1.1.215
A0A1D8RK43,1.1.1.215
Q5FRK5,1.1.1.215
A0A2H4PJM7,1.1.1.215
D2WKD9,1.1.1.216
A0A097ZMY7,1.1.1.218
J7M9D0,1.1.1.218
A9ZMJ4,1.1.1.219
P51102,1.1.1.219
Q5DNA6,1.1.1.219
Q9S787,1.1.1.219
Q84L22,1.1.1.219
Q6UAQ7,1.1.1.219
O22617,1.1.1.219
O24607,1.1.1.219
Q6DT40,1.1.1.219
Q8LL92,1.1.1.219
A5Z0G1,1.1.1.219
B9GRL5,1.1.1.219
C4R4L0,1.1.1.219
A0A0A0PVL7,1.1.1.219
I6XNY7,1.1.1.219
C3UZH2,1.1.1.219
Q75QJ0,1.1.1.219
A0A0A0PTI9,1.1.1.219
G4Y3X0,1.1.1.219
A0A0C6EUC4,1.1.1.219
A0A0C6E754,1.1.1.219
A0A0C6ENR6,1.1.1.219
M4FB76,1.1.1.219
M4ES88,1.1.1.219
M4ECU0,1.1.1.219
M4E7J2,1.1.1.219
M4E7J1,1.1.1.219
M4E7I9,1.1.1.219
A0A0A0PTJ7,1.1.1.219
M4E380,1.1.1.219
M4DU28,1.1.1.219
M4DU27,1.1.1.219
M4DU26,1.1.1.219
M4DRB9,1.1.1.219
M4D235,1.1.1.219
A0A0A0PVL5,1.1.1.219
A0A0A0PVL2,1.1.1.219
A0A0A0PXZ7,1.1.1.219
Q5UL14,1.1.1.219
A0A0A0PTJ4,1.1.1.219
A0A0A0PV90,1.1.1.219
A0A097NUZ0,1.1.1.219
Q9M5B1,1.1.1.219
A3RK76,1.1.1.219
A0A024CBV5,1.1.1.219
A0A7S8F0N2,1.1.1.219
A0A7S8F0T4,1.1.1.219
A0A5J6CZH4,1.1.1.219
P51110,1.1.1.219
A0A2Z5XER5,1.1.1.219
A0A2Z5XEV7,1.1.1.219
H9TZS8,1.1.1.219
A0A5C1IY10,1.1.1.219
A0A0D3E639,1.1.1.219
A0A6N0C6H2,1.1.1.219
A0A3G2K823,1.1.1.219
O60701,1.1.1.22
Q9FM01,1.1.1.22
Q9LIA8,1.1.1.22
Q9LF33,1.1.1.22
Q9MAB5,1.1.1.22
B4EN77,1.1.1.22
B4EB36,1.1.1.22
B4EMQ8,1.1.1.22
A4UTT2,1.1.1.22
C3VI43,1.1.1.22
A1RUM9,1.1.1.22
B5L017,1.1.1.22
L0N5L6,1.1.1.22
C9E261,1.1.1.22
P0C0F5,1.1.1.22
Q9A0Z5,1.1.1.22
A0A0E4FJQ1,1.1.1.22
O70199,1.1.1.22
Q9HQQ9,1.1.1.22
W0A856,1.1.1.22
A8WGP7,1.1.1.22
O70475,1.1.1.22
Q0P8H3,1.1.1.22
A0A2H4ZRD7,1.1.1.22
W5VJT8,1.1.1.223
W5VJJ6,1.1.1.223
W5VJM4,1.1.1.223
Q5C9I9,1.1.1.223
P92923,1.1.1.224
A0A1B3EB36,1.1.1.227
A1BPP9,1.1.1.23
P06988,1.1.1.23
Q8G2R2,1.1.1.23
A0A0J9X7D2,1.1.1.23
P9WNW9,1.1.1.23
Q63Q86,1.1.1.23
P24226,1.1.1.23
G7IKX3,1.1.1.23
P22441,1.1.1.233
A5Z0G1,1.1.1.234
C5YGL7,1.1.1.234
A7DY56,1.1.1.236
B2L2W9,1.1.1.236
H9BQR9,1.1.1.236
A0A6B7HD48,1.1.1.236
Q9CA90,1.1.1.237
F1T2J9,1.1.1.237
Q9LE33,1.1.1.237
A0A0A7RFJ3,1.1.1.237
A0A0A7DW92,1.1.1.237
F8RGR8,1.1.1.237
M1H6F7,1.1.1.237
A0A178WMD4,1.1.1.237
P42330,1.1.1.239
A0A097ZMY7,1.1.1.239
J7M9D0,1.1.1.239
G1T465,1.1.1.239
J7MBS9,1.1.1.239
Q9X5C9,1.1.1.24
A0A5H2WXM2,1.1.1.24
A0A5H2X0F8,1.1.1.24
E1C9L4,1.1.1.243
B3FR84,1.1.1.244
I3DVX6,1.1.1.244
B1HX72,1.1.1.244
D7WPP7,1.1.1.244
I3E949,1.1.1.244
F8GNE5,1.1.1.244
I3DTM5,1.1.1.244
I3E2P9,1.1.1.244
I3DTP7,1.1.1.244
I3DX19,1.1.1.244
A0A2D0WG37,1.1.1.245
Q9SQ70,1.1.1.247
Q9SQ67,1.1.1.247
A0A0H4BJ99,1.1.1.247
Q9SQ69,1.1.1.247
Q9SQ68,1.1.1.247
A0A4P2SMY1,1.1.1.247
A0A0H4BD81,1.1.1.247
Q071N0,1.1.1.248
A4UHT7,1.1.1.248
P15770,1.1.1.25
O67049,1.1.1.25
Q5SJF8,1.1.1.25
Q88RQ5,1.1.1.25
Q88IJ7,1.1.1.25
Q88K85,1.1.1.25
Q88JP1,1.1.1.25
Q88GF6,1.1.1.25
Q5HNV1,1.1.1.25
P95001,1.1.1.25
Q9X5C9,1.1.1.25
P0A6D5,1.1.1.25
Q58484,1.1.1.25
P07547,1.1.1.25
Q9WYI1,1.1.1.25
A4QEK4,1.1.1.25
A4QB65,1.1.1.25
Q6W3D0,1.1.1.25
A0A168S2G5,1.1.1.25
A0A168S2H6,1.1.1.25
A0A168S2B8,1.1.1.25
D7TUX1,1.1.1.25
A5U5Q2,1.1.1.25
A0A5H2WZU5,1.1.1.25
A0A5H2WVH6,1.1.1.25
A0A5H2X4C4,1.1.1.25
A0A045GU47,1.1.1.25
A0A0A0LQ48,1.1.1.25
A0A6P8EJ47,1.1.1.25
A0A3G3BK08,1.1.1.25
Q9WYD3,1.1.1.250
P0A9S3,1.1.1.251
A0A0H3N4Z0,1.1.1.251
Q9HFV6,1.1.1.252
Q12634,1.1.1.252
Q38707,1.1.1.255
Q9C9W5,1.1.1.26
Q97U35,1.1.1.26
Q9UBQ7,1.1.1.26
A3MTM6,1.1.1.261
Q58122,1.1.1.261
P19624,1.1.1.262
Q92KZ3,1.1.1.263
P39346,1.1.1.264
Q12068,1.1.1.265
P28625,1.1.1.265
Q5J7B3,1.1.1.267
A4L795,1.1.1.267
B7UCR9,1.1.1.267
A9ZN08,1.1.1.267
P45568,1.1.1.267
B9U4U7,1.1.1.267
Q9WZZ1,1.1.1.267
Q8IKG4,1.1.1.267
P9WNS1,1.1.1.267
C6G1Y8,1.1.1.267
Q1RG16,1.1.1.267
Q8X8Y1,1.1.1.267
A0A059VDA9,1.1.1.267
W0FI66,1.1.1.267
Q8ZH62,1.1.1.267
A0Q7Y5,1.1.1.267
Q8DBF5,1.1.1.267
A0A2K1XJL6,1.1.1.267
A0A1P8JPV2,1.1.1.267
A0QVH7,1.1.1.267
A0A0A6Z621,1.1.1.267
A0A1U9X9N3,1.1.1.267
Q9SP64,1.1.1.267
Q8W250,1.1.1.267
Q56840,1.1.1.268
Q56841,1.1.1.269
A7IQH5,1.1.1.269
Q0GND9,1.1.1.27
Q0GND8,1.1.1.27
P90613,1.1.1.27
Q27797,1.1.1.27
B1A4R6,1.1.1.27
B7XH73,1.1.1.27
C6L1K8,1.1.1.27
P00344,1.1.1.27
O93541,1.1.1.27
P50933,1.1.1.27
Q5SJA1,1.1.1.27
P07195,1.1.1.27
P0CW93,1.1.1.27
P0C2T6,1.1.1.27
Q6JH30,1.1.1.27
Q27743,1.1.1.27
P56512,1.1.1.27
O13276,1.1.1.27
O13277,1.1.1.27
O13278,1.1.1.27
I3VSF1,1.1.1.27
E7CXT1,1.1.1.27
B9MKZ8,1.1.1.27
A0A1A6GB48,1.1.1.27
P26283,1.1.1.27
W8CXQ9,1.1.1.27
P07864,1.1.1.27
P00338,1.1.1.27
P00339,1.1.1.27
P00336,1.1.1.27
Q44467,1.1.1.27
Q5E9B1,1.1.1.27
P13491,1.1.1.27
Q5F883,1.1.1.27
A0A2K9Y5T7,1.1.1.27
Q8CMZ0,1.1.1.27
Q5FMB0,1.1.1.27
P59390,1.1.1.27
A0A2U9AUU1,1.1.1.27
Q04828,1.1.1.270
O88736,1.1.1.270
P56937,1.1.1.270
Q12452,1.1.1.270
O49213,1.1.1.271
Q9LMU0,1.1.1.271
P32055,1.1.1.271
G5EER4,1.1.1.271
Q9W1X8,1.1.1.271
D3JU54,1.1.1.271
A0A143ZXB3,1.1.1.271
Q2VEQ7,1.1.1.272
P30863,1.1.1.274
P06632,1.1.1.274
H9CWC0,1.1.1.274
A0A0H2ZWY3,1.1.1.275
A0A0H2ZTN5,1.1.1.275
A0A0H2ZU39,1.1.1.275
A0A0H2ZV91,1.1.1.275
A0A0H2ZYS9,1.1.1.275
Q73SC8,1.1.1.275
O66939,1.1.1.28
P51011,1.1.1.28
P26297,1.1.1.28
P06149,1.1.1.28
Q9YEU4,1.1.1.28
Q8RG11,1.1.1.28
F8A9V0,1.1.1.28
A0A0G2K1W9,1.1.1.28
A0A0M3KL04,1.1.1.28
Q9I530,1.1.1.28
A0A140N893,1.1.1.28
F8RPR8,1.1.1.28
C0LJH4,1.1.1.28
Q9AKS9,1.1.1.28
Q1GAA2,1.1.1.28
Q8EI78,1.1.1.28
E0NDE9,1.1.1.28
A0A0R1RJ30,1.1.1.28
P30901,1.1.1.28
O83080,1.1.1.28
G4MWZ3,1.1.1.28
Q9HTB6,1.1.1.281
Q88JP1,1.1.1.282
Q88K85,1.1.1.282
Q88GF6,1.1.1.282
Q9X5C9,1.1.1.282
P44774,1.1.1.282
P0A6D5,1.1.1.282
A4QB65,1.1.1.282
A0A3Q7IET9,1.1.1.282
A0A3Q7H2B2,1.1.1.282
A0A0E4AY21,1.1.1.283
A0A0E4AX59,1.1.1.283
Q12068,1.1.1.283
C4R5F8,1.1.1.283
G3AZL9,1.1.1.283
A0A1D8NEA1,1.1.1.283
Q6IMN8,1.1.1.283
A0A1D8PHQ6,1.1.1.283
P38715,1.1.1.283
A5HES9,1.1.1.284
D2CFJ2,1.1.1.284
Q8J0F1,1.1.1.284
D2Y3F4,1.1.1.284
E9NX75,1.1.1.284
Q0WM36,1.1.1.284
G4N4N6,1.1.1.284
U6C832,1.1.1.284
Q5AVP8,1.1.1.284
J7GP93,1.1.1.284
J7GHV7,1.1.1.284
Q96533,1.1.1.284
A0A2K1JM97,1.1.1.284
A0A1S3ZYT7,1.1.1.284
A0A251UXN7,1.1.1.284
A0A0A0KBZ1,1.1.1.284
A0A1S3CB00,1.1.1.284
A0A314KZZ1,1.1.1.284
Q2XPW7,1.1.1.284
F4K7D6,1.1.1.284
P80572,1.1.1.284
I3ST14,1.1.1.284
A0A2K3D6Q9,1.1.1.284
P11766,1.1.1.284
P28474,1.1.1.284
R0EWH3,1.1.1.284
A0A1J3JHF1,1.1.1.284
C4PKK5,1.1.1.284
A0A1U7Y0I8,1.1.1.284
A0A072VKC1,1.1.1.284
B9T5W1,1.1.1.284
A0A2K2BPI4,1.1.1.284
B6T6Q8,1.1.1.284
A2XAZ3,1.1.1.284
D8U4T8,1.1.1.284
A8IY20,1.1.1.284
Q7TQ90,1.1.1.284
E9ND19,1.1.1.284
E9ND18,1.1.1.284
A0A6S7LX43,1.1.1.284
A0A182BP76,1.1.1.284
F1S0C1,1.1.1.284
M5VJ61,1.1.1.284
Q0DWH1,1.1.1.284
Q5JFV8,1.1.1.286
Q4J6C9,1.1.1.286
Q308C1,1.1.1.287
Q9C826,1.1.1.288
Q9SCU0,1.1.1.288
A0A0K1H1P6,1.1.1.288
Q7XZH5,1.1.1.288
A0A2H4X2U9,1.1.1.288
A4PB64,1.1.1.289
P87219,1.1.1.289
Q9C9W5,1.1.1.29
Q7N2B2,1.1.1.290
Q9DCT1,1.1.1.292
Q92KZ3,1.1.1.292
A0A064C3N0,1.1.1.292
Q5N800,1.1.1.294
Q84ST4,1.1.1.294
Q93ZA0,1.1.1.294
Q8LEU3,1.1.1.294
A0A1Q1NIA8,1.1.1.294
Q7FAE1,1.1.1.295
Q7FAE2,1.1.1.295
A0A6F8PFR7,1.1.1.295
A4YI81,1.1.1.298
Q6QQP7,1.1.1.298
Q5SLQ6,1.1.1.298
A0A1A7BFR5,1.1.1.298
Q56R01,1.1.1.3
Q3S3F6,1.1.1.3
O65027,1.1.1.3
O63067,1.1.1.3
D8WXQ1,1.1.1.3
D8WXQ2,1.1.1.3
P31116,1.1.1.3
Q5AIA2,1.1.1.3
O58802,1.1.1.3
P08499,1.1.1.3
A0A0H2WVX4,1.1.1.3
P46806,1.1.1.3
F9VNG5,1.1.1.3
C1G1C3,1.1.1.3
C1GTZ6,1.1.1.3
P00561,1.1.1.3
P19582,1.1.1.3
Q9WZ17,1.1.1.3
Q5SL04,1.1.1.3
A8R3J3,1.1.1.30
D0VWQ0,1.1.1.30
Q5ZT49,1.1.1.30
Q8JZV9,1.1.1.30
Q561X9,1.1.1.30
Q4FRT2,1.1.1.30
A0A1E3M3N6,1.1.1.30
Q9QYF1,1.1.1.300
Q8IZV5,1.1.1.300
Q8VCH7,1.1.1.300
Q9BTZ2,1.1.1.300
Q8MZG9,1.1.1.300
Q7JYX2,1.1.1.300
Q7JUS1,1.1.1.300
Q9W404,1.1.1.300
O88876,1.1.1.300
D3Z6W3,1.1.1.300
A0A3Q3ATC8,1.1.1.300
P39714,1.1.1.303
A0A223LRZ7,1.1.1.303
V9NF79,1.1.1.303
Q48436,1.1.1.304
M4N626,1.1.1.304
C0ZPN9,1.1.1.304
W8VSK8,1.1.1.304
D7RP28,1.1.1.304
A0A5B8J1I7,1.1.1.304
P77398,1.1.1.305
A0A140N587,1.1.1.305
C1K8Y9,1.1.1.307
C5J3R6,1.1.1.307
A9QVV8,1.1.1.307
A0MTG4,1.1.1.307
P31867,1.1.1.307
F2YCN5,1.1.1.307
I7HD84,1.1.1.307
M9RYL7,1.1.1.307
A0A0H3Y829,1.1.1.307
A0A0M4HL56,1.1.1.307
Q876L8,1.1.1.307
C0LSY9,1.1.1.307
P38715,1.1.1.307
G0SCE7,1.1.1.307
P87039,1.1.1.307
Q7SD67,1.1.1.307
S4WCW2,1.1.1.307
A0A0S2PJI4,1.1.1.307
W0T4K1,1.1.1.307
Q8X195,1.1.1.307
W5RZ21,1.1.1.307
A0A455KZK8,1.1.1.307
A0A2Z4P5B1,1.1.1.307
Q46N53,1.1.1.308
P9WNY5,1.1.1.31
Q5P5I4,1.1.1.311
Q93PS4,1.1.1.312
Q1R183,1.1.1.313
E5Y946,1.1.1.313
D3U1D9,1.1.1.313
Q8HZT6,1.1.1.315
O54909,1.1.1.315
Q27979,1.1.1.315
Q84L20,1.1.1.316
O81884,1.1.1.316
Q6BDJ2,1.1.1.316
E9M5S4,1.1.1.316
C0LVA5,1.1.1.316
Q3L181,1.1.1.317
Q15GI4,1.1.1.318
B2WSN1,1.1.1.318
T2AZ69,1.1.1.318
A0A1B2U6S7,1.1.1.318
A0A1B2U6S6,1.1.1.318
A0A1B2U6T4,1.1.1.318
A0A1B2U6R8,1.1.1.318
A0A0E3NCN9,1.1.1.318
A0A0E3NBN0,1.1.1.318
A0A0E3H852,1.1.1.318
A0A0E3KNP5,1.1.1.318
A0A1B2U6T3,1.1.1.318
A0A166G7A0,1.1.1.318
M1FGX5,1.1.1.318
A0A7S9C1H0,1.1.1.318
A0A7S9C1M1,1.1.1.318
A0A7U3PJH6,1.1.1.318
A0A1B2U6S4,1.1.1.318
Q15GI3,1.1.1.319
B8RCD2,1.1.1.319
