name,smile
D-iditol,C([C@H]([C@@H]([C@H]([C@@H](CO)O)O)O)O)O
D-sorbose,C([C@H]([C@@H]([C@H](C(=O)CO)O)O)O)O
Galactitol,C([C@H]([C@@H]([C@@H]([C@H](CO)O)O)O)O)O
D-tagatose,C1[C@H]([C@@H]([C@@H](C(O1)(CO)O)O)O)O
D-mannitol 1-phosphate,C([C@H]([C@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)O)O
D-fructose 6-phosphate,C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)OP(=O)(O)O
Myo-inositol,C1(C(C(C(C(C1O)O)O)O)O)O
"2,4,6/3,5-pentahydroxycyclohexanone",[C@H]1([C@H](C(=O)[C@H]([C@@H](C1O)O)O)O)O
L-gulonate,C([C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O)O)O)O)O
D-glucuronate,[C@@H]1([C@@H]([C@H](OC([C@@H]1O)O)C(=O)O)O)O
"L-gulono-1,4-lactone",C([C@@H]([C@@H]1[C@@H]([C@@H](C(=O)O1)O)O)O)O
"D-glucurono-3,6-lactone",C(=O)[C@@H]([C@@H]1[C@@H]([C@@H](C(=O)O1)O)O)O
Alditol,C(C(CO)O)O
aldose,C(C(C=O)O)O
UDP-glucose,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O
water,O
UDP-glucuronate,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)O)O
L-histidinol,C1=C(NC=N1)C[C@@H](CO)N
L-histidine,C1=C(NC=N1)C[C@@H](C(=O)O)N
Quinate,C1[C@H](C([C@@H](CC1(C(=O)O)O)O)O)O
3-dehydroquinate,C1[C@H]([C@@H](C(=O)C[C@]1(C(=O)O)O)O)O
Shikimate,C1[C@H]([C@@H]([C@@H](C=C1C(=O)O)O)O)O
3-dehydroshikimate,C1[C@H]([C@@H](C(=O)C=C1C(=O)O)O)O
Glycolate,C(C(=O)O)O
glyoxylate,C(=O)C(=O)[O-]
(S)-lactate,C[C@@H](C(=O)O)O
pyruvate,CC(=O)C(=O)[O-]
(R)-lactate,C[C@H](C(=O)O)O
D-glycerate,C([C@H](C(=O)[O-])O)O
hydroxypyruvate,C(C(=O)C(=O)O)O
(R)-3-hydroxybutanoate,C[C@H](CC(=O)O)O
acetoacetate,CC(=O)CC(=O)[O-]
3-hydroxy-2-methylpropanoate,CC(CO)C(=O)[O-]
2-methyl-3-oxopropanoate,CC(C=O)C(=O)[O-]
(R)-mevalonate,C[C@@](CCO)(CC(=O)[O-])O
mevaldate,CC(CC=O)(CC(=O)[O-])O
CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O
(S)-3-hydroxy-3-methylglutaryl-CoA,C[C@](CC(=O)O)(CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(S)-malate,C([C@@H](C(=O)O)O)C(=O)O
oxaloacetate,C(C(=O)C(=O)O)C(=O)O
CO2,C(=O)=O
Oxaloacetate,C(C(=O)C(=O)O)C(=O)O
Isocitrate,C(C(C(C(=O)O)O)C(=O)O)C(=O)O
2-oxoglutarate,C(CC(=O)O)C(=O)C(=O)O
6-phospho-D-gluconate,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)O
D-ribulose 5-phosphate,C([C@H]([C@H](C(=O)CO)O)O)OP(=O)(O)O
3-dehydro-L-gulonate,C([C@@H]([C@H](C(=O)[C@@H](C(=O)O)O)O)O)O
D-glucose,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O
"D-glucono-1,5-lactone",C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O
D-galactose,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O
"D-galactono-1,4-lactone",C([C@H]([C@H]1[C@@H]([C@H](C(=O)O1)O)O)O)O
D-glucose 6-phosphate,C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)OP(=O)(O)O
"6-phospho-D-glucono-1,5-lactone",C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)OP(=O)(O)O
Testosterone,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C
"androst-4-ene-3,17-dione",C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C
Lithocholate,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C
17-beta-hydroxyandrostan-3-one,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C
Allyl alcohol,C=CCO
acrolein,C=CC=O
Ribitol,C([C@H](C([C@H](CO)O)O)O)O
D-ribulose,C([C@H]([C@H](C(=O)CO)O)O)O
D-mannonate,C([C@H]([C@H]([C@@H]([C@@H](C(=O)O)O)O)O)O)O
D-fructuronate,C(C1([C@H]([C@@H]([C@H](O1)C(=O)O)O)O)O)O
D-altronate,C([C@H]([C@H]([C@H]([C@@H](C(=O)[O-])O)O)O)O)O
D-tagaturonate,C(C(=O)[C@H]([C@H]([C@@H](C(=O)[O-])O)O)O)O
2-hydroxy-3-oxopropanoate,C(=O)C(C(=O)O)O
4-hydroxybutanoate,C(CC(=O)O)CO
succinate semialdehyde,C(CC(=O)[O-])C=O
17-beta-estradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O
estrone,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O
Pyridoxine,CC1=NC=C(C(=C1O)CO)CO
pyridoxal,CC1=NC=C(C(=C1O)C=O)CO
10-hydroxydecanoate,C(CCCCC(=O)O)CCCCO
10-oxodecanoate,C(CCCCC(=O)O)CCCC=O
D-mannitol,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O
D-fructose,C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O
D-gluconate,C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O
5-dehydro-D-gluconate,C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O
D-glyceraldehyde,C([C@H](C=O)O)O
1-octanol,CCCCCCCCO
1-octanal,CCCCCCCC=O
"(2S,3S)-butane-2,3-diol",C[C@@H]([C@H](C)O)O
(S)-acetoin,C[C@@H](C(=O)C)O
"(R)-propane-1,2-diol",C[C@H](CO)O
(R)-lactaldehyde,C[C@H](C=O)O
"(S)-propane-1,2-diol",C[C@@H](CO)O
(S)-lactaldehyde,C[C@@H](C=O)O
Propan-2-ol,CC(C)O
acetone,CC(=O)C
(R)-malate,C([C@H](C(=O)O)O)C(=O)O
"(2R,3S)-3-isopropylmalate",CC(C)[C@@H]([C@H](C(=O)O)O)C(=O)O
4-methyl-2-oxopentanoate,CC(C)CC(=O)C(=O)O
"(2R)-2,3-dihydroxy-3-methylbutanoate",CC(C)([C@H](C(=O)O)O)O
(2S)-2-hydroxy-2-methyl-3-oxobutanoate,CC(=O)[C@@](C)(C(=O)[O-])O
"(2R,3R)-2,3-dihydroxy-3-methylpentanoate",CC[C@](C)([C@H](C(=O)O)O)O
(S)-2-hydroxy-2-ethyl-3-oxobutanoate,CC[C@](C(=O)C)(C(=O)O)O
"(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate",C(CC(=O)[O-])[C@@H]([C@H](C(=O)[O-])O)C(=O)[O-]
2-oxoadipate,C(CC(=O)C(=O)O)CC(=O)O
3-hydroxy-3-methylglutaryl-CoA,C[C@](CC(=O)O)(CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
Tartrate,C(C(C(=O)[O-])O)(C(=O)[O-])O
oxaloglycolate,C(C(=O)C(=O)O)(C(=O)O)O
3-phospho-D-glycerate,C([C@H](C(=O)O)O)OP(=O)(O)O
3-phosphonooxypyruvate,C(C(=O)C(=O)O)OP(=O)(O)O
"3-(3,5-diiodo-4-hydroxyphenyl)lactate",C1=C(C=C(C(=C1I)O)I)CC(C(=O)O)O
"3-(3,5-diiodo-4-hydroxyphenyl)pyruvate",C1=C(C=C(C(=C1I)O)I)CC(=O)C(=O)O
1-palmitoylglycerol 3-phosphate,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)O)O
palmitoylglycerone phosphate,CCCCCCCCCCCCCCCC(=O)OCC(=O)COP(=O)(O)O
Sphinganine,CCCCCCCCCCCCCCC[C@H]([C@H](CO)N)O
3-dehydrosphinganine,CCCCCCCCCCCCCCCC(=O)[C@H](CO)N
L-threonine,C[C@H]([C@@H](C(=O)O)N)O
L-2-amino-3-oxobutanoate,CC(=O)[C@@H](C(=O)O)N
Pyridoxal,CC1=NC=C(C(=C1O)C=O)CO
4-pyridoxolactone,CC1=NC=C2COC(=O)C2=C1O
Carnitine,C[N+](C)(C)CC(CC(=O)[O-])O
3-dehydrocarnitine,C[N+](C)(C)CC(=O)CC(=O)[O-]
(R)-3-(phenyl)lactate,C1=CC=C(C=C1)C[C@H](C(=O)O)O
3-phenyl-2-oxopropanoate,C1=CC=C(C=C1)CC(=O)C(=O)O
(R)-3-(4-hydroxyphenyl)lactate,C1=CC(=CC=C1C[C@H](C(=O)[O-])O)O
3-(4-hydroxyphenyl)pyruvate,C1=CC(=CC=C1CC(=O)C(=O)[O-])O
(Indol-3-yl)lactate,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)[O-])O
(indol-3-yl)pyruvate,C1=CC=C2C(=C1)C(=CN2)CC(=O)C(=O)O
Indan-1-ol,C1CC2=CC=CC=C2C1O
indanone,C1CC(=O)C2=CC=CC=C21
"D-arabinono-1,4-lactone",C([C@@H]1[C@H]([C@@H](C(=O)O1)O)O)O
"D-galactono-1,5-lactone",C([C@@H]1[C@@H]([C@@H]([C@H](C(=O)O1)O)O)O)O
5-dehydro-D-fructose,C(C(=O)[C@H]([C@@H](C(=O)CO)O)O)O
2-dehydro-3-deoxy-D-gluconate,C([C@@H]([C@@H](CO)O)O)C(=O)C(=O)[O-]
"(4S)-4,6-dihydroxy-2,5-dioxohexanoate",C([C@@H](C(=O)CO)O)C(=O)C(=O)[O-]
"(4R,5S)-4,5,6-trihydroxy-2,3-dioxohexanoate",C([C@@H]([C@H](C(=O)C(=O)C(=O)[O-])O)O)O
GDP-D-mannose,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)N=C(NC2=O)N
GDP-D-mannuronate,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O)N=C(NC2=O)N
dTDP-beta-L-rhamnose,C[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)O)O)O
dTDP-4-dehydro-beta-L-rhamnose,C[C@H]1C(=O)[C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)O)O
GDP-6-deoxy-alpha-D-talose,C[C@@H]1[C@@H]([C@@H]([C@@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O)O
GDP-4-dehydro-alpha-D-rhamnose,C[C@@H]1C(=O)[C@@H]([C@@H]([C@H](O1)OP(=O)([O-])OP(=O)([O-])OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O
UDP-N-acetyl-alpha-D-glucosamine,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)CO)O)O
D-sorbitol 6-phosphate,C([C@@H]([C@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)O)O
"(5Z,13E,15S)-11-alpha,15-dihydroxy-9-oxoprost-5,13-dienoate",CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O)O
"(5Z,13E)-11-alpha-hydroxy-9,15-dioxoprost-5,13-dienoate",CCCCCC(=O)/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O
Perillyl alcohol,CC(=C)C1CCC(=CC1)CO
perillyl aldehyde,CC(=C)C1CCC(=CC1)C=O
17-alpha-hydroxyprogesterone,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O
"L-erythro-7,8-dihydrobiopterin",C[C@@H]([C@@H](C1=NC2=C(NC1)N=C(NC2=O)N)O)O
sepiapterin,C[C@@H](C(=O)C1=NC2=C(NC1)N=C(NC2=O)N)O
L-erythro-tetrahydrobiopterin,C[C@@H]([C@@H]([C@H]1CNC2=C(N1)C(=O)NC(=N2)N)O)O
"6-pyruvoyl-5,6,7,8-tetrahydropterin",CC(=O)C(=O)C1CNC2=C(N1)C(=O)NC(=N2)N
(S)-3-hydroxybutanoyl-CoA,C[C@@H](CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-acetoacetyl-CoA,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
D-threitol,C([C@H]([C@@H](CO)O)O)O
D-erythrulose,C([C@H](C(=O)CO)O)O
Cyclopentanol,C1CCC(C1)O
cyclopentanone,C1CCC(=O)C1
(R)-pantolactone,CC1(COC(=O)[C@@H]1O)C
2-dehydropantolactone,CC1(COC(=O)C1=O)C
(R)-pantoate,CC(C)(CO)[C@H](C(=O)[O-])O
2-dehydropantoate,CC(C)(CO)C(=O)C(=O)O
L-rhamnofuranose,C[C@@H]([C@H]1[C@H]([C@H](C(O1)O)O)O)O
"L-rhamno-1,4-lactone",C[C@@H]([C@H]1[C@H]([C@H](C(=O)O1)O)O)O
D-xylose,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O
D-xylonolactone,C1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O
"(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA",C[C@@H]([C@H](C)O)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
2-methylacetoacetyl-CoA,CC(C(=O)C)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
"D-xylono-1,5-lactone",C1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O
"Cholest-5-ene-3-beta,7-alpha-diol",C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C(C=C4[C@@]3(CCC(C4)O)C)O)C
7-alpha-hydroxycholest-4-en-3-one,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](CC4=CC(=O)CC[C@]34C)O)C
Geraniol,CC(=CCC/C(=C/CO)/C)C
geranial,CC(=CCC/C(=C/C=O)/C)C
"(5Z,13E)-(15S)-9-alpha,11-alpha,15-trihydroxyprosta-5,13-dienoate",CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@@H]([C@@H]1C/C=C/CCCC(=O)O)O)O)O
"(5Z,13E)-(15S)-9-alpha,15-dihydroxy-11-oxoprosta-5,13-dienoate",CCCCC[C@@H](/C=C/[C@@H]1[C@H]([C@H](CC1=O)O)C/C=C\CCCC(=O)O)O
(Indol-3-yl)ethanol,C1=CC=C2C(=C1)C(=CN2)CCO
(indol-3-yl)acetaldehyde,C1=CC=C2C(=C1)C(=CN2)CC=O
5-amino-6-(5-phospho-D-ribitylamino)uracil,C([C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)NC1=C(C(=O)NC(=O)N1)N
5-amino-6-(5-phospho-D-ribosylamino)uracil,C([C@@H]1[C@H]([C@H]([C@@H](O1)NC2=C(C(=O)NC(=O)N2)N)O)O)OP(=O)([O-])[O-]
Coniferyl alcohol,COC1=C(C=CC(=C1)/C=C/CO)O
coniferyl aldehyde,COC1=C(C=CC(=C1)/C=C/C=O)O
Cinnamyl alcohol,C1=CC=C(C=C1)/C=C/CO
cinnamaldehyde,C1=CC=C(C=C1)/C=C/C=O
"(5Z,13E)-9-alpha-hydroxy-11,15-dioxoprosta-5,13-dienoate",CCCCCC(=O)/C=C/[C@@H]1[C@H]([C@H](CC1=O)O)C/C=C\CCCC(=O)[O-]
"(13E)-(15S)-11-alpha,15-dihydroxy-9-oxoprost-13-enoate",CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O
"(13E)-11-alpha-hydroxy-9,15-dioxoprost-13-enoate",CCCCCC(=O)/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O
"Propane-1,3-diol",C(CO)CO
3-hydroxypropanal,C(CO)C=O
Beta-D-galacturonate,[C@@H]1([C@H]([C@H](O[C@H]([C@@H]1O)O)C(=O)[O-])O)O
"D-galactaro-1,5-lactone",[C@@H]1([C@H]([C@H](OC(=O)[C@@H]1O)C(=O)O)O)O
Beta-D-glucuronate,[C@@H]1([C@@H]([C@H](O[C@H]([C@@H]1O)O)C(=O)[O-])O)O
"D-glucaro-1,5-lactone",[C@@H]1([C@@H]([C@H](OC(=O)[C@@H]1O)C(=O)O)O)O
Inosine 5'-phosphate,C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O
xanthosine 5'-phosphate,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(=O)NC2=O
Tropine,CN1C2CCC1CC(C2)O
tropinone,CN1C2CCC1CC(=O)C2
(+)-neomenthol,C[C@@H]1CC[C@H]([C@H](C1)O)C(C)C
(-)-menthone,C[C@@H]1CC[C@H](C(=O)C1)C(C)C
Androsterone,C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O
"5-alpha-androstane-3,17-dione",C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C
"5-alpha-androstan-3-beta,17-beta-diol",C[C@]12CC[C@@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@@]4([C@H]3CC[C@@H]4O)C)O
17-beta-hydroxy-5-alpha-androstan-3-one,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C
2-dehydro-D-gluconate,C([C@H]([C@H]([C@@H](C(=O)C(=O)O)O)O)O)O
"(2E,6E)-farnesol",CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C
"(2E,6E)-farnesal",CC(=CCC/C(=C/CC/C(=C/C=O)/C)/C)C
Morphine,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O
morphinone,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3C(=O)C=C4
(-)-trans-isopiperitenol,CC1=C[C@@H]([C@H](CC1)C(=C)C)O
(-)-isopiperitenone,CC1=CC(=O)[C@H](CC1)C(=C)C
Chlordecone alcohol,C1(C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)O
chlordecone,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl
"(15S)-15-hydroxy-5,8,11-cis-13-trans-icosatetraenoate",CCCCC[C@@H](/C=C/C=C\C/C=C\C/C=C\CCCC(=O)O)O
"15-oxo-5,8,11-cis-13-trans-icosatetraenoate",CCCCCC(=O)/C=C/C=C\C/C=C\C/C=C\CCCC(=O)O
(2S)-flavan-4-ol,C1[C@H](OC2=CC=CC=C2C1O)C3=CC=CC=C3
(2S)-flavanone,C1[C@H](OC2=CC=CC=C2C1=O)C3=CC=CC=C3
Pseudotropine,CN1C2CCC1CC(C2)O
"(R)-3-(3,4-dihydroxyphenyl)lactate",C1=CC(=C(C=C1C[C@H](C(=O)O)O)O)O
"3-(3,4-dihydroxyphenyl)pyruvate",C1=CC(=C(C=C1CC(=O)C(=O)[O-])O)O
androstenedione,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C
(-)-trans-carveol,CC1=CC[C@H](C[C@@H]1O)C(=C)C
(-)-carvone,CC1=CC[C@H](CC1=O)C(=C)C
Methanol,CO
formaldehyde,C=O
Cyclohexanol,C1CCC(CC1)O
cyclohexanone,C1CCC(=O)CC1
Codeine,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O
codeinone,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3C(=O)C=C4
Salutaridinol,CN1CC[C@]23C=C([C@H](C=C2[C@H]1CC4=C3C(=C(C=C4)OC)O)O)OC
salutaridine,CN1CC[C@]23C=C(C(=O)C=C2[C@H]1CC4=C3C(=C(C=C4)OC)O)OC
Galactitol 1-phosphate,C([C@H]([C@@H]([C@@H]([C@H](COP(=O)(O)O)O)O)O)O)O
D-tagatose 6-phosphate,C([C@@H]1[C@@H]([C@@H](C(O1)(CO)O)O)O)OP(=O)(O)O
Scytalone,C1C(CC(=O)C2=C1C=C(C=C2O)O)O
"1,3,6,8-tetrahydroxynaphthalene",C1=C2C=C(C=C(C2=C(C=C1O)O)O)O
D-mannose,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O
Fluoren-9-ol,C1=CC=C2C(=C1)C(C3=CC=CC=C32)O
fluoren-9-one,C1=CC=C2C(=C1)C3=CC=CC=C3C2=O
4-(hydroxymethyl)benzenesulfonate,C1=CC(=CC=C1CO)S(=O)(=O)[O-]
4-formylbenzenesulfonate,C1=CC(=CC=C1C=O)S(=O)(=O)[O-]
sn-glycerol 1-phosphate,C([C@@H](COP(=O)(O)O)O)O
4-phosphooxy-L-threonine,C([C@H]([C@@H](C(=O)O)N)O)OP(=O)(O)O
3-amino-2-oxopropyl phosphate,C(C(=O)COP(=O)(O)O)N
"1,5-anhydro-D-glucitol",C1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O
"1,5-anhydro-D-fructose",C1C(=O)[C@H]([C@@H]([C@H](O1)CO)O)O
L-idonate,C([C@@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O
5-dehydrogluconate,C(C(=O)[C@H]([C@@H]([C@H](C(=O)O)O)O)O)O
3-methylbutanol,CC(C)CCO
3-methylbutanal,CC(C)CC=O
dTDP-alpha-D-fucopyranose,C[C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)O)O)O
dTDP-4-dehydro-6-deoxy-alpha-D-glucose,C[C@@H]1C(=O)[C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)O)O
2-C-methyl-D-erythritol 4-phosphate,C[C@](CO)([C@@H](COP(=O)(O)O)O)O
1-deoxy-D-xylulose 5-phosphate,CC(=O)[C@H]([C@@H](COP(=O)(O)O)O)O
2-(R)-hydroxypropyl-CoM,C[C@H](CSCCS(=O)(=O)O)O
2-oxopropyl-CoM,CC(=O)CSCCS(=O)(=O)O
GDP-beta-L-fucose,C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O)O
"2,5-didehydro-D-gluconate",C(C(=O)[C@H]([C@@H](C(=O)C(=O)[O-])O)O)O
