protein,EC
O66129,2.5.1.83
Q13315,2.7.11.1
P04802,6.1.1.12
O81770,2.4.1.46
Q8LPK5,2.4.1.12
P0A7B1,2.7.4.1
Q91WT9,4.2.1.22
Q54K39,2.7.7.13
Q86W56,3.2.1.143
Q2Q449,4.2.1.96
Q09LX1,3.1.1.72
D4GY85,3.4.23.52
Q9AHR5,6.3.4.3
D3JYA1,4.2.3.8
F6KAZ5,4.2.99.18
F1CMX8,1.14.15.30
P10253,3.2.1.20
I1LFN1,3.5.1.98
A0A6M3Z9Z6,2.7.7.85
Q1XGK8,1.2.1.85
A0A185NWC6,5.5.1.8
P15557,3.5.1.93
Q8W1X2,2.7.1.35
E7FLV1,1.14.11.15
E5KWY2,1.14.99.39
B3VPZ9,1.7.1.6
C6L684,3.2.1.39
Q9SR37,3.2.1.21
T1Z2L1,3.5.4.43
P08394,3.1.11.5
A4G242,2.8.3.16
Q9H477,2.7.1.15
Q9URQ3,3.5.4.33
Q9AVR8,2.4.1.13
L8EUQ6,1.14.13.234
A3F6Y9,2.1.1.6
H3ZMH5,5.1.1.8
P0ABD3,1.16.3.1
P51854,2.2.1.1
Q9FI37,5.4.99.31
M9NX10,7.2.2.21
Q8AAK9,3.2.1.18
G9I7G1,1.14.19.29
C8VQK3,2.5.1.61
Q9HWG9,1.14.13.218
O00116,2.5.1.26
P34948,5.3.1.8
Q0VJU2,3.5.2.6
P60472,2.5.1.31
Q25252,3.1.1.1
A0A3G0ZGD9,1.21.99.3
B0B766,4.1.1.39
Q9Y162,3.6.4.6
O74935,1.3.3.6
Q7X9A3,4.2.3.61
P09838,2.7.7.31
Q9C9C9,2.8.2.38
A0A0H2VA69,2.7.13.3
A0A1J1DVP9,1.14.14.77
Q4JB88,3.1.3.48
P25535,1.14.13.240
A7Z5E0,3.4.19.13
Q2PWI5,1.12.99.6
P00791,3.4.23.1
Q9Y5P6,2.7.7.13
Q65EX3,2.3.2.22
Q1KLC8,3.2.1.1
Q86UL3,2.3.1.15
B3ITC5,5.4.2.7
Q9F5K5,2.1.1.209
Q4ZH57,6.3.1.2
Q8ZFU4,3.5.2.3
A7UDB5,1.14.14.1
A8JZC4,1.8.99.2
A0A1I5C818,2.3.1.184
Q88RC0,1.2.1.20
P46395,2.6.1.62
A6N2H5,1.13.11.1
P44514,3.5.1.18
F5BR59,1.14.20.6
P42328,1.1.1.1
Q9HXT9,2.7.7.65
Q8IVL5,1.14.11.7
Q8H0W1,3.4.21.89
Q29497,1.14.14.19
C9DEB2,4.6.1.18
C7U324,7.6.2.1
I1RGY2,2.7.1.1
P33587,3.4.21.69
Q5SJC8,1.3.1.98
Q8GTB8,2.5.1.18
P98074,3.4.21.9
A0A0J9Y417,6.3.5.6
Q9LIH6,3.2.2.27
A0A1L5JYS1,4.2.3.100
Q90YK3,1.1.3.8
O70571,2.7.11.2
Q96DP5,2.1.2.9
Q75PZ2,2.7.8.7
O77759,2.3.1.26
Q16222,2.7.7.83
D1MVE1,3.4.14.10
C1DI21,1.18.6.2
A0A068F9H3,2.4.1.18
Q4DA54,6.1.1.21
Q5H398,5.1.1.23
F4GZY2,3.2.1.4
Q81JI8,5.6.2.3
K7XD27,2.3.1.95
D2DRB6,3.2.1.73
O13345,1.14.14.117
B5MGR0,3.2.1.55
A2TLS9,3.2.1.26
P56216,1.1.3.38
P9WKK9,1.1.1.85
A0A0D4BSN8,1.1.1.397
Q14894,1.5.1.25
B0FYX1,2.7.3.5
A5JSJ3,2.3.2.13
A0A2R4K332,3.2.1.15
B7UCR9,1.1.1.267
Q99JI6,3.6.5.2
D3ZKT0,2.7.7.41
B0UXS0,1.14.14.18
Q96Q15,2.7.11.1
P46883,1.4.3.21
Q4U3F6,4.2.3.133
W8P019,2.5.1.115
Q90WG6,2.7.7.92
D1GJ60,2.3.1.176
Q6VMN4,7.5.2.10
Q9ZB73,2.4.1.315
O95155,2.3.2.27
Q7Z0G9,3.4.22.15
P95747,2.4.1.316
P0ABF8,2.7.8.5
Q9KJD0,4.2.2.16
Q9LFW1,5.4.99.30
W6JQJ6,1.4.3.2
B7VF64,3.4.22.7
Q9SB58,2.3.1.225
Q92UV8,3.11.1.2
Q84BQ9,2.1.1.244
P06525,1.1.1.1
A0A5E8GWV2,1.14.13.81
Q48154,1.1.1.405
A0A173GP47,2.8.2.10
R4XPW1,3.4.22.49
Q400U9,1.14.17.4
P80148,2.3.3.16
Q8CGU9,1.14.16.4
B5D5P2,1.5.1.17
O25836,3.5.1.49
A0A0A0PTJ7,1.1.1.219
P51541,2.7.3.3
P52494,3.2.1.28
R7AM69,1.1.1.213
Q9H300,3.4.21.105
Q8I3X4,2.4.2.3
Q141Z6,4.2.1.34
Q9LDR4,1.3.1.70
P27409,3.4.22.66
Q2HWH6,1.14.12.22
B8YJJ0,2.3.1.16
F6WFA7,3.5.1.9
Q93KD6,7.3.2.6
Q6F7Q1,3.1.2.2
Q006Q0,1.1.1.40
A0A0D6HIR7,2.1.1.217
O82549,3.1.4.4
Q8GBW6,2.1.3.1
Q91WF3,4.6.1.1
A7BI63,1.15.1.1
A0A0F6VXE6,5.1.1.4
X0JT48,4.1.1.46
I1KH05,2.7.8.2
Q03045,3.2.1.3
Q3L1D1,1.1.99.29
A0A087WNH6,3.3.1.1
A4RQJ7,1.14.19.31
O52643,1.14.15.26
P25576,2.7.7.1
E7FHC0,3.2.1.23
A0A067YX61,1.14.20.14
Q07DN3,2.1.1.325
P23470,3.1.3.48
A0A0N9FGL8,4.2.1.1
G1TBZ8,3.4.21.53
Q67DV6,2.3.1.167
A0A1D5PN50,2.1.1.356
A0A0M4UW33,3.1.1.73
Q8XVU6,4.1.1.11
Q9X584,3.2.1.8
P07314,2.3.2.2
Q9XEA8,2.5.1.47
M2REM6,1.11.1.13
Q58813,4.1.2.17
P9WN27,2.7.7.42
A0A1L2D5S1,1.14.18.3
P43889,2.7.7.23
B9ZZN9,3.2.1.8
A0A193CHN6,1.2.1.84
Q93TL6,1.3.7.2
A7XFV7,4.2.2.1
B9MKZ8,1.1.1.27
K9M7R4,3.5.1.127
P00786,3.4.22.16
Q62L02,1.3.1.9
E5FGC5,3.2.1.14
P43823,6.1.1.21
Q972D2,1.4.3.16
Q9QZH4,2.7.11.31
P62820,3.6.5.2
Q4QCF1,5.4.2.2
O76498,3.4.21.4
C4JLQ3,3.4.24.39
A0A1Q1NIA8,1.1.1.294
Q6NS38,1.14.11.33
C6D678,3.2.1.139
Q9HBQ7,3.4.22.15
Q939Q9,3.1.1.75
B6UPD2,1.14.14.19
Q8C0I1,2.5.1.26
Q57609,3.5.4.29
P12268,1.1.1.205
Q03471,4.2.3.9
O99896,7.1.1.9
I1NGL3,2.7.7.4
P04298,2.7.7.50
P9WMW9,2.4.1.266
Q9KQW9,7.5.2.5
Q2G036,3.4.21.92
P55250,4.2.1.2
Q8TZJ1,3.1.1.3
A0A097BW98,3.4.22.61
S0F349,3.5.3.12
F0HXE4,3.4.11.7
E8MF12,2.7.1.162
Q767A2,2.5.1.47
Q0VTB0,1.18.1.1
Q54BM7,2.7.4.1
G7YHN5,2.3.1.9
Q8NLN1,2.7.1.40
C7SFI4,7.3.2.4
H2K887,4.2.3.152
A2VC29,2.5.1.22
P00371,1.4.3.3
P17811,3.4.23.48
P04959,4.2.2.2
Q93UN8,1.16.1.1
A0A2C9ETQ7,3.4.21.53
Q4HYR2,4.1.3.1
Q93ET8,2.3.1.82
F1DBB2,1.1.1.205
Q2HQR7,1.2.1.9
P73354,3.4.21.107
Q9M5B1,1.1.1.219
Q6I7B6,5.4.2.7
P54310,3.1.1.79
Q1KLC3,2.7.1.29
O82716,3.2.1.39
G9CHX6,4.2.2.3
Q5HEB7,6.3.2.4
Q72DD2,1.5.1.20
O84919,1.14.15.25
P50097,1.1.1.205
A0A7G4NVP2,1.1.1.4
G2XKV7,4.2.2.2
P14550,1.1.1.2
O05268,1.19.1.1
Q8IG31,1.11.1.24
Q8LSZ3,1.3.1.33
Q9M039,4.1.1.1
C7DRQ4,1.15.1.1
P33299,5.6.1.5
W0G253,3.5.1.1
A0A031HCH9,4.1.2.42
P0A719,2.7.6.1
A0A1I9WKA6,4.2.1.51
P17906,3.1.3.3
P42799,5.4.3.8
P31925,2.4.1.13
E1UJ48,3.4.22.15
Q5CD81,4.2.3.106
Q73Y78,4.6.1.1
O24498,1.14.19.2
Q52JH6,1.15.1.1
O24499,1.14.19.22
Q9BGN0,3.1.8.1
P20178,2.3.1.95
Q63707,1.3.5.2
P39583,2.7.6.5
Q03426,2.7.1.36
Q0I6Q3,1.11.1.18
A0R4Y3,1.14.15.29
Q8VYX0,3.5.1.127
C6ZIA5,4.3.1.24
A0A1D5NU03,2.4.99.6
F9USS9,5.1.2.1
O93523,3.4.24.49
Q72EC8,4.99.1.3
A0A3B6LSQ4,2.6.1.13
A5YV13,1.14.13.7
K7WPN7,1.3.99.28
P79074,3.2.1.15
A0A075FA51,5.5.1.12
Q8K5W8,4.6.1.22
Q7K6A0,2.7.11.11
B6RB08,3.2.1.1
Q9EQ76,1.14.13.8
B8NJ86,3.2.1.8
Q6GZ04,5.4.3.10
Q9SZZ8,1.14.15.24
Q99MZ7,1.3.1.38
A0A097IV41,4.1.1.39
P08164,6.3.1.5
Q97UI1,3.2.1.31
Q3BXX2,3.2.1.28
Q6LYB4,5.4.2.10
B6ECG5,2.7.7.47
E2DIF5,1.1.1.195
A0A191KCR2,3.2.1.21
B8Q027,4.2.1.11
A0A384E143,2.3.3.10
K1QT40,2.4.1.90
Q9FMT1,1.1.1.85
P26494,2.3.1.304
C3VPJ1,3.2.1.39
C1L335,4.2.1.1
P0A7D1,3.1.1.29
E7CXT1,1.1.1.27
P23687,3.4.21.26
O66939,1.1.1.28
Q9RW45,3.5.4.40
Q3HX10,6.4.1.2
Q1NEI6,1.1.1.401
Q9LIA0,2.5.1.81
I3DX19,1.1.1.244
A0A127F9C1,1.17.99.11
P12047,4.3.2.2
P58099,3.4.21.110
P17709,2.7.1.2
P77467,5.3.3.18
P07662,3.5.1.93
D3ZI76,2.3.1.15
M9Y1F2,1.10.3.2
Q56840,1.1.1.268
Q5HQ78,3.5.1.88
Q64K29,4.2.3.75
Q8PZ67,1.5.7.2
P30299,2.7.3.9
Q820M5,2.4.1.13
U3N6Q1,4.3.1.24
A4YG49,1.16.1.1
P00723,3.2.1.23
B5KRF8,2.3.1.167
P01031,3.4.21.43
Q9L1K2,2.4.99.16
P32179,3.1.3.7
Q99W51,3.5.4.33
Q5APF3,2.7.8.7
P32501,3.6.5.3
Q6TGQ9,1.4.3.2
A0A075IGQ2,1.13.11.70
Q55389,1.8.7.2
P22681,2.3.2.27
Q2PFL7,2.5.1.18
P77918,2.1.3.2
A8D0I2,4.1.1.39
A0A385J6X8,4.2.3.89
Q5N2J9,2.5.1.19
A7LCJ5,1.14.11.13
Q8R860,5.1.1.1
D2DK62,5.3.1.5
A0A024R059,2.3.3.10
I0B6I9,1.14.15.30
Q8YEF2,4.1.3.4
C5B2R8,1.5.1.47
V5IVA1,1.3.1.100
Q5SL15,5.4.99.16
C0MP41,1.4.7.1
P42270,4.2.1.163
Q5MPP0,1.14.18.6
M2Y1U7,2.4.1.96
Q3B7H2,2.7.7.41
O66186,3.5.5.8
A0A034VLA7,3.1.1.1
P47229,3.7.1.8
Q3V1T4,1.14.11.7
O15496,3.1.1.4
Q15788,2.3.1.48
Q72I83,2.4.2.7
B6RB12,1.11.1.24
Q7A0G9,4.3.2.2
Q56187,2.7.4.26
P28887,2.7.7.48
Q5SLJ4,2.7.1.1
P06797,3.4.22.15
O53444,3.5.1.104
Q936X2,3.5.1.54
P0C0J0,3.4.22.10
E1ANS4,3.2.1.141
Q8U2G5,3.2.1.2
E0A920,1.14.19.25
A0A0H2YU52,2.7.7.85
B3VMH8,2.8.3.16
Q9AFC7,2.4.1.322
X2EXI1,3.5.2.6
Q72I82,2.4.2.7
W9SMK4,1.14.14.137
A0A2D0WG37,1.1.1.245
Q8MTY0,1.18.1.2
A0A172MAU1,3.2.1.8
Q967C0,3.4.24.36
A0A291ATB4,3.1.21.4
Q13613,3.1.3.95
A9X6P7,2.8.3.16
A0A0C6F7V8,1.1.2.10
Q38IH5,1.12.99.6
A0A2Z5J5J9,4.1.99.13
P15169,3.4.17.3
F9VNF4,6.3.5.3
Q9Y0Z0,2.7.7.23
A0A1C3HPS0,4.1.1.39
Q47944,1.1.99.32
A7A7R9,1.1.1.149
Q1LAJ7,7.2.2.2
Q48739,1.21.3.1
Q83883,3.4.22.66
P59655,2.5.1.15
A0A1S5RW73,5.5.1.28
G5D7B5,3.2.1.49
A0A024FSF5,3.2.1.18
P27431,1.14.11.47
P10482,3.2.1.21
D0EAP3,1.15.1.1
W6JMV3,1.11.1.11
U6C7K1,3.5.2.17
Q53TN4,7.2.1.3
Q6R7M4,1.14.14.127
A0A1B4XSV4,2.3.1.74
B3VBU9,1.14.16.4
Q8GTB6,1.21.3.7
P03813,5.1.1.10
B7FAZ6,1.20.4.4
Q1XIQ9,1.1.1.42
P80702,1.1.1.50
A0A0A7R7B5,3.5.1.41
Q15382,3.6.5.2
B7K3J7,2.3.1.51
C9DEC3,4.6.1.18
P48637,6.3.2.3
Q8A904,3.2.1.40
H9BG14,1.13.11.2
I2BBF1,3.5.5.7
Q94JM2,2.7.4.8
A0A354DAG3,3.1.1.14
Q6F4M9,1.14.13.166
Q32VC2,2.3.1.199
S5FPI8,1.2.3.1
A0A076JZU4,5.3.99.7
X2EXI0,3.5.2.6
A7XW24,2.7.4.1
P13154,1.4.1.9
Q9SH93,2.7.1.227
E7BYE4,3.2.1.52
D0PQE8,3.2.1.80
C4M1C3,2.7.2.12
A0A0U5FNC1,1.1.1.1
Q8LDW6,3.1.30.1
Q58991,4.2.1.114
Q0QLE9,3.5.2.18
A0A5B8J1I7,1.1.1.304
Q51116,2.4.1.38
Q09675,4.2.1.130
Q9RPG3,1.14.19.9
A0A1L1QK39,1.14.13.22
O87871,1.1.1.368
G3H935,6.1.1.1
E8WYN5,4.1.2.10
Q7WT73,1.14.15.24
P56100,7.1.1.7
Q8H1D9,3.1.4.1
A0A088GJ08,1.17.7.4
Q6LXJ6,2.8.1.4
Q6UB28,3.4.11.18
Q8IZU8,5.1.3.19
Q47QG3,1.14.99.56
A0A172SZR2,1.14.19.3
B3SND7,2.7.7.48
Q9AVQ1,4.2.1.121
Q5M757,2.3.1.225
D8IS59,6.3.5.1
B8R7T2,3.5.99.7
M2RF26,4.1.1.105
C0H4F3,3.6.1.17
O29876,4.2.99.18
Q9LTG0,1.14.15.24
Q4VDN6,1.10.3.3
Q72JY1,2.7.4.1
Q02RL6,2.1.1.228
U5Y6R4,1.14.15.24
O44514,2.7.11.24
A0A2I6BQJ9,3.4.21.41
Q47XN7,1.14.16.1
Q64105,1.1.1.153
Q32TF5,3.2.2.5
S6CX21,7.1.1.7
Q1ERG1,3.2.1.39
R9QMR3,4.2.3.120
C8KIP3,1.4.1.13
P49891,2.8.2.4
O14098,2.7.11.23
P23865,3.4.21.102
A0A0J9X276,2.3.1.202
Q08649,2.3.1.48
A8B1V5,2.6.1.1
B2MV46,3.2.1.26
Q14TG4,2.2.1.6
Q8TFL8,1.10.3.2
Q6GH41,5.3.2.6
B9VTP0,4.4.1.23
Q80TQ2,3.4.19.12
O00746,2.7.4.6
D1ABU6,5.4.99.16
Q9C969,2.6.1.99
A0A5H2X4C4,4.2.1.10
Q6C8V3,1.1.1.37
Q67897,3.6.4.13
P59722,1.14.11.29
Q9P9N1,2.7.7.7
C5A317,2.7.7.7
A0A0M3TGF7,2.2.1.6
A0A0M5LC50,3.7.1.21
J7HET3,1.15.1.1
A4FXX8,1.2.7.6
Q9XJ32,4.2.3.21
V9SCJ1,1.1.1.1
A9ZMJ8,1.14.20.6
Q94A97,2.3.2.23
A0A1J1EM40,2.1.5.1
Q7U4Z8,2.1.1.156
Q61006,2.7.10.1
P60000,1.97.1.1
R4URK9,2.5.1.29
B5MGR3,3.2.1.89
Q924N5,6.2.1.3
A1U7P0,2.1.1.72
Q53H47,2.1.1.357
Q4WAW6,2.1.1.293
P23970,2.2.1.9
B4YSH1,2.2.1.7
P33883,2.3.1.184
E1U2Z8,2.4.1.15
B6ZBV9,2.4.1.123
Q9C1S6,3.2.1.96
A0A385P597,1.4.1.4
G3XEX2,1.14.14.11
Q62086,3.1.8.1
C1J897,3.5.2.6
A0A0A7CK57,2.7.3.3
Q0JB48,2.4.1.215
B7TVP1,7.2.4.5
F7EXV6,2.7.1.23
Q0PC20,3.2.2.9
P93147,1.14.14.90
Q3UIZ8,2.7.11.18
A0A0H3JT80,1.5.1.52
P00734,3.4.21.5
W8X092,1.17.99.8
C1I208,1.2.1.61
Q949U1,1.14.14.42
P9WFV9,6.1.1.17
Q9SZ92,2.7.1.32
F9PW76,3.4.24.13
Q9LE89,3.1.1.14
A0A140JTF0,2.8.3.1
D8QHC3,3.1.1.73
P23526,3.3.1.1
A0A3Q9SZ30,3.4.24.36
A0Q5K1,2.7.7.60
O60762,2.4.1.83
I6Y8I5,1.8.3.7
Q3MV18,3.2.1.28
P42404,5.3.1.27
Q8KE28,1.8.99.2
P0A591,6.3.1.2
Q01159,2.7.7.50
P42662,3.4.24.21
B0VHH0,2.3.1.247
Q81KF3,4.4.1.21
A8RR46,3.5.2.6
B3XKW0,4.4.1.21
O05369,5.1.3.13
B3GQ73,3.2.1.4
B6ZH71,2.1.1.159
Q9KPI8,3.2.2.9
Q92831,2.3.1.48
A0A0Y6TLH6,1.8.4.14
P62575,3.2.1.18
Q95R35,3.4.11.1
Q5U2W9,1.6.3.5
Q8WNR3,3.1.6.8
Q9L466,2.4.1.5
P33176,5.6.1.3
Q94BT0,2.4.1.14
Q5BQE6,1.3.1.72
O08457,3.2.1.55
A1SZZ2,4.4.1.21
P49748,1.3.8.9
Q9L5B1,4.1.1.44
A8BT09,1.1.1.179
Q38A45,2.7.1.164
O88693,2.4.1.80
P69902,2.8.3.16
P42085,2.4.2.22
A0A1B3TNR9,1.13.12.7
Q95QK3,1.14.11.68
Q1D2I5,6.5.1.8
Q9LRR9,1.1.3.15
B9USM4,1.11.1.24
Q9BVG9,2.7.8.29
P56884,2.7.7.59
Q30TC2,2.1.1.72
Q8EAC7,1.7.2.2
Q8LAS8,3.1.2.12
I1L4P1,2.3.1.20
Q8MJ30,1.5.1.34
A6Y9S5,4.1.2.54
Q5GA12,2.4.1.255
K7QTY9,3.4.22.15
Q1MXG4,6.3.1.2
Q93PD9,2.4.2.53
Q8BWT1,2.3.1.16
Q6VPV2,1.14.19.31
G9MAN7,5.5.1.12
A9LN31,3.2.1.17
P07099,3.3.2.9
Q9LVM4,3.6.1.29
Q965D6,1.1.1.100
A6QDA0,2.5.1.140
B0C357,1.3.1.75
A4H4P8,2.1.1.45
Q07841,1.1.1.37
A0T2X7,2.5.1.18
E0WMN8,1.14.13.25
Q1EMV2,3.1.2.29
P26214,3.2.1.15
Q9XMI0,7.1.1.9
O26010,2.7.7.3
Q96Y68,1.2.7.11
Q9ZV40,2.4.1.207
C6GFB7,2.4.1.34
A0A1Q1NIA4,1.8.4.12
C5X951,4.1.1.31
A0A336UEJ6,3.4.11.1
A0A0C2B4W5,3.1.1.14
Q05871,5.3.3.8
B8DZK4,5.1.3.11
I1YZZ5,2.1.1.179
P77712,3.1.2.20
Q1K502,3.6.4.13
A0A1G9FQX8,2.5.1.63
Q6F7B8,1.2.1.42
F0IUS4,3.4.24.13
Q9EXV5,3.5.2.6
Q93XR3,4.2.1.92
Q8R2W9,2.7.1.33
O94761,5.6.2.4
J9WQY6,1.8.5.1
Q8ILV1,3.1.3.16
Q3L243,1.1.99.29
Q84XL8,2.4.1.241
A0A0A0P7Q3,2.3.1.74
P14604,5.3.3.21
D6EQU8,6.2.1.16
Q9S816,3.1.4.3
P27250,1.1.1.183
Q93ZC5,5.3.99.6
Q2F7Q0,4.4.1.21
A4PHQ5,3.2.1.39
B3GEA9,2.3.1.156
Q5XA29,2.4.2.2
Q81VN7,5.4.2.10
P33557,3.2.1.8
Q56ZN0,1.1.3.15
Q6C6H1,1.4.1.2
A0A2Z5FRS0,2.1.1.117
P35497,1.1.1.14
O31662,5.3.1.23
Q6DFD1,1.14.11.2
A4I213,6.3.5.4
B7ST72,1.14.19.22
Q7MPU7,3.1.21.3
Q9W8Z8,3.2.1.18
I3RFR4,2.4.1.230
Q8LTE0,2.7.7.48
Q91W43,1.4.1.27
Q9NPD8,2.3.2.24
P28271,4.2.1.3
Q1HL00,2.1.1.280
A8R9L0,3.1.3.32
O17507,2.7.11.22
Q8YFS0,4.2.3.1
Q6VY99,2.6.1.72
D8VPP5,3.1.1.11
A2AWA9,2.3.1.23
Q5LT18,4.4.1.3
D2U8G6,2.7.8.7
A0A0B4KZX8,1.14.14.171
S4TYX4,2.3.1.39
A0A1D7YZ01,3.1.3.26
P05089,3.5.3.1
B3SGB1,7.1.1.9
D7G1G1,5.1.3.37
P71864,1.3.99.4
S5U834,3.2.1.21
P39118,2.4.1.18
O64698,1.14.19.41
L7YCT6,1.11.1.18
Q9NSE4,6.1.1.5
Q7DF71,3.1.4.58
Q5XJZ8,1.11.1.9
Q50J33,2.4.99.8
Q180W0,5.1.1.1
A4L7I9,1.11.1.9
T1RRJ3,1.16.1.1
Q0E7C4,6.2.1.63
O76519,3.4.21.4
Q9HCG7,3.2.1.45
