protein,EC
Q6GJ63,1.1.1.1
Q6GJ63,1.1.1.1
Q5HRD6,1.1.1.1
Q5HRD6,1.1.1.1
Q5HRD6,1.1.1.1
P50381,1.1.1.1
P50381,1.1.1.1
P50381,1.1.1.1
P51552,1.1.1.1
P51552,1.1.1.1
P51552,1.1.1.1
P76553,1.1.1.1
P76553,1.1.1.1
P76553,1.1.1.1
A7ZIA4,1.1.1.1
A7ZIA4,1.1.1.1
A7ZIA4,1.1.1.1
A1A835,1.1.1.1
A1A835,1.1.1.1
A1A835,1.1.1.1
B1J085,1.1.1.1
B1J085,1.1.1.1
B1J085,1.1.1.1
Q1RFI7,1.1.1.1
Q1RFI7,1.1.1.1
Q1RFI7,1.1.1.1
Q3Z550,1.1.1.1
Q3Z550,1.1.1.1
Q3Z550,1.1.1.1
N4WE73,1.1.1.1
N4WE73,1.1.1.1
N4WE73,1.1.1.1
P33010,1.1.1.1
P33010,1.1.1.1
Q6AZW2,1.1.1.2
Q6AZW2,1.1.1.2
Q6AZW2,1.1.1.2
Q04894,1.1.1.2
Q04894,1.1.1.2
Q04894,1.1.1.2
P74721,1.1.1.2
P74721,1.1.1.2
P74721,1.1.1.2
P0CH37,1.1.1.2
P0CH37,1.1.1.2
P0CH37,1.1.1.2
P9WQC5,1.1.1.2
P9WQC5,1.1.1.2
P9WQC5,1.1.1.2
Q5ZK84,1.1.1.2
Q5ZK84,1.1.1.2
Q5ZK84,1.1.1.2
Q9JII6,1.1.1.2
Q9JII6,1.1.1.2
Q9JII6,1.1.1.2
P51635,1.1.1.2
P51635,1.1.1.2
P51635,1.1.1.2
Q9UUN9,1.1.1.2
Q9UUN9,1.1.1.2
Q9UUN9,1.1.1.2
Q46856,1.1.1.2
P00561,1.1.1.3
P00561,1.1.1.3
P00561,1.1.1.3
Q9SA18,1.1.1.3
Q9SA18,1.1.1.3
Q9SA18,1.1.1.3
P49080,1.1.1.3
P49080,1.1.1.3
P49080,1.1.1.3
Q89AR4,1.1.1.3
Q89AR4,1.1.1.3
Q89AR4,1.1.1.3
P19582,1.1.1.3
P19582,1.1.1.3
P19582,1.1.1.3
Q9ZL20,1.1.1.3
Q9ZL20,1.1.1.3
Q9ZL20,1.1.1.3
P52985,1.1.1.3
P52985,1.1.1.3
P52985,1.1.1.3
P63630,1.1.1.3
P63630,1.1.1.3
P63630,1.1.1.3
P9WPX1,1.1.1.3
P9WPX1,1.1.1.3
P9WPX1,1.1.1.3
P52986,1.1.1.3
P52986,1.1.1.3
P52986,1.1.1.3
P14940,1.1.1.4
P14940,1.1.1.4
P14940,1.1.1.4
O34788,1.1.1.4
O34788,1.1.1.4
A4IP64,1.1.1.6
A4IP64,1.1.1.6
A4IP64,1.1.1.6
P0A9S6,1.1.1.6
P0A9S6,1.1.1.6
P0A9S6,1.1.1.6
P50173,1.1.1.6
P50173,1.1.1.6
P50173,1.1.1.6
Q5XIZ6,1.1.1.8
Q5XIZ6,1.1.1.8
Q5XIZ6,1.1.1.8
Q5R5V3,1.1.1.8
Q5R5V3,1.1.1.8
Q5R5V3,1.1.1.8
Q6FN96,1.1.1.8
Q6FN96,1.1.1.8
Q6FN96,1.1.1.8
P21696,1.1.1.8
P21696,1.1.1.8
P21696,1.1.1.8
Q9HGY2,1.1.1.8
Q9HGY2,1.1.1.8
Q9HGY2,1.1.1.8
Q09845,1.1.1.8
Q09845,1.1.1.8
Q09845,1.1.1.8
Q9SCX9,1.1.1.8
Q9SCX9,1.1.1.8
Q9SCX9,1.1.1.8
P52425,1.1.1.8
P52425,1.1.1.8
P52425,1.1.1.8
O97463,1.1.1.8
O97463,1.1.1.8
O97463,1.1.1.8
P21695,1.1.1.8
P21695,1.1.1.8
P21695,1.1.1.8
P13707,1.1.1.8
P13707,1.1.1.8
P13707,1.1.1.8
P08507,1.1.1.8
P08507,1.1.1.8
P08507,1.1.1.8
P90593,1.1.1.8
P90593,1.1.1.8
P90593,1.1.1.8
Q9S785,1.1.1.8
Q9S785,1.1.1.8
Q9S785,1.1.1.8
Q65X70,1.1.1.8
Q65X70,1.1.1.8
Q65X70,1.1.1.8
Q4PNS1,1.1.1.8
Q4PNS1,1.1.1.8
Q4PNS1,1.1.1.8
Q7ZA45,1.1.1.8
Q7ZA45,1.1.1.8
Q7ZA45,1.1.1.8
Q7ZA43,1.1.1.8
P35497,1.1.1.9
P35497,1.1.1.9
P35497,1.1.1.9
Q9FJ95,1.1.1.9
Q9FJ95,1.1.1.9
Q9FJ95,1.1.1.9
Q58D31,1.1.1.9
Q58D31,1.1.1.9
Q58D31,1.1.1.9
Q64442,1.1.1.9
Q64442,1.1.1.9
Q64442,1.1.1.9
P27867,1.1.1.9
P27867,1.1.1.9
P27867,1.1.1.9
A1CFY8,1.1.1.9
A1CFY8,1.1.1.9
A1CFY8,1.1.1.9
A2QY54,1.1.1.9
A2QY54,1.1.1.9
A2QY54,1.1.1.9
Q0CWQ2,1.1.1.9
Q0CWQ2,1.1.1.9
Q0CWQ2,1.1.1.9
P22144,1.1.1.9
P22144,1.1.1.9
P22144,1.1.1.9
Q8U7Y1,1.1.1.9
Q8U7Y1,1.1.1.9
Q8U7Y1,1.1.1.9
Q92MT4,1.1.1.9
Q1JP75,1.1.1.10
Q1JP75,1.1.1.10
Q1JP75,1.1.1.10
Q7Z4W1,1.1.1.10
Q7Z4W1,1.1.1.10
Q7Z4W1,1.1.1.10
Q920P0,1.1.1.10
Q920P0,1.1.1.10
Q920P0,1.1.1.10
G3YG17,1.1.1.10
O52720,1.1.1.11
O52720,1.1.1.11
O52720,1.1.1.11
A2QAC0,1.1.1.12
A2QAC0,1.1.1.12
A2QAC0,1.1.1.12
Q7SI09,1.1.1.12
Q7SI09,1.1.1.12
Q7SI09,1.1.1.12
Q9Z9U1,1.1.1.14
Q9Z9U1,1.1.1.14
Q9Z9U1,1.1.1.14
Q58D31,1.1.1.14
Q58D31,1.1.1.14
Q58D31,1.1.1.14
Q64442,1.1.1.14
Q64442,1.1.1.14
Q64442,1.1.1.14
P27867,1.1.1.14
P27867,1.1.1.14
P27867,1.1.1.14
Q70FD1,1.1.1.15
A9CES4,1.1.1.16
A9CES4,1.1.1.16
A9CES4,1.1.1.16
Q5E1G4,1.1.1.17
Q5E1G4,1.1.1.17
Q5E1G4,1.1.1.17
B0BRV5,1.1.1.17
B0BRV5,1.1.1.17
B0BRV5,1.1.1.17
B6EN80,1.1.1.17
B6EN80,1.1.1.17
B6EN80,1.1.1.17
Q6UQ76,1.1.1.17
Q6UQ76,1.1.1.17
Q6UQ76,1.1.1.17
A1C6B4,1.1.1.17
A1C6B4,1.1.1.17
A1C6B4,1.1.1.17
A2QD49,1.1.1.17
A2QD49,1.1.1.17
A2QD49,1.1.1.17
Q0CXS6,1.1.1.17
Q0CXS6,1.1.1.17
Q0CXS6,1.1.1.17
P42957,1.1.1.17
P42957,1.1.1.17
P42957,1.1.1.17
B8D8D5,1.1.1.17
B8D8D5,1.1.1.17
B8D8D5,1.1.1.17
B8D892,1.1.1.17
B8D892,1.1.1.17
B8D892,1.1.1.17
Q2H2D7,1.1.1.17
Q2H2D7,1.1.1.17
Q2H2D7,1.1.1.17
A7MNE5,1.1.1.17
A7MNE5,1.1.1.17
A7MNE5,1.1.1.17
B7MFG0,1.1.1.17
B7MFG0,1.1.1.17
B7MFG0,1.1.1.17
B5YW99,1.1.1.17
B5YW99,1.1.1.17
B5YW99,1.1.1.17
B7M3M7,1.1.1.17
B7M3M7,1.1.1.17
B7M3M7,1.1.1.17
A8A660,1.1.1.17
A8A660,1.1.1.17
A8A660,1.1.1.17
P09424,1.1.1.17
P09424,1.1.1.17
P09424,1.1.1.17
B1LK35,1.1.1.17
B1LK35,1.1.1.17
B1LK35,1.1.1.17
B2VCH7,1.1.1.17
B2VCH7,1.1.1.17
B2VCH7,1.1.1.17
Q5KYK6,1.1.1.17
Q5KYK6,1.1.1.17
Q5KYK6,1.1.1.17
B5XMV6,1.1.1.17
B5XMV6,1.1.1.17
B5XMV6,1.1.1.17
B3WBT3,1.1.1.17
B3WBT3,1.1.1.17
B3WBT3,1.1.1.17
Q033G3,1.1.1.17
Q033G3,1.1.1.17
Q033G3,1.1.1.17
Q6AHH7,1.1.1.17
Q6AHH7,1.1.1.17
Q6AHH7,1.1.1.17
L7IBL2,1.1.1.17
L7IBL2,1.1.1.17
L7IBL2,1.1.1.17
P78008,1.1.1.17
P78008,1.1.1.17
P78008,1.1.1.17
Q7SA44,1.1.1.17
Q7SA44,1.1.1.17
Q7SA44,1.1.1.17
Q874B3,1.1.1.17
Q874B3,1.1.1.17
Q874B3,1.1.1.17
C6DII4,1.1.1.17
C6DII4,1.1.1.17
C6DII4,1.1.1.17
Q6LKE5,1.1.1.17
Q6LKE5,1.1.1.17
Q6LKE5,1.1.1.17
A1SR48,1.1.1.17
A1SR48,1.1.1.17
A1SR48,1.1.1.17
B5FLG3,1.1.1.17
B5FLG3,1.1.1.17
B5FLG3,1.1.1.17
B4T977,1.1.1.17
B4T977,1.1.1.17
B4T977,1.1.1.17
A9MVI4,1.1.1.17
A9MVI4,1.1.1.17
A9MVI4,1.1.1.17
Q8Z2E0,1.1.1.17
Q8Z2E0,1.1.1.17
Q8Z2E0,1.1.1.17
A8G7U3,1.1.1.17
A8G7U3,1.1.1.17
A8G7U3,1.1.1.17
Q83PQ0,1.1.1.17
Q83PQ0,1.1.1.17
Q83PQ0,1.1.1.17
A7X522,1.1.1.17
A7X522,1.1.1.17
A7X522,1.1.1.17
Q2FW96,1.1.1.17
Q2FW96,1.1.1.17
Q2FW96,1.1.1.17
Q9RL68,1.1.1.17
Q9RL68,1.1.1.17
Q9RL68,1.1.1.17
P99140,1.1.1.17
P99140,1.1.1.17
P99140,1.1.1.17
A8YYC5,1.1.1.17
A8YYC5,1.1.1.17
A8YYC5,1.1.1.17
Q4L9Y4,1.1.1.17
Q4L9Y4,1.1.1.17
Q4L9Y4,1.1.1.17
Q04M75,1.1.1.17
Q04M75,1.1.1.17
Q04M75,1.1.1.17
B1I9J3,1.1.1.17
B1I9J3,1.1.1.17
B1I9J3,1.1.1.17
B2ILU3,1.1.1.17
B2ILU3,1.1.1.17
B2ILU3,1.1.1.17
B6QP49,1.1.1.17
B6QP49,1.1.1.17
B6QP49,1.1.1.17
C4L8P4,1.1.1.17
C4L8P4,1.1.1.17
C4L8P4,1.1.1.17
Q9KKQ6,1.1.1.17
Q9KKQ6,1.1.1.17
Q9KKQ6,1.1.1.17
Q8DEF5,1.1.1.17
Q8DEF5,1.1.1.17
Q8DEF5,1.1.1.17
A7FP92,1.1.1.17
A7FP92,1.1.1.17
A7FP92,1.1.1.17
Q8Z9X0,1.1.1.17
Q8Z9X0,1.1.1.17
Q8Z9X0,1.1.1.17
A4TGP0,1.1.1.17
A4TGP0,1.1.1.17
A4TGP0,1.1.1.17
A1T235,1.1.1.18
A1T235,1.1.1.18
A1T235,1.1.1.18
A1TC97,1.1.1.18
A1TC97,1.1.1.18
A1TC97,1.1.1.18
A4FIQ1,1.1.1.18
A4FIQ1,1.1.1.18
A4FIQ1,1.1.1.18
A5G0Y2,1.1.1.18
A5G0Y2,1.1.1.18
A5G0Y2,1.1.1.18
Q9KAH1,1.1.1.18
Q9KAH1,1.1.1.18
Q9KAH1,1.1.1.18
Q65D06,1.1.1.18
Q65D06,1.1.1.18
Q65D06,1.1.1.18
C5BYN4,1.1.1.18
C5BYN4,1.1.1.18
C5BYN4,1.1.1.18
B1K045,1.1.1.18
B1K045,1.1.1.18
B1K045,1.1.1.18
Q39H98,1.1.1.18
Q39H98,1.1.1.18
Q39H98,1.1.1.18
A3PRX7,1.1.1.18
A3PRX7,1.1.1.18
A3PRX7,1.1.1.18
A4QAF9,1.1.1.18
A4QAF9,1.1.1.18
A4QAF9,1.1.1.18
B2VJP4,1.1.1.18
B2VJP4,1.1.1.18
B2VJP4,1.1.1.18
B5Y2S5,1.1.1.18
B5Y2S5,1.1.1.18
B5Y2S5,1.1.1.18
Q88S38,1.1.1.18
Q88S38,1.1.1.18
Q88S38,1.1.1.18
A0R191,1.1.1.18
A0R191,1.1.1.18
A0R191,1.1.1.18
B8HDD2,1.1.1.18
B8HDD2,1.1.1.18
B8HDD2,1.1.1.18
Q87ZD5,1.1.1.18
Q87ZD5,1.1.1.18
Q87ZD5,1.1.1.18
A9WKW2,1.1.1.18
A9WKW2,1.1.1.18
A9WKW2,1.1.1.18
Q1AV95,1.1.1.18
Q1AV95,1.1.1.18
Q1AV95,1.1.1.18
Q8ZK57,1.1.1.18
Q8ZK57,1.1.1.18
Q8ZK57,1.1.1.18
Q82NQ8,1.1.1.18
Q82NQ8,1.1.1.18
Q82NQ8,1.1.1.18
A1JSK7,1.1.1.18
A1JSK7,1.1.1.18
Q3ZCJ2,1.1.1.19
Q3ZCJ2,1.1.1.19
Q3ZCJ2,1.1.1.19
Q9JII6,1.1.1.19
Q9JII6,1.1.1.19
Q9JII6,1.1.1.19
P51635,1.1.1.19
Q3ZCJ2,1.1.1.20
Q3ZCJ2,1.1.1.20
Q3ZCJ2,1.1.1.20
Q9JII6,1.1.1.20
Q9JII6,1.1.1.20
Q9JII6,1.1.1.20
P51635,1.1.1.20
P21300,1.1.1.21
P21300,1.1.1.21
P21300,1.1.1.21
P45377,1.1.1.21
P45377,1.1.1.21
P45377,1.1.1.21
P23901,1.1.1.21
P23901,1.1.1.21
P23901,1.1.1.21
P80276,1.1.1.21
P80276,1.1.1.21
P80276,1.1.1.21
Q6IMN8,1.1.1.21
Q6IMN8,1.1.1.21
Q6IMN8,1.1.1.21
P38715,1.1.1.21
D4GYH5,1.1.1.22
D4GYH5,1.1.1.22
D4GYH5,1.1.1.22
O33952,1.1.1.22
O33952,1.1.1.22
O33952,1.1.1.22
Q7DBF9,1.1.1.22
Q7DBF9,1.1.1.22
Q7DBF9,1.1.1.22
O86422,1.1.1.22
O86422,1.1.1.22
O86422,1.1.1.22
Q92GB1,1.1.1.22
Q92GB1,1.1.1.22
Q92GB1,1.1.1.22
Q68VX0,1.1.1.22
Q68VX0,1.1.1.22
Q68VX0,1.1.1.22
Q57346,1.1.1.22
Q57346,1.1.1.22
Q57346,1.1.1.22
Q5X9A8,1.1.1.22
Q5X9A8,1.1.1.22
Q5X9A8,1.1.1.22
P0C0F4,1.1.1.22
P0C0F4,1.1.1.22
P0C0F4,1.1.1.22
Q96558,1.1.1.22
Q96558,1.1.1.22
Q96558,1.1.1.22
Q9LF33,1.1.1.22
Q9LF33,1.1.1.22
Q9LF33,1.1.1.22
Q2QS14,1.1.1.22
Q2QS14,1.1.1.22
Q2QS14,1.1.1.22
Q19905,1.1.1.22
Q19905,1.1.1.22
Q19905,1.1.1.22
O60701,1.1.1.22
O60701,1.1.1.22
O60701,1.1.1.22
O70199,1.1.1.22
O70199,1.1.1.22
O70199,1.1.1.22
O74712,1.1.1.23
O74712,1.1.1.23
O74712,1.1.1.23
P45353,1.1.1.23
P45353,1.1.1.23
P45353,1.1.1.23
Q9C5U8,1.1.1.23
Q9C5U8,1.1.1.23
Q9C5U8,1.1.1.23
Q3MEV7,1.1.1.23
Q3MEV7,1.1.1.23
Q3MEV7,1.1.1.23
Q6FEC8,1.1.1.23
Q6FEC8,1.1.1.23
Q6FEC8,1.1.1.23
Q5WDH8,1.1.1.23
Q5WDH8,1.1.1.23
Q5WDH8,1.1.1.23
O30027,1.1.1.23
O30027,1.1.1.23
O30027,1.1.1.23
Q81T62,1.1.1.23
Q81T62,1.1.1.23
Q81T62,1.1.1.23
Q63DX2,1.1.1.23
Q63DX2,1.1.1.23
Q63DX2,1.1.1.23
Q6HLE7,1.1.1.23
Q6HLE7,1.1.1.23
Q6HLE7,1.1.1.23
Q8ABA9,1.1.1.23
Q8ABA9,1.1.1.23
Q8ABA9,1.1.1.23
Q492K3,1.1.1.23
Q492K3,1.1.1.23
Q492K3,1.1.1.23
Q7VSZ1,1.1.1.23
Q7VSZ1,1.1.1.23
Q7VSZ1,1.1.1.23
Q2YPB8,1.1.1.23
Q2YPB8,1.1.1.23
Q2YPB8,1.1.1.23
Q8G2R2,1.1.1.23
Q8G2R2,1.1.1.23
Q8G2R2,1.1.1.23
P59398,1.1.1.23
P59398,1.1.1.23
P59398,1.1.1.23
Q9RQ85,1.1.1.23
Q9RQ85,1.1.1.23
Q9RQ85,1.1.1.23
Q62GD9,1.1.1.23
Q62GD9,1.1.1.23
Q62GD9,1.1.1.23
Q8R882,1.1.1.23
Q8R882,1.1.1.23
Q8R882,1.1.1.23
Q3AD53,1.1.1.23
Q3AD53,1.1.1.23
Q3AD53,1.1.1.23
Q3AR25,1.1.1.23
Q3AR25,1.1.1.23
Q3AR25,1.1.1.23
Q7P0F6,1.1.1.23
Q7P0F6,1.1.1.23
Q7P0F6,1.1.1.23
P60858,1.1.1.23
P60858,1.1.1.23
P60858,1.1.1.23
Q4JW59,1.1.1.23
Q4JW59,1.1.1.23
Q4JW59,1.1.1.23
Q47AL5,1.1.1.23
Q47AL5,1.1.1.23
Q47AL5,1.1.1.23
Q9RSI4,1.1.1.23
Q9RSI4,1.1.1.23
Q9RSI4,1.1.1.23
Q8X8T3,1.1.1.23
Q8X8T3,1.1.1.23
Q8X8T3,1.1.1.23
Q5KVC6,1.1.1.23
Q5KVC6,1.1.1.23
Q5KVC6,1.1.1.23
Q7NL02,1.1.1.23
Q7NL02,1.1.1.23
Q7NL02,1.1.1.23
P44001,1.1.1.23
P44001,1.1.1.23
P44001,1.1.1.23
Q7VFF5,1.1.1.23
Q7VFF5,1.1.1.23
Q7VFF5,1.1.1.23
Q5QWP8,1.1.1.23
Q5QWP8,1.1.1.23
Q5QWP8,1.1.1.23
Q5X5W9,1.1.1.23
Q5X5W9,1.1.1.23
Q5X5W9,1.1.1.23
Q6AE76,1.1.1.23
Q6AE76,1.1.1.23
Q6AE76,1.1.1.23
P62458,1.1.1.23
P62458,1.1.1.23
P62458,1.1.1.23
Q722Y3,1.1.1.23
Q722Y3,1.1.1.23
Q722Y3,1.1.1.23
Q8TL41,1.1.1.23
Q8TL41,1.1.1.23
Q8TL41,1.1.1.23
Q58851,1.1.1.23
Q58851,1.1.1.23
Q58851,1.1.1.23
P60862,1.1.1.23
P60862,1.1.1.23
P60862,1.1.1.23
P63951,1.1.1.23
P63951,1.1.1.23
P63951,1.1.1.23
P28736,1.1.1.23
P28736,1.1.1.23
P28736,1.1.1.23
Q3IQR5,1.1.1.23
Q3IQR5,1.1.1.23
Q3IQR5,1.1.1.23
Q9JYH8,1.1.1.23
Q9JYH8,1.1.1.23
Q9JYH8,1.1.1.23
Q3J7H1,1.1.1.23
Q3J7H1,1.1.1.23
Q3J7H1,1.1.1.23
Q8ESR8,1.1.1.23
Q8ESR8,1.1.1.23
Q8ESR8,1.1.1.23
Q7U8K7,1.1.1.23
Q7U8K7,1.1.1.23
Q7U8K7,1.1.1.23
Q4FNE2,1.1.1.23
Q4FNE2,1.1.1.23
Q4FNE2,1.1.1.23
Q318Q4,1.1.1.23
Q318Q4,1.1.1.23
Q318Q4,1.1.1.23
Q7V004,1.1.1.23
Q7V004,1.1.1.23
Q7V004,1.1.1.23
Q9HVW9,1.1.1.23
Q9HVW9,1.1.1.23
Q9HVW9,1.1.1.23
P59400,1.1.1.23
P59400,1.1.1.23
P59400,1.1.1.23
Q4ZNV9,1.1.1.23
Q4ZNV9,1.1.1.23
Q4ZNV9,1.1.1.23
O59626,1.1.1.23
O59626,1.1.1.23
O59626,1.1.1.23
Q92S26,1.1.1.23
Q92S26,1.1.1.23
Q92S26,1.1.1.23
Q2RQM7,1.1.1.23
Q2RQM7,1.1.1.23
Q2RQM7,1.1.1.23
Q57MS3,1.1.1.23
Q57MS3,1.1.1.23
Q57MS3,1.1.1.23
Q8Z5K0,1.1.1.23
Q8Z5K0,1.1.1.23
Q8Z5K0,1.1.1.23
Q8EFB1,1.1.1.23
Q8EFB1,1.1.1.23
Q8EFB1,1.1.1.23
P59401,1.1.1.23
P59401,1.1.1.23
P59401,1.1.1.23
Q5HCL9,1.1.1.23
Q5HCL9,1.1.1.23
Q5HCL9,1.1.1.23
Q6GDC6,1.1.1.23
Q6GDC6,1.1.1.23
Q6GDC6,1.1.1.23
Q5HKN8,1.1.1.23
Q5HKN8,1.1.1.23
Q5HKN8,1.1.1.23
Q82AA6,1.1.1.23
Q82AA6,1.1.1.23
Q82AA6,1.1.1.23
Q4J8I8,1.1.1.23
Q4J8I8,1.1.1.23
Q4J8I8,1.1.1.23
Q67KH6,1.1.1.23
Q67KH6,1.1.1.23
Q67KH6,1.1.1.23
P73058,1.1.1.23
P73058,1.1.1.23
P73058,1.1.1.23
Q9X0D1,1.1.1.23
Q9X0D1,1.1.1.23
Q9X0D1,1.1.1.23
Q8DGR2,1.1.1.23
Q8DGR2,1.1.1.23
Q8DGR2,1.1.1.23
Q9F854,1.1.1.23
Q9F854,1.1.1.23
Q9F854,1.1.1.23
Q7MLS6,1.1.1.23
Q7MLS6,1.1.1.23
Q7MLS6,1.1.1.23
Q3BUF7,1.1.1.23
Q3BUF7,1.1.1.23
Q3BUF7,1.1.1.23
Q2P3K3,1.1.1.23
Q2P3K3,1.1.1.23
Q2P3K3,1.1.1.23
Q87C29,1.1.1.23
Q87C29,1.1.1.23
Q87C29,1.1.1.23
Q9RH05,1.1.1.23
Q8FSF0,1.1.1.24
Q8FSF0,1.1.1.24
Q8FSF0,1.1.1.24
P25415,1.1.1.24
P25415,1.1.1.24
A5H2Q8,1.1.1.25
A5H2Q8,1.1.1.25
A5H2Q8,1.1.1.25
B6QCA7,1.1.1.25
B6QCA7,1.1.1.25
B6QCA7,1.1.1.25
A6R8Q8,1.1.1.25
A6R8Q8,1.1.1.25
A6R8Q8,1.1.1.25
Q74ZZ1,1.1.1.25
Q74ZZ1,1.1.1.25
Q74ZZ1,1.1.1.25
B8N4Q9,1.1.1.25
B8N4Q9,1.1.1.25
B8N4Q9,1.1.1.25
Q0D0F3,1.1.1.25
Q0D0F3,1.1.1.25
Q0D0F3,1.1.1.25
B9WFG1,1.1.1.25
B9WFG1,1.1.1.25
B9WFG1,1.1.1.25
C4Y9D5,1.1.1.25
C4Y9D5,1.1.1.25
C4Y9D5,1.1.1.25
P0CM23,1.1.1.25
P0CM23,1.1.1.25
