EC,reaction
1.1.1.168,(R)-pantolactone + NADP+ = 2-dehydropantolactone + NADPH + H+ 
1.1.1.169,(R)-pantoate + NADP+ = 2-dehydropantoate + NADPH + H+
1.1.1.17,D-mannitol 1-phosphate + NAD+ = D-fructose 6-phosphate + NADH + H+ 
1.1.1.170,a 3beta-hydroxysteroid-4alpha-carboxylate + NAD(P)+ = a 3-oxosteroid +  CO2 + NAD(P)H 
1.1.1.172,2-hydroxyadipate + NAD+ = 2-oxoadipate + NADH + H+ 
1.1.1.173,"L-rhamnofuranose + NAD+ = L-rhamno-1,4-lactone + NADH + H+"
1.1.1.174,"trans-cyclohexane-1,2-diol + NAD+ = 2-hydroxycyclohexan-1-one + NADH +  H+ "
1.1.1.175,D-xylose + NAD+ = D-xylonolactone + NADH + H+ 
1.1.1.176,"cholate + NADP+ = 3alpha,7alpha-dihydroxy-12-oxo-5beta-cholan-24-oate +  NADPH + H+ "
1.1.1.177,sn-glycerol 3-phosphate + NADP+ = D-glyceraldehyde 3-phosphate + NADPH  + H+ 
1.1.1.178,"(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA + NAD+ = 2-methylacetoacetyl-CoA  + NADH + H+"
1.1.1.179,"D-xylose + NADP+ = D-xylono-1,5-lactone + NADPH + H+"
1.1.1.18,"myo-inositol + NAD+ = 2,4,6/3,5-pentahydroxycyclohexanone + NADH + H+ "
1.1.1.181,"cholest-5-ene-3beta,7alpha-diol + NAD+ =  7alpha-hydroxycholest-4-en-3-one + NADH + H+ "
1.1.1.183,geraniol + NADP+ = geranial + NADPH + H+
1.1.1.184,R-CHOH-R' + NADP+ = R-CO-R' + NADPH + H+
1.1.1.185,an L-glycol + NAD(P)+ = a 2-hydroxycarbonyl compound + NAD(P)H + H+ 
1.1.1.186,dTDP-D-galactose + 2 NADP+ + H2O = dTDP-D-galacturonate + 2 NADPH + 2 H+ 
1.1.1.187,GDP-alpha-D-rhamnose + NAD(P)+ = GDP-4-dehydro-alpha-D-rhamnose +  NAD(P)H + H+ 
1.1.1.188,"(5Z,13E)-(15S)-9alpha,11alpha,15-trihydroxyprosta-5,13-dienoate + NADP+  = (5Z,13E)-(15S)-9alpha,15-dihydroxy-11-oxoprosta-5,13-dienoate + NADPH  + H+"
1.1.1.189,"(5Z,13E)-(15S)-9alpha,11alpha,15-trihydroxyprosta-5,13-dienoate + NADP+  = (5Z,13E)-(15S)-11alpha,15-dihydroxy-9-oxoprosta-5,13-dienoate + NADPH  + H+"
1.1.1.19,L-gulonate + NADP+ = D-glucuronate + NADPH + H+ 
1.1.1.190,(indol-3-yl)ethanol + NAD+ = (indol-3-yl)acetaldehyde + NADH + H+ 
1.1.1.191,(indol-3-yl)ethanol + NADP+ = (indol-3-yl)acetaldehyde + NADPH + H+ 
1.1.1.192,a long-chain alcohol + 2 NAD+ + H2O = a long-chain carboxylate + 2 NADH  + 2 H+ 
1.1.1.193,5-amino-6-(5-phospho-D-ribitylamino)uracil + NADP+ =  5-amino-6-(5-phospho-D-ribosylamino)uracil + NADPH + H+ 
1.1.1.194,coniferyl alcohol + NADP+ = coniferyl aldehyde + NADPH + H+ 
1.1.1.195,cinnamyl alcohol + NADP+ = cinnamaldehyde + NADPH + H+
1.1.1.196,"(5Z,13E)-(15S)-9alpha,15-dihydroxy-11-oxoprosta-5,13-dienoate + NADP+ =  (5Z,13E)-9alpha-hydroxy-11,15-dioxoprosta-5,13-dienoate + NADPH + H+ "
1.1.1.197,"(13E)-(15S)-11alpha,15-dihydroxy-9-oxoprost-13-enoate + NADP+ =  (13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate + NADPH + H+ "
1.1.1.198,(+)-borneol + NAD+ = (+)-camphor + NADH + H+ 
1.1.1.199,"(6R)-2-acetyl-6-(3-acetyl-2,4  6-trihydroxy-5-methylphenyl)-3-hydroxy-6-methyl-2,4-cyclohexadien-1-one  + NAD+ = (S)-usnate + NADH + H+ "
1.1.1.2,a primary alcohol + NADP+ = an aldehyde + NADPH + H+
1.1.1.20,"L-gulono-1,4-lactone + NADP+ = D-glucurono-3,6-lactone + NADPH + H+ "
1.1.1.200,D-sorbitol 6-phosphate + NADP+ = D-glucose 6-phosphate + NADPH + H+ 
1.1.1.201,a 7beta-hydroxysteroid + NADP+ = a 7-oxosteroid + NADPH + H+ 
1.1.1.202,"propane-1,3-diol + NAD+ = 3-hydroxypropanal + NADH + H+ "
1.1.1.203,"beta-D-galacturonate + NAD+ = D-galactaro-1,5-lactone + NADH + H+"
1.1.1.203,"beta-D-glucuronate + NAD+ = D-glucaro-1,5-lactone + NADH + H+ "
1.1.1.205,IMP + NAD+ + H2O = XMP + NADH + H+
1.1.1.206,tropine + NADP+ = tropinone + NADPH + H+ 
1.1.1.207,(-)-menthol + NADP+ = (-)-menthone + NADPH + H+ 
1.1.1.208,(+)-neomenthol + NADP+ = (-)-menthone + NADPH + H+ 
1.1.1.209,"androsterone + NAD(P)+ = 5alpha-androstane-3,17-dione + NAD(P)H + H+ "
1.1.1.21,alditol + NAD(P)+ = aldose + NAD(P)H + H+
1.1.1.210,"5alpha-androstan-3beta,17beta-diol + NADP+ =  17beta-hydroxy-5alpha-androstan-3-one + NADPH + H+"
1.1.1.211,a long-chain (S)-3-hydroxyacyl-CoA + NAD+ = a long-chain 3-oxoacyl-CoA  + NADH + H+ 
1.1.1.212,a (3R)-3-hydroxyacyl-[acyl-carrier protein] + NAD+ = a  3-oxoacyl-[acyl-carrier protein] + NADH + H+ 
1.1.1.213,a 3alpha-hydroxysteroid + NAD(P)+ = a 3-oxosteroid + NAD(P)H + H+
1.1.1.214,(R)-pantolactone + NADP+ = 2-dehydropantolactone + NADPH + H+ 
1.1.1.215,D-gluconate + NADP+ = 2-dehydro-D-gluconate + NADPH + H+ 
1.1.1.216,"(2E,6E)-farnesol + NADP+ = (2E,6E)-farnesal + NADPH + H+ "
1.1.1.217,"benzyl (2R,3S)-2-methyl-3-hydroxybutanoate + NADP+ = benzyl  2-methyl-3-oxobutanoate + NADPH + H+ "
1.1.1.218,morphine + NAD(P)+ = morphinone + NAD(P)H + H+
1.1.1.219,"a (2R,3S,4S)-leucoanthocyanidin + NADP+ = a (2R,3R)-dihydroflavonol +  NADPH + H+ "
1.1.1.22,UDP-alpha-D-glucose + 2 NAD+ + H2O = UDP-alpha-D-glucuronate + 2 NADH +  2 H+
1.1.1.220,"6-lactoyl-5,6,7,8-tetrahydropterin + NADP+ = 6-pyruvoyltetrahydropterin  + NADPH + H+ "
1.1.1.221,"(6S,9R)-6-hydroxy-3-oxo-alpha-ionol + NAD+ =  (6S)-6-hydroxy-3-oxo-alpha-ionone + NADH + H+ "
1.1.1.223,(-)-trans-isopiperitenol + NAD+ = (-)-isopiperitenone + NADH + H+ 
1.1.1.224,D-mannitol 1-phosphate + NADP+ = D-mannose 6-phosphate + NADPH + H+ 
1.1.1.225,chlordecone alcohol + NADP+ = chlordecone + NADPH + H+ 
1.1.1.226,trans-4-hydroxycyclohexanecarboxylate + NAD+ =  4-oxocyclohexanecarboxylate + NADH + H+ 
1.1.1.227,(-)-borneol + NAD+ = (-)-camphor + NADH + H+ 
1.1.1.228,(+)-cis-sabinol + NAD+ = (+)-sabinone + NADH + H+ 
1.1.1.229,"diethyl (2R,3R)-2-methyl-3-hydroxysuccinate + NADP+ = diethyl  2-methyl-3-oxosuccinate + NADPH + H+ "
1.1.1.23,L-histidinol + 2 NAD+ + H2O = L-histidine + 2 NADH + 3 H+
1.1.1.230,3alpha-hydroxyglycyrrhetinate + NADP+ = 3-oxoglycyrrhetinate + NADPH +  H+ 
1.1.1.231,"(5Z,13E)-(15S)-6,9alpha-epoxy-11alpha,15-dihydroxyprosta-5,13-dienoate  + NADP+ =  (5Z,13E)-6,9alpha-epoxy-11alpha-hydroxy-15-oxoprosta-5,13-dienoate +  NADPH + H+"
1.1.1.232,"(15S)-15-hydroxy-5,8,11-cis-13-trans-icosatetraenoate + NAD(P)+ =  15-oxo-5,8,11-cis-13-trans-icosatetraenoate + NAD(P)H + H+ "
1.1.1.233,N-acyl-D-mannosamine + NAD+ = N-acyl-D-mannosaminolactone + NADH + H+ 
1.1.1.234,(2S)-flavan-4-ol + NADP+ = (2S)-flavanone + NADPH + H+
1.1.1.235,coformycin + NADP+ = 8-oxocoformycin + NADPH + H+
1.1.1.236,pseudotropine + NADP+ = tropinone + NADPH + H+ 
1.1.1.237,(R)-3-(4-hydroxyphenyl)lactate + NAD(P)+ = 3-(4-hydroxyphenyl)pyruvate  + NAD(P)H + H+
1.1.1.237,"(R)-3-(3,4-dihydroxyphenyl)lactate + NAD(P)+ =  3-(3,4-dihydroxyphenyl)pyruvate + NAD(P)H + H+ "
1.1.1.238,"3alpha,7alpha,12beta-trihydroxy-5beta-cholan-24-oate + NADP+ =  3alpha,7alpha-dihydroxy-12-oxo-5beta-cholan-24-oate + NADPH + H+ "
1.1.1.239,testosterone + NAD+ = androstenedione + NADH + H+
1.1.1.24,L-quinate + NAD+ = 3-dehydroquinate + NADH + H+ 
1.1.1.240,N-acetyl-alpha-D-glucosamine + NAD+ = N-acetyl-D-glucosaminate + NADH +  H+ 
1.1.1.241,6-endo-hydroxycineole + NAD+ = 6-oxocineole + NADH + H+ 
1.1.1.243,(-)-trans-carveol + NADP+ = (-)-carvone + NADPH + H+
1.1.1.244,methanol + NAD+ = formaldehyde + NADH + H+
1.1.1.245,cyclohexanol + NAD+ = cyclohexanone + NADH + H+ 
1.1.1.247,codeine + NADP+ = codeinone + NADPH + H+ 
1.1.1.248,salutaridinol + NADP+ = salutaridine + NADPH + H+
1.1.1.25,shikimate + NADP+ = 3-dehydroshikimate + NADPH + H+
1.1.1.250,D-arabinitol + NAD+ = D-ribulose + NADH + H+
1.1.1.251,galactitol 1-phosphate + NAD+ = D-tagatose 6-phosphate + NADH + H+ 
1.1.1.252,"scytalone + NADP+ = 1,3,6,8-tetrahydroxynaphthalene + NADPH + H+"
1.1.1.254,(S)-carnitine + NAD+ = 3-dehydrocarnitine + NADH + H+
1.1.1.255,D-mannitol + NAD+ = D-mannose + NADH + H+ 
1.1.1.256,fluoren-9-ol + NAD(P)+ = fluoren-9-one + NAD(P)H + H+ 
1.1.1.257,4-(hydroxymethyl)benzenesulfonate + NAD+ = 4-formylbenzenesulfonate +  NADH + H+ 
1.1.1.258,6-hydroxyhexanoate + NAD+ = 6-oxohexanoate + NADH + H+ 
1.1.1.259,3-hydroxypimeloyl-CoA + NAD+ = 3-oxopimeloyl-CoA + NADH + H+
1.1.1.26,glycolate + NAD+ = glyoxylate + NADH + H+
1.1.1.260,sulcatol + NAD+ = sulcatone + NADH + H+ 
1.1.1.261,sn-glycerol 1-phosphate + NAD(P)+ = glycerone phosphate + NAD(P)H + H+ 
1.1.1.262,4-phosphooxy-L-threonine + NAD+ = 3-amino-2-oxopropyl phosphate + CO2 +  NADH + H+
1.1.1.263,"1,5-anhydro-D-glucitol + NADP+ = 1,5-anhydro-D-fructose + NADPH + H+ "
1.1.1.264,L-idonate + NAD(P)+ = 5-dehydro-D-gluconate + NAD(P)H + H+ 
1.1.1.265,3-methylbutanol + NAD(P)+ = 3-methylbutanal + NAD(P)H + H+ 
1.1.1.266,dTDP-alpha-D-fucopyranose + NAD(P)+ =  dTDP-4-dehydro-6-deoxy-alpha-D-glucose + NAD(P)H + H+ 
1.1.1.267,2-C-methyl-D-erythritol 4-phosphate + NADP+ = 1-deoxy-D-xylulose  5-phosphate + NADPH + H+
1.1.1.268,2-(R)-hydroxypropyl-CoM + NAD+ = 2-oxopropyl-CoM + NADH + H+
1.1.1.269,(2S)-2-hydroxypropyl-CoM + NAD+ = 2-oxopropyl-CoM + NADH + H+
1.1.1.27,(S)-lactate + NAD+ = pyruvate + NADH + H+
1.1.1.270,a 3beta-hydroxysteroid + NADP+ = a 3-oxosteroid + NADPH + H+
1.1.1.271,GDP-beta-L-fucose + NADP+ = GDP-4-dehydro-alpha-D-rhamnose + NADPH + H+ 
1.1.1.272,an (R)-2-hydroxycarboxylate + NADP+ = a 2-oxocarboxylate + NADPH + H+ 
1.1.1.273,10-deoxysarpagine + NADP+ = vellosimine + NADPH + H+ 
1.1.1.274,"2-dehydro-D-gluconate + NADP+ = 2,5-didehydro-D-gluconate + NADPH + H+ "
1.1.1.275,(+)-trans-carveol + NAD+ = (+)-(S)-carvone + NADH + H+ 
1.1.1.276,L-serine + NADP+ = 2-aminoacetaldehyde + CO2 + NADPH + H+
1.1.1.276,L-serine + NADP+ = 2-aminomalonate semialdehyde + NADPH + H+
1.1.1.276,2-aminomalonate semialdehyde = 2-aminoacetaldehyde + CO2 
1.1.1.277,"3beta-hydroxy-5beta-pregnane-20-one + NADP+ = 5beta-pregnan-3,20-dione  + NADPH + H+ "
1.1.1.278,"3beta-hydroxy-5alpha-pregnane-20-one + NADP+ =  5alpha-pregnan-3,20-dione + NADPH + H+ "
1.1.1.279,ethyl (R)-3-hydroxyhexanoate + NADP+ = ethyl 3-oxohexanoate + NADPH + H+ 
1.1.1.28,(R)-lactate + NAD+ = pyruvate + NADH + H+
1.1.1.280,ethyl (S)-3-hydroxyhexanoate + NADP+ = ethyl 3-oxohexanoate + NADPH + H+ 
1.1.1.281,GDP-alpha-D-rhamnose + NAD(P)+ = GDP-4-dehydro-alpha-D-rhamnose +  NAD(P)H + H+ 
1.1.1.282,L-quinate + NAD(P)+ = 3-dehydroquinate + NAD(P)H + H+
1.1.1.282,shikimate + NAD(P)+ = 3-dehydroshikimate + NAD(P)H + H+
1.1.1.283,(S)-lactaldehyde + NADP+ = 2-oxopropanal + NADPH + H+
1.1.1.284,S-(hydroxymethyl)glutathione + NAD(P)+ = S-formylglutathione + NAD(P)H  + H+
1.1.1.285,2'-deoxymugineic acid + NAD(P)+ = 3''-deamino-3''-oxonicotianamine +  NAD(P)H + H+ 
1.1.1.286,isocitrate + NAD+ = 2-oxoglutarate + CO2 + NADH
1.1.1.286,"(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate + NAD+ = 2-oxoadipate +  CO2 + NADH + H+"
1.1.1.287,D-arabinitol + NADP+ = D-xylulose + NADPH + H+
1.1.1.287,D-arabinitol + NADP+ = D-ribulose + NADPH + H+ 
1.1.1.288,xanthoxin + NAD+ = abscisic aldehyde + NADH + H+ 
1.1.1.289,D-glucitol + NADP+ = L-sorbose + NADPH + H+ 
1.1.1.29,D-glycerate + NAD+ = hydroxypyruvate + NADH + H+ 
1.1.1.290,4-phospho-D-erythronate + NAD+ =  (3R)-3-hydroxy-2-oxo-4-phosphooxybutanoate + NADH + H+
1.1.1.291,(S)-2-hydroxymethylglutarate + NAD+ = 2-formylglutarate + NADH + H+ 
1.1.1.292,"1,5-anhydro-D-mannitol + NADP+ = 1,5-anhydro-D-fructose + NADPH + H+ "
1.1.1.294,71-hydroxychlorophyllide a + NAD(P)+ = chlorophyllide b + NAD(P)H + H+ 
1.1.1.295,"3beta-hydroxy-9beta-pimara-7,15-diene-19,6beta-olide + NAD(P)+ =  momilactone A + NAD(P)H + H+ "
1.1.1.296,menth-8-en-2-ol + NAD+ = menth-8-en-2-one + NADH + H+ 
1.1.1.297,"menth-8-ene-1,2-diol + NAD+ = 1-hydroxymenth-8-en-2-one + NADH + H+"
1.1.1.297,"(1S,2S,4R)-menth-8-ene-1,2-diol + NAD+ =  (1S,4R)-1-hydroxymenth-8-en-2-one + NADH + H+"
1.1.1.297,"(1R,2R,4S)-menth-8-ene-1,2-diol + NAD+ =  (1R,4S)-1-hydroxymenth-8-en-2-one + NADH + H+ "
1.1.1.298,3-hydroxypropanoate + NADP+ = malonate semialdehyde + NADPH + H+ 
1.1.1.299,(S)-malate + NAD(P)+ = oxaloacetate + NAD(P)H + H+
1.1.1.3,L-homoserine + NAD(P)+ = L-aspartate 4-semialdehyde + NAD(P)H + H+ 
1.1.1.30,(R)-3-hydroxybutanoate + NAD+ = acetoacetate + NADH + H+
1.1.1.300,retinol + NADP+ = retinal + NADPH + H+ 
1.1.1.301,D-arabinitol 1-phosphate + NAD+ = D-xylulose 5-phosphate + NADH + H+ 
1.1.1.302,"2,5-diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one + NAD(P)+ =  2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one + NAD(P)H +  H+"
1.1.1.303,(R)-acetoin + NAD+ = diacetyl + NADH + H+ 
1.1.1.304,(S)-acetoin + NAD+ = diacetyl + NADH + H+
1.1.1.305,UDP-alpha-D-glucuronate + NAD+ = UDP-beta-L-threo-pentapyranos-4-ulose  + CO2 + NADH + H+ 
1.1.1.306,S-(hydroxymethyl)mycothiol + NAD+ = S-formylmycothiol + NADH + H+ 
1.1.1.307,xylitol + NAD+ = D-xylose + NADH + H+
1.1.1.307,xylitol + NAD(P)+ = D-xylose + NAD(P)H + H+
1.1.1.307,xylitol + NADP+ = D-xylose + NADPH + H+
1.1.1.308,"(R)-2,3-dihydroxypropane-1-sulfonate + 2 NAD+ + H2O =  (R)-3-sulfolactate + 2 NADH + 2 H+ "
1.1.1.309,2-hydroxyethylphosphonate + NAD+ = phosphonoacetaldehyde + NADH + H+ 
1.1.1.31,3-hydroxy-2-methylpropanoate + NAD+ = 2-methyl-3-oxopropanoate + NADH +  H+ 
1.1.1.310,(2S)-3-sulfolactate + NAD+ = 3-sulfopyruvate + NADH + H+ 
1.1.1.311,(S)-1-phenylethanol + NAD+ = acetophenone + NADH + H+ 
1.1.1.312,"4-carboxy-2-hydroxymuconate semialdehyde hemiacetal + NADP+ =  2-oxo-2H-pyran-4,6-dicarboxylate + NADPH + H+"
1.1.1.313,isethionate + NADP+ = 2-sulfoacetaldehyde + NADPH + H+ 
1.1.1.315,11-cis-retinol-[retinal-binding-protein] + NAD+ =  11-cis-retinal-[retinol-binding-protein] + NADH + H+ 
1.1.1.316,"L-galactose + NAD+ = L-galactono-1,4-lactone + NADH + H+ "
1.1.1.317,raucaffrinoline + NADP+ = perakine + NADPH + H+ 
1.1.1.318,eugenol + a carboxylate + NADP+ = a coniferyl ester + NADPH + H+
1.1.1.319,isoeugenol + acetate + NADP+ = coniferyl acetate + NADPH + H+
1.1.1.32,(R)-mevalonate + NAD+ = mevaldate + NADH + H+
1.1.1.320,(S)-benzoin + NADP+ = benzil + NADPH + H+ 
1.1.1.321,(R)-benzoin + NADP+ = benzil + NADPH + H+ 
1.1.1.322,(-)-endo-fenchol + NAD(P)+ = (+)-fenchone + NAD(P)H + H+ 
1.1.1.323,(+)-thujan-3-ol + NAD(P)+ = (+)-thujan-3-one + NAD(P)H + H+ 
1.1.1.324,(6E)-8-hydroxygeraniol + 2 NADP+ = (6E)-8-oxogeranial + 2 NADPH + 2 H+
1.1.1.324,(6E)-8-hydroxygeraniol + NADP+ = (6E)-8-hydroxygeranial + NADPH + H+
1.1.1.324,(6E)-8-hydroxygeraniol + NADP+ = (6E)-8-oxogeraniol + NADPH + H+
1.1.1.324,(6E)-8-hydroxygeranial + NADP+ = (6E)-8-oxogeranial + NADPH + H+
1.1.1.324,(6E)-8-oxogeraniol + NADP+ = (6E)-8-oxogeranial + NADPH + H+ 
1.1.1.325,"L-threo-7,8-dihydrobiopterin + NADP+ = sepiapterin + NADPH + H+"
1.1.1.325,"L-threo-tetrahydrobiopterin + 2 NADP+ =  6-pyruvoyl-5,6,7,8-tetrahydropterin + 2 NADPH + 2 H+ "
1.1.1.326,10-hydroxy-alpha-humulene + NAD+ = zerumbone + NADH + H+ 
1.1.1.327,"5-exo-hydroxycamphor + NAD+ = bornane-2,5-dione + NADH + H+ "
1.1.1.328,"3,3'-bipyridine-2,2',5,5',6,6'-hexol + NAD(P)+ =  (E)-2,2',5,5'-tetrahydroxy-6H,6'H-[3,3'-bipyridinylidene]-6,6'-dione +  NAD(P)H + H+ "
